slide_number,slide_id,slide_title,claim_ids,canonical_source_ids,internal_canonical_artifacts,internal_canonical_anchors,canonical_artifact_sha256,source_footer,all_claims_final_support,all_source_ids_resolvable,data_cut,schema_version,semantic_release_audit
1,SLIDE-01,Graves’ disease 및 thyroid eye disease,DOC-CONTROL-001;DOC-CONTROL-002;DOC-CONTROL-003,,plan2.md,plan2.md::frozen-contract::frozen data cut|plan2.md::frozen-contract::geographic and population scope|plan2.md::frozen-contract::analysis boundary,db3a5bb7757d814309f2d5e736a7cdef1cbc8504b94caa04c4f0d472228d6880,Canonical plan2.md  •  Complete claim/row map: slide_source_map_v2.csv,PASS,PASS,2026-09-10,2.0.0,PASS — claim/source mapping revalidated
2,SLIDE-02,Executive summary,METHOD-003;METHOD-004;SOC-FRAME-001;CONCLUSION-001;CONCLUSION-002;REG-US-LUMVOA-AUTH;METHOD-019;ENDPOINT-007,728;729;731;735;780;1;2;6;7;8;898;373;726,clinical_trials_v2.csv;soc_outcomes_v2.csv;result_trial_curation_v2.csv; soc_outcomes_v2.csv;claim_evidence_anchors_v2.csv; pipeline_assets_v2.csv;clinical_trials_v2.csv + pipeline_assets_v2.csv;plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv,"clinical_trials_v2.csv::all rows; unique trial_id|clinical_trials_v2.csv::field=has_posted_results|soc_outcomes_v2.csv::all rows; region_code×category|result_trial_curation_v2.csv; soc_outcomes_v2.csv::trial_id=NCT01868997; soc_id in SOC-US/EU/UK/JP-TED-TEPEZZA|claim_evidence_anchors_v2.csv; pipeline_assets_v2.csv::assets=LCA-0321,MER511; fields=target,highest_stage,evidence_confidence|soc_outcomes_v2.csv::soc_id=SOC-US-TED-LUMVOA; field=authorization_status_scope|clinical_trials_v2.csv + pipeline_assets_v2.csv::trials: overall_status in TERMINATED/WITHDRAWN/SUSPENDED; assets: target startswith 'Not '|plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv::frozen endpoint-semantics contract; clinical_trials.primary_endpoints; soc_outcomes.endpoint_semantics",2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b;1c4368b060910b9bf6da76972d32651dbb17f642a755cfafdfe8e0384dda176b;a79c6b8f7ad79977bab1a48ff0ac47d0ca725cc5f7eb32a71a45073597bbf355;31a03527e66e8c3f8a12696d85fd785aab9095bc0538620e12f7bd0ee15af5f8;c5c0373c33a760065d39abfd114ffd03099db7428f2de57a1be8fb3e04d378be;e7a98e1ed1684fe56a288c8a1b988366f090890685052ea0e37acdb6327b6ad7,"Sources [728] [729] [731] [735] [780] [1] [2] [6] [7] [8] [898] [373] [726]  •  Canonical clinical_trials_v2.csv, soc_outcomes_v2.csv, result_trial_curation_v2.csv; soc_outcomes_v2.csv +3  •  Complete claim/row map: slide_source_map_v2.csv",PASS,PASS,2026-09-10,2.0.0,PASS — claim/source mapping revalidated
3,SLIDE-03,Scope and audit method,METHOD-001;METHOD-002;METHOD-003;METHOD-004;METHOD-019;DOC-CONTROL-003;QA-METHOD-001,,registry_cut_reconciliation_2026-09-10.json;qa_summary.json;clinical_trials_v2.csv;clinical_trials_v2.csv + pipeline_assets_v2.csv;plan2.md,registry_cut_reconciliation_2026-09-10.json::field=cut_record_count|qa_summary.json::registry.triaged|clinical_trials_v2.csv::all rows; unique trial_id|clinical_trials_v2.csv::field=has_posted_results|clinical_trials_v2.csv + pipeline_assets_v2.csv::trials: overall_status in TERMINATED/WITHDRAWN/SUSPENDED; assets: target startswith 'Not '|plan2.md::frozen-contract::analysis boundary|plan2.md::claim-QA contract,1c2621bef5d11b200fa283b1e1708860babcc83284322d887ff46742c5316384;4154359f375a0f98e93abae61e40343256a98b56abb24347cd87ec707f9db401;2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b;c5c0373c33a760065d39abfd114ffd03099db7428f2de57a1be8fb3e04d378be;db3a5bb7757d814309f2d5e736a7cdef1cbc8504b94caa04c4f0d472228d6880,"Canonical registry_cut_reconciliation_2026-09-10.json, qa_summary.json, clinical_trials_v2.csv +2  •  Complete claim/row map: slide_source_map_v2.csv",PASS,PASS,2026-09-10,2.0.0,PASS — claim/source mapping revalidated
4,SLIDE-04,Endpoint language determines the conclusion,ENDPOINT-001;ENDPOINT-003;ENDPOINT-004;ENDPOINT-005;ENDPOINT-006;ENDPOINT-007;ENDPOINT-008,,plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv,plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv::frozen endpoint-semantics contract; clinical_trials.primary_endpoints; soc_outcomes.endpoint_semantics,e7a98e1ed1684fe56a288c8a1b988366f090890685052ea0e37acdb6327b6ad7,Canonical plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv  •  Complete claim/row map: slide_source_map_v2.csv,PASS,PASS,2026-09-10,2.0.0,PASS — claim/source mapping revalidated
5,SLIDE-05,Regional SoC: authorization and access remain distinct,SOC-FRAME-001;SOC-FRAME-002;SOC-FRAME-003;SOC-FRAME-004;REG-US-TEPEZZA-AUTH;REG-US-TEPEZZA-ACCESS;REG-US-LUMVOA-AUTH;REG-US-LUMVOA-ACCESS;REG-EU-TEPEZZA-AUTH;REG-EU-TEPEZZA-ACCESS;REG-EU-LUMVOA-AUTH;REG-EU-LUMVOA-ACCESS;REG-UK-TEPEZZA-AUTH;REG-UK-TEPEZZA-ACCESS;REG-UK-LUMVOA-AUTH;REG-UK-LUMVOA-ACCESS;REG-KR-TEPEZZA-AUTH;REG-KR-TEPEZZA-ACCESS;REG-KR-LUMVOA-AUTH;REG-KR-LUMVOA-ACCESS;REG-JP-TEPEZZA-AUTH;REG-JP-TEPEZZA-ACCESS;REG-JP-LUMVOA-AUTH;REG-JP-LUMVOA-ACCESS,728;373;726;729;751;747;731;732;733;749;745;746;750;735;736;752;748,soc_outcomes_v2.csv,"soc_outcomes_v2.csv::all rows; region_code×category|soc_outcomes_v2.csv::categories=Adult ATD,Adult RAI,Adult thyroidectomy|soc_outcomes_v2.csv::categories=Pediatric GD,GD in pregnancy,GD in lactation,GD in older adults,Relapsed/refractory GD,Relapsed/refractory TED|soc_outcomes_v2.csv::fields=authorization_status_scope,reimbursement_access,uncertainty; unresolved semantics|soc_outcomes_v2.csv::soc_id=SOC-US-TED-TEPEZZA; field=authorization_status_scope|soc_outcomes_v2.csv::soc_id=SOC-US-TED-TEPEZZA; field=reimbursement_access|soc_outcomes_v2.csv::soc_id=SOC-US-TED-LUMVOA; field=authorization_status_scope|soc_outcomes_v2.csv::soc_id=SOC-US-TED-LUMVOA; field=reimbursement_access|soc_outcomes_v2.csv::soc_id=SOC-EU-TED-TEPEZZA; field=authorization_status_scope|soc_outcomes_v2.csv::soc_id=SOC-EU-TED-TEPEZZA; field=reimbursement_access|soc_outcomes_v2.csv::soc_id=SOC-EU-TED-LUMVOA; field=authorization_status_scope|soc_outcomes_v2.csv::soc_id=SOC-EU-TED-LUMVOA; field=reimbursement_access|soc_outcomes_v2.csv::soc_id=SOC-UK-TED-TEPEZZA; field=authorization_status_scope|soc_outcomes_v2.csv::soc_id=SOC-UK-TED-TEPEZZA; field=reimbursement_access|soc_outcomes_v2.csv::soc_id=SOC-UK-TED-LUMVOA; field=authorization_status_scope|soc_outcomes_v2.csv::soc_id=SOC-UK-TED-LUMVOA; field=reimbursement_access|soc_outcomes_v2.csv::soc_id=SOC-KR-TED-TEPEZZA; field=authorization_status_scope|soc_outcomes_v2.csv::soc_id=SOC-KR-TED-TEPEZZA; field=reimbursement_access|soc_outcomes_v2.csv::soc_id=SOC-KR-TED-LUMVOA; field=authorization_status_scope|soc_outcomes_v2.csv::soc_id=SOC-KR-TED-LUMVOA; field=reimbursement_access|soc_outcomes_v2.csv::soc_id=SOC-JP-TED-TEPEZZA; field=authorization_status_scope|soc_outcomes_v2.csv::soc_id=SOC-JP-TED-TEPEZZA; field=reimbursement_access|soc_outcomes_v2.csv::soc_id=SOC-JP-TED-LUMVOA; field=authorization_status_scope|soc_outcomes_v2.csv::soc_id=SOC-JP-TED-LUMVOA; field=reimbursement_access",1c4368b060910b9bf6da76972d32651dbb17f642a755cfafdfe8e0384dda176b,Sources [728] [373] [726] [729] [751] [747] [731] [732] [733] [749] [745] [746] [750] [735] [736] [752] [748]  •  Canonical soc_outcomes_v2.csv  •  Complete claim/row map: slide_source_map_v2.csv,PASS,PASS,2026-09-10,2.0.0,PASS — claim/source mapping revalidated
6,SLIDE-06,Trial landscape retains negative and stopped programs,METHOD-003;METHOD-006;METHOD-007;METHOD-008;METHOD-009;METHOD-010;METHOD-011;METHOD-012;METHOD-013;METHOD-014;METHOD-019,,clinical_trials_v2.csv;clinical_trials_v2.csv + pipeline_assets_v2.csv,clinical_trials_v2.csv::all rows; unique trial_id|clinical_trials_v2.csv::field=overall_status; value=COMPLETED|clinical_trials_v2.csv::field=overall_status; value=RECRUITING|clinical_trials_v2.csv::field=overall_status; value=UNKNOWN|clinical_trials_v2.csv::field=overall_status; value=NOT_YET_RECRUITING|clinical_trials_v2.csv::field=overall_status; value=TERMINATED|clinical_trials_v2.csv::field=overall_status; value=ACTIVE_NOT_RECRUITING|clinical_trials_v2.csv::field=overall_status; value=WITHDRAWN|clinical_trials_v2.csv::field=overall_status; value=ENROLLING_BY_INVITATION|clinical_trials_v2.csv::field=overall_status; value=SUSPENDED|clinical_trials_v2.csv + pipeline_assets_v2.csv::trials: overall_status in TERMINATED/WITHDRAWN/SUSPENDED; assets: target startswith 'Not ',2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b;c5c0373c33a760065d39abfd114ffd03099db7428f2de57a1be8fb3e04d378be,"Canonical clinical_trials_v2.csv, clinical_trials_v2.csv + pipeline_assets_v2.csv  •  Complete claim/row map: slide_source_map_v2.csv",PASS,PASS,2026-09-10,2.0.0,PASS — claim/source mapping revalidated
7,SLIDE-07,Mechanism landscape,METHOD-003;TRIAL-FRAME-001;LIMIT-001,,clinical_trials_v2.csv;result_trial_curation_v2.csv;registry_cut_reconciliation_2026-09-10.json,"clinical_trials_v2.csv::all rows; unique trial_id|result_trial_curation_v2.csv::all 25 rows; fields=disposition,efficacy,safety,durability,caveats|registry_cut_reconciliation_2026-09-10.json::frozen query and reconciliation scope",2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b;4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30;1c2621bef5d11b200fa283b1e1708860babcc83284322d887ff46742c5316384,"Canonical clinical_trials_v2.csv, result_trial_curation_v2.csv, registry_cut_reconciliation_2026-09-10.json  •  Complete claim/row map: slide_source_map_v2.csv",PASS,PASS,2026-09-10,2.0.0,PASS — claim/source mapping revalidated
8,SLIDE-08,Development maturity by mechanism,METHOD-003;TRIAL-FRAME-001;LIMIT-001,,clinical_trials_v2.csv;result_trial_curation_v2.csv;registry_cut_reconciliation_2026-09-10.json,"clinical_trials_v2.csv::all rows; unique trial_id|result_trial_curation_v2.csv::all 25 rows; fields=disposition,efficacy,safety,durability,caveats|registry_cut_reconciliation_2026-09-10.json::frozen query and reconciliation scope",2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b;4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30;1c2621bef5d11b200fa283b1e1708860babcc83284322d887ff46742c5316384,"Canonical clinical_trials_v2.csv, result_trial_curation_v2.csv, registry_cut_reconciliation_2026-09-10.json  •  Complete claim/row map: slide_source_map_v2.csv",PASS,PASS,2026-09-10,2.0.0,PASS — claim/source mapping revalidated
9,SLIDE-09,Selected randomized TED proptosis responses,TRIAL-FRAME-002;TRIAL-011-EFFICACY;TRIAL-017-EFFICACY;TRIAL-020-EFFICACY;TRIAL-021-EFFICACY;TRIAL-022-EFFICACY;TRIAL-024-EFFICACY,807;829;844;845;849;853,result_trial_curation_v2.csv,"result_trial_curation_v2.csv::all 25 rows; fields=disposition,efficacy,safety,durability,caveats|result_trial_curation_v2.csv::trial_id=NCT03298867; field=efficacy|result_trial_curation_v2.csv::trial_id=NCT05176639; field=efficacy|result_trial_curation_v2.csv::trial_id=NCT05987423; field=efficacy|result_trial_curation_v2.csv::trial_id=NCT06021054; field=efficacy|result_trial_curation_v2.csv::trial_id=NCT06106828; field=efficacy|result_trial_curation_v2.csv::trial_id=NCT06226545; field=efficacy",4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,Sources [807] [829] [844] [845] [849] [853]  •  Canonical result_trial_curation_v2.csv  •  Complete claim/row map: slide_source_map_v2.csv,PASS,PASS,2026-09-10,2.0.0,PASS — claim/source mapping revalidated
10,SLIDE-10,Safety observations that influence sequencing,TRIAL-FRAME-002;TRIAL-015-SAFETY;TRIAL-017-SAFETY;TRIAL-018-SAFETY;TRIAL-022-SAFETY;TRIAL-025-SAFETY,817;829;831;849;859,result_trial_curation_v2.csv,"result_trial_curation_v2.csv::all 25 rows; fields=disposition,efficacy,safety,durability,caveats|result_trial_curation_v2.csv::trial_id=NCT04583735; field=safety|result_trial_curation_v2.csv::trial_id=NCT05176639; field=safety|result_trial_curation_v2.csv::trial_id=NCT05276063; field=safety|result_trial_curation_v2.csv::trial_id=NCT06106828; field=safety|result_trial_curation_v2.csv::trial_id=NCT06384547; field=safety",4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,Sources [817] [829] [831] [849] [859]  •  Canonical result_trial_curation_v2.csv  •  Complete claim/row map: slide_source_map_v2.csv,PASS,PASS,2026-09-10,2.0.0,PASS — claim/source mapping revalidated
