trial_id,registry,registry_url,asset,asset_aliases,sponsor,owner_at_cutoff,indication,mechanism_class,phase,overall_status,start_date,primary_completion_date,regions,population,ted_activity_severity,n_enrolled,n_randomized,n_analyzed,design,blinding,arms,dose_route_schedule_duration,background_soc_combination,comparator,primary_endpoints,secondary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,publication_urls,evidence_tier,source_ids,access_depth,last_verified,notes,raw_interventions,registry_allocation,has_posted_results,why_stopped,randomization_basis,analysis_basis,data_cut,schema_version
NCT06563856,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06563856,Teprotumumab; EDP formulation enhancer,TEPEZZA | HZN-001; EDP,Amgen,Amgen,Healthy-volunteer asset support,IGF-1R inhibition; Formulation/permeation support,PHASE1,COMPLETED,2020-09-22,2021-05-27,United States,Adults primary,not_applicable,37,NA (not randomized),NA (no posted results at data cut),NON_RANDOMIZED SEQUENTIAL,NONE,"Cohort 1: TEPEZZA Dose A SubQ [EXPERIMENTAL]: Drug: TEPEZZA — Participants will receive Dose A of TEPEZZA administered SubQ.; Cohort 2: TEPEZZA Dose B SubQ [EXPERIMENTAL]: Drug: TEPEZZA — Participants will receive Dose B of TEPEZZA administered SubQ.; Cohort 3: TEPEZZA Dose B Intravenously (IV) [EXPERIMENTAL]: Drug: TEPEZZA — Participants will receive Dose B of TEPEZZA administered IV.; Cohort 4: TEPEZZA Dose B and EDP SubQ [EXPERIMENTAL]: Drug: TEPEZZA, Drug: EDP — Participants will receive coadministered doses of TEPEZZA Dose B and EDP SubQ.",TEPEZZA [DRUG]: Administered as a SubQ injection or IV injection.; EDP [DRUG]: Administered as a SubQ injection.; Arm Cohort 1: TEPEZZA Dose A SubQ: Participants will receive Dose A of TEPEZZA administered SubQ.; Arm Cohort 2: TEPEZZA Dose B SubQ: Participants will receive Dose B of TEPEZZA administered SubQ.; Arm Cohort 3: TEPEZZA Dose B Intravenously (IV): Participants will receive Dose B of TEPEZZA administered IV.; Arm Cohort 4: TEPEZZA Dose B and EDP SubQ: Participants will receive coadministered doses of TEPEZZA Dose B and EDP SubQ.,Registry-defined; verify per protocol,NA (no comparator arm identified),"Cohort 1, 2, and 4: Area Under the Serum Concentration-time Curve (AUC) From Time 0 Extrapolated to Infinity (AUCinf) of TEPEZZA; Cohort 1, 2, and 4: AUC From Time 0 to the Last Quantifiable Concentration (AUClast) of TEPEZZA; Cohort 1, 2, and 4: Percentage of the Area Extrapolated for Calculation of AUCinf (%AUCextrap) of TEPEZZA; Cohort 1, 2, and 4: Maximum Observed Serum Concentration (Cmax) of TEPEZZA; Cohort 1, 2, and 4: Last Quantifiable Serum Concentration (Clast) of TEPEZZA",Cohort 3: AUCinf of TEPEZZA; Cohort 3: AUClast of TEPEZZA; Cohort 3: %AUCextrap of TEPEZZA; Cohort 3: Cmax of TEPEZZA; Cohort 3: Clast of TEPEZZA,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT06563856,official_registry_full_record,2026-09-10,asset-specific healthy-volunteer clinical pharmacology/safety support,TEPEZZA; EDP,NON_RANDOMIZED,No,"NA (study not reported as terminated, withdrawn, or suspended)",Registry allocation=NON_RANDOMIZED,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT06674941,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06674941,Teprotumumab,Teprotumumab-trbw | TEPEZZA | HZN-001,Amgen,Amgen,Healthy-volunteer asset support,IGF-1R inhibition,PHASE1,COMPLETED,2023-03-24,2023-11-14,United States,Adults primary,not_applicable,44,NR (randomized N not posted; enrollment not substituted),NA (no posted results at data cut),RANDOMIZED PARALLEL,NONE,Cohort 1: Teprotumumab [EXPERIMENTAL]: Drug: Teprotumumab — Non-Japanese participants will receive SC injection of teprotumumab Dose A by a syringe pump.; Cohort 2: Teprotumumab [EXPERIMENTAL]: Drug: Teprotumumab — Japanese participants will receive SC injection of teprotumumab Dose A by a syringe pump.; Cohort 3: Teprotumumab [EXPERIMENTAL]: Drug: Teprotumumab — Non-Japanese participants will receive SC injection of teprotumumab Dose B by an injection device.,Teprotumumab [DRUG]: Administered as an SC injection.; Arm Cohort 1: Teprotumumab: Non-Japanese participants will receive SC injection of teprotumumab Dose A by a syringe pump.; Arm Cohort 2: Teprotumumab: Japanese participants will receive SC injection of teprotumumab Dose A by a syringe pump.; Arm Cohort 3: Teprotumumab: Non-Japanese participants will receive SC injection of teprotumumab Dose B by an injection device.,Registry-defined; verify per protocol,NR (randomized comparator arm not explicitly typed in registry),Area Under the Serum Concentration-time Curve (AUC) From Time 0 Extrapolated to Infinity (AUCinf) of Teprotumumab; AUC From Time 0 to the Last Quantifiable Concentration (AUClast) of Teprotumumab; Maximum Observed Serum Concentration (Cmax) of Teprotumumab; Time to Cmax (Tmax) of Teprotumumab,Number of Participants Experiencing Treatment-emergent Adverse Events (TEAEs); Number of Participants with Anti-drug Antibodies (ADA) to Teprotumumab; Titer of Positive ADA to Teprotumumab,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT06674941,official_registry_full_record,2026-09-10,asset-specific healthy-volunteer clinical pharmacology/safety support,Teprotumumab,RANDOMIZED,No,"NA (study not reported as terminated, withdrawn, or suspended)",Protocol identifies randomized allocation; no posted participant flow at data cut,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT07142642,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT07142642,Teprotumumab,Tepezza | AMG 632,Amgen,Amgen,Healthy-volunteer asset support,IGF-1R inhibition,PHASE1,COMPLETED,2025-08-26,2025-11-22,China,Adults primary,not_applicable,20,NR (randomized N not posted; enrollment not substituted),NA (no posted results at data cut),RANDOMIZED PARALLEL,DOUBLE,Teprotumumab [EXPERIMENTAL]: Drug: Teprotumumab — Participants will be randomized 3:1 to receive a single IV infusion of teprotumumab or placebo on Day 1.; Placebo [PLACEBO_COMPARATOR]: Drug: Placebo — Participants will be randomized 3:1 to receive a single IV infusion of teprotumumab or placebo on Day 1.,Teprotumumab [DRUG]: Administered via IV infusion.; Placebo [DRUG]: Administered via IV infusion.; Arm Teprotumumab: Participants will be randomized 3:1 to receive a single IV infusion of teprotumumab or placebo on Day 1.; Arm Placebo: Participants will be randomized 3:1 to receive a single IV infusion of teprotumumab or placebo on Day 1.,Registry-defined; verify per protocol,Placebo,Maximum Observed Serum Concentration (Cmax) of Teprotumumab; Area Under the Serum Concentration-time Curve From Time Zero to the Last Quantifiable Concentration (AUClast) of Teprotumumab; Area Under the Serum Concentration-time Curve From Time Zero to Infinity (AUCinf) of Teprotumumab,Number of Participants With Treatment-emergent Adverse Events; Number of Participants With Serious Adverse Events; Number of Participants With Anti-teprotumumab Antibodies,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT07142642,official_registry_full_record,2026-09-10,asset-specific healthy-volunteer clinical pharmacology/safety support,Teprotumumab; Placebo,RANDOMIZED,No,"NA (study not reported as terminated, withdrawn, or suspended)",Protocol identifies randomized allocation; no posted participant flow at data cut,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT00288522,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT00288522,Lanreotide,"Lanreotide (Autogel formulation). Duration of treatment - 3 injections, 1 every 28 days",Ipsen,Ipsen,Active TED,Somatostatin-receptor agonism,PHASE2,TERMINATED,2006-01,2007-04,Spain,Adults primary,active_unspecified_severity,5,NR (randomized N not posted; enrollment not substituted),NA (no posted results at data cut),RANDOMIZED PARALLEL,DOUBLE,NR (arm details not reported in registry),NR (dose/route/schedule/duration not reported in registry),Registry-defined; verify per protocol,NR (randomized comparator arm not explicitly typed in registry),"Extraocular muscle infiltration and edema exam by evaluating (at Day 0 and Weeks 4, 8 and 12): extraocular muscle size, proptosis and intraocular pressure (tonometry); Eye inspection (at Day 0 and Weeks 4, 8 and 12): assessment of conjunctival injection presence, chemosis, cheratitis and eyelid edema; extrinsic muscle function evaluation and eyelid retraction",NA (no secondary endpoint reported),Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT00288522,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial,"Lanreotide (Autogel formulation). Duration of treatment - 3 injections, 1 every 28 days",RANDOMIZED,No,NR (reason not reported in registry),Protocol identifies randomized allocation; no posted participant flow at data cut,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT00424151,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT00424151,Rituximab,NR (no additional alias),"Silkiss, Rona Z., M.D., FACS","Silkiss, Rona Z., M.D., FACS",Active TED,CD20 B-cell depletion,PHASE1; PHASE2,COMPLETED,2006-12,2009-03,United States,Adults primary,active_unspecified_severity,12,NA (not randomized),NA (no posted results at data cut),NON_RANDOMIZED SINGLE_GROUP,NONE,NR (arm details not reported in registry),NR (dose/route/schedule/duration not reported in registry),Registry-defined; verify per protocol,NA (no comparator arm identified),"Clinical response to treatment, alteration in immunoglobulin levels; To assess the safety and tolerability of Rituximab in Graves' dysthyroid disease up to 24 weeks. Adverse and serious adverse events during the study period, reasonably or probably related to Rituximab, will be assessed at each study visit up to 12 month; Efficacy:; A significant (25%) reduction in progression of Thyroid Associated Ophthalmopathy or disease activity as measured by the thyroid associated ophthalmopathy scale (University of British Columbia Thyroid Orbitopathy Inflammatory Score) up to 24 weeks.","To evaluate for a reduction in disease activity as measured by:; Reduction (25%) of elevated antibody levels- serum thyroid stimulating immunoglobulin (TSI), antithyroidperoxidase antibody (TPO) or antithyroglobulin levels at 24 weeks.; MRI of the orbit with coronal and axial views to evaluate evidence of optic nerve crowding, muscle size reduction or decreased proptosis during treatment and follow up interval at 24 weeks.",Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT00424151,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial,Rituximab,NON_RANDOMIZED,No,"NA (study not reported as terminated, withdrawn, or suspended)",Registry allocation=NON_RANDOMIZED,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT01114503,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01114503,Otelixizumab; Methylprednisolone,Otelixizumab - low dose; Otelixizumab - medium low dose; Otelixizumab - medium high dose; Otelixizumab - high dose; NR (no additional alias),GlaxoSmithKline,GlaxoSmithKline,Active TED,CD3 modulation; Glucocorticoid immunomodulation,PHASE2,TERMINATED,2010-07-07,2012-08-29,United Kingdom,Adults primary,active_unspecified_severity,2,2,Endpoint-specific (see result_trial_curation_v2.csv; denominators vary by endpoint),RANDOMIZED PARALLEL,SINGLE,"Part A [EXPERIMENTAL]: Drug: Otelixizumab - low dose, Drug: Otelixizumab - medium low dose, Drug: Otelixizumab - medium high dose, Drug: Otelixizumab - high dose — Up to 4 cohorts of 5 patients receive dose rising treatments of otelixizumab; Part B - Otelixizumab [EXPERIMENTAL]: Drug: Otelixizumab — Parallel dosing group in Part B receive otelixizumab over 8 days at a dose decided upon results from Part A; Part B - Methylprednisolone [ACTIVE_COMPARATOR]: Drug: Methylprednisolone — Parallel dosing group in Part B of weekly doses of methylprednisolone for 12 weeks",Otelixizumab - low dose [DRUG]: 8 day dose rising intravenous infusions of a low dose of otelixizumab; Otelixizumab - medium low dose [DRUG]: 8 day dose rising intravenous infusions of a medium low dose of otelixizumab; Otelixizumab - medium high dose [DRUG]: 8 day dose rising intravenous infusions of a medium high dose of otelixizumab; Otelixizumab - high dose [DRUG]: 8 day dose rising intravenous infusions of a high dose of otelixizumab; Otelixizumab [DRUG]: 8 day dose rising intravenous infusions of otelixizumab administered at a dose decided upon results from Part A.; Methylprednisolone [DRUG]: Weekly intravenous infusions of methylprednisolone administered as 500 mg per week for 6 weeks and then 250 mg per week for 6 weeks; Arm Part A: Up to 4 cohorts of 5 patients receive dose rising treatments of otelixizumab; Arm Part B - Otelixizumab: Parallel dosing group in Part B receive otelixizumab over 8 days at a dose decided upon results from Part A; Arm Part B - Methylprednisolone: Parallel dosing group in Part B of weekly doses of methylprednisolone for 12 weeks,Registry-defined; verify per protocol,Part B - Methylprednisolone,"Number of Participants With at Least One Adverse Event (AE), Serious Adverse Event (SAE), or Drug-related Adverse Event; Number of Participants With Laboratory Clinical Chemistry Abnormalities Meeting the Criteria for Potential Clinical Concern (PCC); Number of Participants With Laboratory Hematology Abnormalities Meeting the Criteria for PCC; Number of Participants With Laboratory Urinalysis Abnormalities Meeting the Criteria for PCC; Number of Participants With Thyroid Function Assessment, Hormone and Glucose Assay Abnormalities Meeting the Criteria for PCC","Change From Baseline for Individual Scores at Week 12 Incorporated in the European Group on Graves' Orbitopathy (EUGOGO) Assessment Including, Eyelid Swelling, Clinical Activity Score (CAS) Score, Proptosis, Lid Width and Diplopia; Change From Baseline for Participant-reported Health Related Quality of Life (QoL) Questionnaires of Short Form 36 ( SF-36) and Graves Ophthalmopathy (GO) QoL; Change From Baseline Measurement of Orbital Volume as Measured by Computed Tomography (CT) Scan; Assessment of Anti-otelixizumab Antibodies; Assessment of Circulating Cytokines of Interleukin 6 (IL6), IL10, Interferon Gamma (IFNγ) and Tumor Necrosis Factor Alpha (TNFα) up to 2 Weeks",Posted result timepoint,해석 가능한 efficacy endpoint 없음.,2/2 AE 및 drug-related AE; SAE 0.,없음.,NR (no result-linked publication URL identified at data cut),Registry result + manual curation,ClinicalTrials.gov; NCT01114503,official_registry_full_record,2026-09-10,Clinical study in Graves' ophthalmopathy terminated until there is a better understanding of an efficacious dose with Otelixizumab from other clinical studies.; disease-directed standard-of-care or regimen-optimization trial; Termination은 명시된 dose-development 사유이며 mechanistic failure로 해석하지 않음.,Otelixizumab - low dose; Otelixizumab - medium low dose; Otelixizumab - medium high dose; Otelixizumab - high dose; Otelixizumab; Methylprednisolone,RANDOMIZED,Yes,Clinical study in Graves' ophthalmopathy terminated until there is a better understanding of an efficacious dose with Otelixizumab from other clinical studies.,"Posted participant flow, first period STARTED (Overall Study)",Posted results with manually curated endpoint-specific interpretation,2026-09-10,2.0.0
NCT01280214,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01280214,Triamcinolone,kenalog,"HaEmek Medical Center, Israel","HaEmek Medical Center, Israel",Active TED,Local glucocorticoid therapy,NA,UNKNOWN,2011-02,2013-02,NR (study locations not reported),Adults primary,active_unspecified_severity,30,NA (not randomized),NA (no posted results at data cut),NA SINGLE_GROUP,NONE,Triamcinolone [EXPERIMENTAL]: Drug: Triamcinolone,"Triamcinolone [DRUG]: Subconjunctival and peribulbar, 40 mg/ml, 3 monthly injection",Registry-defined; verify per protocol,NA (no comparator arm identified),Comparing the effectiveness of subconjunctival and peribulbar Triamcinolone injection to systemic Steroid therapy for patients with active thyroid orbitopathy .,To check if the level of TSH Receptor antibodies are affected by the local injection.,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT01280214,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial,Triamcinolone,NA,No,"NA (study not reported as terminated, withdrawn, or suspended)",Registry allocation=NA,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT01379196,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01379196,Azithromycin,AZITRO,Rabin Medical Center,Rabin Medical Center,Active TED,Macrolide immunomodulation,PHASE1; PHASE2,WITHDRAWN,2011-05,2014-11,NR (study locations not reported),Adults primary,active_unspecified_severity,0,NA (not randomized),NA (no posted results at data cut),NA SINGLE_GROUP,NONE,Azithromycin PO three times weekly [EXPERIMENTAL]: Drug: Azithromycin — Tablets Azithromycin 500 mg PO three times weekly for three months,Azithromycin [DRUG]: Tab. Azithromycin 500 mg PO three times weekly for 3 months; Arm Azithromycin PO three times weekly: Tablets Azithromycin 500 mg PO three times weekly for three months,Registry-defined; verify per protocol,NA (no comparator arm identified),Change in clinical activity score between baseline and after three months,Measurement of extraocular muscle thickening; ANTI TSH Receptor antibody levels,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT01379196,official_registry_full_record,2026-09-10,Patients were not interested in enrolling; disease-directed drug/biologic/supplement trial,Azithromycin,NA,No,Patients were not interested in enrolling,Registry allocation=NA,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT01809444,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01809444,Prednisone/prednisolone; Doxycycline,Prednisone+placebo of Doxycycline | deltacortisone; Doxycycline+placebo of Prednisone | Dolotard | Tibirox | Biomycin,Sun Yat-sen University,Sun Yat-sen University,Active TED,Glucocorticoid immunomodulation; Tetracycline immunomodulation,PHASE2; PHASE3,UNKNOWN,2012-11,2016-01,China,Adults primary,active_unspecified_severity,146,NR (randomized N not posted; enrollment not substituted),NA (no posted results at data cut),RANDOMIZED PARALLEL,QUADRUPLE,"Prednisone+placebo of Doxycycline [ACTIVE_COMPARATOR]: Drug: Prednisone+placebo of Doxycycline — Prednisone: 50 mg/d for 14 day, tailed by 40 mg/d for 14 day, 30 mg/d for 28 day, 20 mg/d for 28 day, 15 mg/d for 14 day, 10 mg/d for 14 day, in total 16 weeks; Placebo of doxycycline: administered for 16 weeks.; Doxycycline+placebo of Prednisone [EXPERIMENTAL]: Drug: Doxycycline+placebo of Prednisone — Doxycycline: 50 mg/d for 12 weeks, and placebo for another 4 weeks; Placebo of prednisone: administered for 16 weeks.","Prednisone+placebo of Doxycycline [DRUG]: Prednisone: 50 mg/d for 14 day, tailed by 40 mg/d for 14 day, 30 mg/d for 28 day, 20 mg/d for 28 day, 15 mg/d for 14 day, 10 mg/d for 14 day, in total 16 weeks; Placebo of doxycycline: administered for 16 weeks; Doxycycline+placebo of Prednisone [DRUG]: Doxycycline: 50 mg PO per day for 12 weeks, and placebo for another 4 weeks; Placebo of prednisone: administered for 16 weeks.; Arm Prednisone+placebo of Doxycycline: Prednisone: 50 mg/d for 14 day, tailed by 40 mg/d for 14 day, 30 mg/d for 28 day, 20 mg/d for 28 day, 15 mg/d for 14 day, 10 mg/d for 14 day, in total 16 weeks; Placebo of doxycycline: administered for 16 weeks.; Arm Doxycycline+placebo of Prednisone: Doxycycline: 50 mg/d for 12 weeks, and placebo for another 4 weeks; Placebo of prednisone: administered for 16 weeks.",Registry-defined; verify per protocol,Prednisone+placebo of Doxycycline,Overall treatment response,"• Health related quality of life questionnaires (GO-QoL); • Safety and tolerability as assessed by adverse events, vital signs; • Quantitative changes of rectus diameter measured by MRI scan; Relapse",Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT01809444,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial,Prednisone+placebo of Doxycycline; Doxycycline+placebo of Prednisone,RANDOMIZED,No,"NA (study not reported as terminated, withdrawn, or suspended)",Protocol identifies randomized allocation; no posted participant flow at data cut,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT01868997,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01868997,Teprotumumab,RV 001 | HZN-001,Amgen,Amgen,Active TED,IGF-1R inhibition,PHASE2,COMPLETED,2013-07,2016-03,Germany; Italy; United Kingdom; United States,Adults primary,active_unspecified_severity,88,87,Endpoint-specific (see result_trial_curation_v2.csv; denominators vary by endpoint),RANDOMIZED PARALLEL,QUADRUPLE,"Placebo [PLACEBO_COMPARATOR]: Drug: normal saline — A placebo infusion (normal saline) administered q3W by IV infusion over a period of 24 weeks for a total of 8 infusions.; Teprotumumab [EXPERIMENTAL]: Drug: teprotumumab — Teprotumumab administered q3W by IV infusion over a period of 24 weeks for a total of 8 infusions. All participants start treatment at a dose of 10 mg/kg. At Week 3, the dose is escalated to 20 mg/kg and kept constant for the remainder of the study.","Arm Placebo: A placebo infusion (normal saline) administered q3W by IV infusion over a period of 24 weeks for a total of 8 infusions.; Arm Teprotumumab: Teprotumumab administered q3W by IV infusion over a period of 24 weeks for a total of 8 infusions. All participants start treatment at a dose of 10 mg/kg. At Week 3, the dose is escalated to 20 mg/kg and kept constant for the remainder of the study.",Registry-defined; verify per protocol,Placebo,Responder Status at Week 24,Overall Average Change From Baseline in Graves' Ophthalmopathy Quality of Life (GO-QOL) Scale - Overall to Week 24 (Mixed-Model Repeated Measures [MMRM]); Overall Average Change From Baseline in Proptosis of the Study Eye to Week 24 (MMRM); Overall Average Change From Baseline in CAS to Week 24 (MMRM); Overall Average Change From Baseline in GO-QOL Scale - Visual Functioning to Week 24 (MMRM); Overall Average Change From Baseline in GO-QOL Scale - Appearance to Week 24 (MMRM),Posted result timepoint,"Composite response 29/42 vs 9/45, p<0.001; OR 8.86 (95% CI 3.293–23.825); proptosis LS change −2.46 vs −0.15 mm.",SAE 5/43 vs 1/44.,등록 결과만으로 장기 durability 제한.,https://pubmed.ncbi.nlm.nih.gov/28467880/; https://doi.org/10.1056/NEJMoa1614949; https://doi.org/10.1007/s40262-021-01003-3; https://doi.org/10.1167/iovs.14-14002,Registry result + manual curation,ClinicalTrials.gov; NCT01868997,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial; IGF-1R class efficacy를 보이나 GD biochemical remission 증거가 아님.,teprotumumab; normal saline,RANDOMIZED,Yes,"NA (study not reported as terminated, withdrawn, or suspended)","Posted participant flow, first period STARTED (Overall Study)",Posted results with manually curated endpoint-specific interpretation,2026-09-10,2.0.0
