claim_id,artifact,artifact_location,report_occurrence_count,claim_text,claim_type,population,comparator,endpoint,timepoint,value,unit,source_ids,source_urls,exact_anchors,access_depth,evidence_tier,requires_inline_citation,first_pass_decision,first_pass_rationale,blind_verdict,blind_failure_mode,resolution,final_display_state,canonical_artifact,canonical_row_ids,canonical_artifact_sha256,display_order,data_cut,schema_version,notes
METHOD-001,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=10,1,Frozen ClinicalTrials.gov query는 324개 record를 포함했다.,internal_inventory_count,Frozen registry query or audit inventory,NA (no comparator),registry records,NA (not timepoint-specific),324,records,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:registry_cut_reconciliation_2026-09-10.json::field=cut_record_count,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,registry_cut_reconciliation_2026-09-10.json,field=cut_record_count,1c2621bef5d11b200fa283b1e1708860babcc83284322d887ff46742c5316384,1,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0062 (BATCH-03): support; same coordinator, stance-hidden, not independent validation."
METHOD-002,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=20,1,사전 정의된 scope로 193개 record를 audit triage했다.,internal_inventory_count,Frozen registry query or audit inventory,NA (no comparator),triaged records,NA (not timepoint-specific),193,records,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:qa_summary.json::registry.triaged,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,qa_summary.json,registry.triaged,4154359f375a0f98e93abae61e40343256a98b56abb24347cd87ec707f9db401,2,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0014 (BATCH-01): support; same coordinator, stance-hidden, not independent validation."
METHOD-003,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=11,1,최종 clinical trial inventory에는 168개 unique trial이 포함되었다.,internal_inventory_count,Frozen registry query or audit inventory,NA (no comparator),included trials,NA (not timepoint-specific),168,records,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv::all rows | unique trial_id,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,all rows; unique trial_id,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,3,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0156 (BATCH-07): support; same coordinator, stance-hidden, not independent validation."
METHOD-004,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=12,1,포함 trial 중 25개에 data cut 시점 posted results가 있었다.,internal_inventory_count,Frozen registry query or audit inventory,NA (no comparator),result-bearing trials,NA (not timepoint-specific),25,records,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv::field=has_posted_results,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,field=has_posted_results,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,4,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0192 (BATCH-08): support; same coordinator, stance-hidden, not independent validation."
METHOD-005,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=21,1,Baseline과 frozen cut 사이 tracked registry drift는 0건이었다.,internal_inventory_count,Frozen registry query or audit inventory,NA (no comparator),registry drift rows,NA (not timepoint-specific),0,rows,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:registry_cut_reconciliation_2026-09-10.json::field=drift_row_count,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,registry_cut_reconciliation_2026-09-10.json,field=drift_row_count,1c2621bef5d11b200fa283b1e1708860babcc83284322d887ff46742c5316384,5,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0116 (BATCH-05): support; same coordinator, stance-hidden, not independent validation."
DOC-CONTROL-001,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=3,1,2026-09-10 (frozen; later registry/regulatory changes excluded).,internal_document_control,v2 release,NA (no comparator),frozen data cut,2026-09-10 data cut,2026-09-10 (frozen; later registry/regulatory changes excluded).,document-control statement,NA (internal canonical evidence),NA (no external source URL required),INTERNAL_PLAN:plan2.md::frozen-contract::frozen data cut,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"The statement is a release-control condition, not an external clinical claim.",support,support,NA (no first-pass correction required),final_displayed_blind_support,plan2.md,frozen-contract::frozen data cut,db3a5bb7757d814309f2d5e736a7cdef1cbc8504b94caa04c4f0d472228d6880,6,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0064 (BATCH-03): support; same coordinator, stance-hidden, not independent validation."
DOC-CONTROL-002,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=4,1,"United States, EU/EEA, United Kingdom, South Korea, Japan을 포함하며 adults가 primary이고 pediatrics, pregnancy/lactation, older adults, relapsed/refractory populations는 분리한다.",internal_document_control,v2 release,NA (no comparator),geographic and population scope,2026-09-10 data cut,"United States, EU/EEA, United Kingdom, South Korea, Japan을 포함하며 adults가 primary이고 pediatrics, pregnancy/lactation, older adults, relapsed/refractory populations는 분리한다.",document-control statement,NA (internal canonical evidence),NA (no external source URL required),INTERNAL_PLAN:plan2.md::frozen-contract::geographic and population scope,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"The statement is a release-control condition, not an external clinical claim.",support,support,NA (no first-pass correction required),final_displayed_blind_support,plan2.md,frozen-contract::geographic and population scope,db3a5bb7757d814309f2d5e736a7cdef1cbc8504b94caa04c4f0d472228d6880,7,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0088 (BATCH-04): support; same coordinator, stance-hidden, not independent validation."
DOC-CONTROL-003,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=5,1,"Quantitative meta-analysis, naïve pooling, cross-trial efficacy ranking을 수행하지 않으며 R&D potential과 evidence confidence를 분리한다.",internal_document_control,v2 release,NA (no comparator),analysis boundary,2026-09-10 data cut,"Quantitative meta-analysis, naïve pooling, cross-trial efficacy ranking을 수행하지 않으며 R&D potential과 evidence confidence를 분리한다.",document-control statement,NA (internal canonical evidence),NA (no external source URL required),INTERNAL_PLAN:plan2.md::frozen-contract::analysis boundary,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"The statement is a release-control condition, not an external clinical claim.",support,support,NA (no first-pass correction required),final_displayed_blind_support,plan2.md,frozen-contract::analysis boundary,db3a5bb7757d814309f2d5e736a7cdef1cbc8504b94caa04c4f0d472228d6880,8,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0138 (BATCH-06): support; same coordinator, stance-hidden, not independent validation."
DOC-CONTROL-004,evidence_claims_v2.csv,ledger-only claim,0,이 문서는 first-pass report이며 stance-hidden second-pass verdict가 pending이다; final release에는 support verdict claim만 표시한다.,internal_document_control,v2 release,NA (no comparator),provisional QA state,2026-09-10 data cut,이 문서는 first-pass report이며 stance-hidden second-pass verdict가 pending이다; final release에는 support verdict claim만 표시한다.,document-control statement,NA (internal canonical evidence),NA (no external source URL required),INTERNAL_PLAN:plan2.md::frozen-contract::provisional QA state,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"The statement is a release-control condition, not an external clinical claim.",support,support,NA (no first-pass correction required),ledger_only_blind_support_superseded_provisional_document_state,plan2.md,frozen-contract::provisional QA state,db3a5bb7757d814309f2d5e736a7cdef1cbc8504b94caa04c4f0d472228d6880,9,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0111 (BATCH-05): support; same coordinator, stance-hidden, not independent validation."
METHOD-006,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=33,1,COMPLETED status trial은 66개였다.,internal_status_count,168 included trials,NA (no comparator),overall_status count,NA (not timepoint-specific),66,trials,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=COMPLETED,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,field=overall_status; value=COMPLETED,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,10,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0016 (BATCH-01): support; same coordinator, stance-hidden, not independent validation."
METHOD-007,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=34,1,RECRUITING status trial은 39개였다.,internal_status_count,168 included trials,NA (no comparator),overall_status count,NA (not timepoint-specific),39,trials,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=RECRUITING,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,field=overall_status; value=RECRUITING,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,11,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0052 (BATCH-03): support; same coordinator, stance-hidden, not independent validation."
METHOD-008,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=35,1,UNKNOWN status trial은 22개였다.,internal_status_count,168 included trials,NA (no comparator),overall_status count,NA (not timepoint-specific),22,trials,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=UNKNOWN,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,field=overall_status; value=UNKNOWN,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,12,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0007 (BATCH-01): support; same coordinator, stance-hidden, not independent validation."
