source_id,canonical_id_status,title,issuer_or_journal,publication_or_event_date,year,url,doi,registry_id,source_type,evidence_tier,access_depth,exact_locator_availability,locator,last_verified,r_and_d_implication,reference_text,data_cut,schema_version
753,v2_frozen_registry_record,Phase II Randomized Controlled Study of Sequential Orbital Radiotherapy for Graves' Ophthalmopathy,ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT00004660,NA (no DOI),NCT00004660,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00004660; document_id=CTGOV-NCT00004660-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,ClinicalTrials.gov. Phase II Randomized Controlled Study of Sequential Orbital Radiotherapy for Graves' Ophthalmopathy. NCT00004660. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT00004660,2026-09-10,2.0.0
754,v2_frozen_registry_record,"Pretreatment With Recombinant Human Thyrotropin (rhTSH) for the Effect on Thyroid Size and Function, and for the Effect of Radioiodine Treatment in Patients With Nodular Goiter. Prospective, Randomized Double-blinded Trials.",ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT00145366,NA (no DOI),NCT00145366,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00145366; document_id=CTGOV-NCT00145366-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,"ClinicalTrials.gov. Pretreatment With Recombinant Human Thyrotropin (rhTSH) for the Effect on Thyroid Size and Function, and for the Effect of Radioiodine Treatment in Patients With Nodular Goiter. Prospective, Randomized Double-blinded Trials.. NCT00145366. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT00145366",2026-09-10,2.0.0
755,v2_frozen_registry_record,B Cell Depletion With the Anti-CD20 Monoclonal Antibody Rituximab in the Treatment of Graves' Disease,ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT00150111,NA (no DOI),NCT00150111,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00150111; document_id=CTGOV-NCT00150111-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,ClinicalTrials.gov. B Cell Depletion With the Anti-CD20 Monoclonal Antibody Rituximab in the Treatment of Graves' Disease. NCT00150111. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT00150111,2026-09-10,2.0.0
756,v2_frozen_registry_record,The Influence of Continuous Block-replacement Therapy on the Effect of Radioiodine in Patients With Hyperthyroidism,ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT00150124,NA (no DOI),NCT00150124,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00150124; document_id=CTGOV-NCT00150124-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,ClinicalTrials.gov. The Influence of Continuous Block-replacement Therapy on the Effect of Radioiodine in Patients With Hyperthyroidism. NCT00150124. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT00150124,2026-09-10,2.0.0
757,v2_frozen_registry_record,The Influence of Continuous Treatment With Antithyroid Drugs on the Effect of Radioiodine in Patients With Hyperthyroidism,ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT00150137,NA (no DOI),NCT00150137,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00150137; document_id=CTGOV-NCT00150137-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,ClinicalTrials.gov. The Influence of Continuous Treatment With Antithyroid Drugs on the Effect of Radioiodine in Patients With Hyperthyroidism. NCT00150137. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT00150137,2026-09-10,2.0.0
758,v2_frozen_registry_record,"A Phase II, Single Centre, Randomized, Double-blind, Parallel and Placebo Controlled, Pilot Study to Evaluate the Efficacy and Safety of Somatuline Autogel 60mg in Patients With Active Thyroid-associated Ophthalmopathy of Moderate Intensity.",ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT00288522,NA (no DOI),NCT00288522,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00288522; document_id=CTGOV-NCT00288522-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,"ClinicalTrials.gov. A Phase II, Single Centre, Randomized, Double-blind, Parallel and Placebo Controlled, Pilot Study to Evaluate the Efficacy and Safety of Somatuline Autogel 60mg in Patients With Active Thyroid-associated Ophthalmopathy of Moderate Intensity.. NCT00288522. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT00288522",2026-09-10,2.0.0
759,v2_frozen_registry_record,"Comparison of Efficacy and Safety of Intravenous Pulsed Methylprednisolone and Oral Methotrexate Versus Intravenous Pulsed Methylprednisolone and Oral Placebo in the Treatment of Active Moderate and Severe Thyroid Eye Disease - a Prospective, Randomized, Double-blind, Parallel, Controlled Multidisciplinary Clinical Trial and Imaging Study.",ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT00348413,NA (no DOI),NCT00348413,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00348413; document_id=CTGOV-NCT00348413-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,"ClinicalTrials.gov. Comparison of Efficacy and Safety of Intravenous Pulsed Methylprednisolone and Oral Methotrexate Versus Intravenous Pulsed Methylprednisolone and Oral Placebo in the Treatment of Active Moderate and Severe Thyroid Eye Disease - a Prospective, Randomized, Double-blind, Parallel, Controlled Multidisciplinary Clinical Trial and Imaging Study.. NCT00348413. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT00348413",2026-09-10,2.0.0
760,v2_frozen_registry_record,Rituximab Treatment of Graves' Dysthyroid Ophthalmopathy Phase I/II,ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT00424151,NA (no DOI),NCT00424151,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00424151; document_id=CTGOV-NCT00424151-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,ClinicalTrials.gov. Rituximab Treatment of Graves' Dysthyroid Ophthalmopathy Phase I/II. NCT00424151. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT00424151,2026-09-10,2.0.0
761,v2_frozen_registry_record,Thyroid-Associated Ophthalmopathy Subtypes and Orbital Antibodies,ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT00430547,NA (no DOI),NCT00430547,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00430547; document_id=CTGOV-NCT00430547-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,ClinicalTrials.gov. Thyroid-Associated Ophthalmopathy Subtypes and Orbital Antibodies. NCT00430547. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT00430547,2026-09-10,2.0.0
762,v2_frozen_registry_record,Phase 2/3 Study of Rituximab for Graves' Ophthalmopathy,ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT00595335,NA (no DOI),NCT00595335,official trial registry,A1 official registry,Frozen full protocol and posted-results record,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00595335; document_id=CTGOV-NCT00595335-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,ClinicalTrials.gov. Phase 2/3 Study of Rituximab for Graves' Ophthalmopathy. NCT00595335. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT00595335,2026-09-10,2.0.0
763,v2_frozen_registry_record,Low Doses of Cholestyramine in the Treatment of Hyperthyroidism,ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT00677469,NA (no DOI),NCT00677469,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00677469; document_id=CTGOV-NCT00677469-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,ClinicalTrials.gov. Low Doses of Cholestyramine in the Treatment of Hyperthyroidism. NCT00677469. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT00677469,2026-09-10,2.0.0
764,v2_frozen_registry_record,Prevention Relapse of Graves' Disease by Treatment With Intrathyroid Injection of Dexamethasone,ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT00917241,NA (no DOI),NCT00917241,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00917241; document_id=CTGOV-NCT00917241-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,ClinicalTrials.gov. Prevention Relapse of Graves' Disease by Treatment With Intrathyroid Injection of Dexamethasone. NCT00917241. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT00917241,2026-09-10,2.0.0
765,v2_frozen_registry_record,Comparison of Different Doses of 131I in Severe Graves' Hyperthyroidism: A Clinical Trial With Historical Control,ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT01039818,NA (no DOI),NCT01039818,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT01039818; document_id=CTGOV-NCT01039818-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,ClinicalTrials.gov. Comparison of Different Doses of 131I in Severe Graves' Hyperthyroidism: A Clinical Trial With Historical Control. NCT01039818. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT01039818,2026-09-10,2.0.0
766,v2_frozen_registry_record,The Effect of Early Total Thyroidectomy in the Course of Graves' Orbitopathy,ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT01056419,NA (no DOI),NCT01056419,official trial registry,A1 official registry,Frozen full protocol record; no posted results at data cut,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT01056419; document_id=CTGOV-NCT01056419-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,ClinicalTrials.gov. The Effect of Early Total Thyroidectomy in the Course of Graves' Orbitopathy. NCT01056419. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT01056419,2026-09-10,2.0.0
767,v2_frozen_registry_record,"A Randomised, Comparator Controlled, Two Part, Open-label Study to Evaluate the Safety, Tolerability and Pharmacodynamics of Multiple Doses of Otelixizumab in Patients With Thyroid Orbitopathy",ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT01114503,NA (no DOI),NCT01114503,official trial registry,A1 official registry,Frozen full protocol and posted-results record,Yes (canonical frozen JSON record plus deterministic trial-table row locator),frozen_trial_registry_documents_v2.jsonl::trial_id=NCT01114503; document_id=CTGOV-NCT01114503-CUT-2026-09-10,2026-09-10 frozen registry cut,Controls trial protocol/status and posted registry results for this release; no cross-trial efficacy ranking.,"ClinicalTrials.gov. A Randomised, Comparator Controlled, Two Part, Open-label Study to Evaluate the Safety, Tolerability and Pharmacodynamics of Multiple Doses of Otelixizumab in Patients With Thyroid Orbitopathy. NCT01114503. Frozen record at 2026-09-10. https://clinicaltrials.gov/study/NCT01114503",2026-09-10,2.0.0
