anchor_id,source_id,document_id,locator,raw_quote,quote_start,quote_end,source_record_sha256,document_text_sha256,quote_sha256,source_url,population,disease_stage,intervention,endpoint_claim_scope,evidence_role,access_depth,uncertainty,data_cut,schema_version,notes
LCA0321-CTIS-PHASE-STATUS,2,DIRECT-S002-D01,canonical document characters 131-251; exact UTF-8 substring,"2025-524053-14-00 Protocol LCA-0321-01 Human pharmacology (Phase I) - First administration to humans Ongoing, recruiting",131,251,47e171d4b9e80f0ff5fc6eb01ea478ed274fce2bb0152c38227855e685c799bc,f60cd7d820ac1a4ed6672326b22d835a73b89637b3b11c4a97bb0237420ea5c3,048888454b2ed81a5c04eb6b9c5a036940e6574753380b280cc5e9ddf8e8bc0d,https://ctis.eu/trial/2025-524053-14-00,CTIS-listed Graves disease participants,Phase 1 first administration to humans,LCA-0321,"Protocol identity, Phase 1, first-in-human, and ongoing/recruiting status",Official-registry protocol/status,Retrieved official-registry document block,Registry status at frozen cut; no posted efficacy result.,2026-09-10,2.0.0,Whitespace surrounding the exact quote is excluded from the anchor.
LCA0321-CTIS-PLANNED-N,2,DIRECT-S002-D01,canonical document characters 492-515; exact UTF-8 substring,Participants planned 48,492,515,47e171d4b9e80f0ff5fc6eb01ea478ed274fce2bb0152c38227855e685c799bc,f60cd7d820ac1a4ed6672326b22d835a73b89637b3b11c4a97bb0237420ea5c3,6103f58b1ecd27db92d4eaacb11222d4292c4923f51326d90523f9004c0062cd,https://ctis.eu/trial/2025-524053-14-00,CTIS-listed Graves disease participants,Phase 1,LCA-0321,Planned enrollment of 48; not analyzed N,Official-registry enrollment plan,Retrieved official-registry document block,Planned enrollment may differ from enrolled or analyzed participants.,2026-09-10,2.0.0,Do not substitute planned N for analyzed N.
LCA0321-CTIS-SAD-MAD-TITLE,2,DIRECT-S002-D01,canonical document characters 54-128; exact UTF-8 substring,# Phase 1 Single Ascending and Multiple Ascending Dose Study with LCA-0321,54,128,47e171d4b9e80f0ff5fc6eb01ea478ed274fce2bb0152c38227855e685c799bc,f60cd7d820ac1a4ed6672326b22d835a73b89637b3b11c4a97bb0237420ea5c3,e94261a55923340e0f5b32a0700f503f33914c7c2ba354e7835d5c3b5544ee08,https://ctis.eu/trial/2025-524053-14-00,CTIS-listed Graves disease participants,Phase 1,LCA-0321,Single-ascending-dose and multiple-ascending-dose study design,Official-registry study title,Retrieved official-registry document block,Protocol design only; no efficacy inference.,2026-09-10,2.0.0,NA (no additional notes)
LCA0321-SPONSOR-DESIGN,1,DIRECT-S001-D01,canonical document characters 1590-1849; exact UTF-8 substring,"LCA-0321 is designed to specifically bind and rapidly eliminate the disease-causing Thyroid Stimulating Hormone Receptor (TSHR) autoantibodies that attack the thyroid and prevent excessive thyroid hormone production, without causing general immunosuppression.",1590,1849,ae422cfbb8a6b2768baca2f7c0ecc5463914ab9a5973da66d8e9525ebec14c2e,3ff9598e3d10a8458e040564332a5a2b71a2f5517200de5b603e652a45646d6c,5f540e4878add27c6fb527e2d5f58d1bd002843f82987e533dc94c6d9e37c629,https://lyciatx.com/pipeline/programs/,Sponsor pipeline; preclinical/investigational framing,Graves’ disease and potential TED program,LCA-0321,Sponsor-described design hypothesis: anti-TSHR autoantibody binding/elimination without general immunosuppression,Sponsor-primary mechanistic design,Retrieved web-source document block; not asserted as full page text,Designed or intended mechanism; human selectivity and clinical benefit are unestablished.,2026-09-10,2.0.0,The source separately states that safety and efficacy are under investigation and not established.
LCA0321-SPONSOR-GD-TED-SCOPE,1,DIRECT-S001-D01,canonical document characters 1850-1975; exact UTF-8 substring,"We are developing LCA-0321 as a potential treatment for Graves’ disease and its extrathyroidal manifestations, including TED.",1850,1975,ae422cfbb8a6b2768baca2f7c0ecc5463914ab9a5973da66d8e9525ebec14c2e,3ff9598e3d10a8458e040564332a5a2b71a2f5517200de5b603e652a45646d6c,07326fe6fd855774d0f429316af1256ff6ec09d1119b88c549599de9355e708f,https://lyciatx.com/pipeline/programs/,Sponsor-defined intended population,Graves’ disease including TED,LCA-0321,Intended development scope only,Sponsor-primary indication scope,Retrieved web-source document block; not asserted as full page text,Potential treatment statement; no efficacy inference.,2026-09-10,2.0.0,NA (no additional notes)
LCA0321-SPONSOR-IDENTITY-MECHANISM,1,DIRECT-S001-D01,canonical document characters 240-307; exact UTF-8 substring,| LCA-0321 | a-TSHR AAbs LYTAC degrader | Graves’ Disease | | | | |,240,307,ae422cfbb8a6b2768baca2f7c0ecc5463914ab9a5973da66d8e9525ebec14c2e,3ff9598e3d10a8458e040564332a5a2b71a2f5517200de5b603e652a45646d6c,194a38c18bf6d059e3a5c007e55783117a61b46ffeeff13f202f140d43a3bf47,https://lyciatx.com/pipeline/programs/,Sponsor pipeline; no clinical population asserted,Graves’ disease development program,LCA-0321,"Asset identity, target class, modality, and indication only",Sponsor-primary program identity and mechanism,Retrieved web-source document block; not asserted as full page text,"Sponsor description; no human efficacy, safety, or durability inference.",2026-09-10,2.0.0,AAbs denotes autoantibodies in the source legend.
MER511-NEXUS-AGE-PKPD,7,DIRECT-S007-D01,canonical document characters 837-1123; exact UTF-8 substring,"This Phase 1, first-in-human, multicenter study will evaluate the safety, tolerability, pharmacokinetics (PK), pharmacodynamics (PD), and immunogenicity of single and multiple ascending doses of MER511 administered to adults (18 to 55 years of age, inclusive) with GD (Graves' disease).",837,1123,a2b7de5bc86c4dd5a04d29ecf6517aacd25aca1e661531bd1961f7714d49ff73,ec8afd070c1031d6ff1233bbb861e51c9898a14a66db8c7cea4d93badf99c3f5,ff267f7d1a0d4b7d884e87bdd4350514edad3d3b003560e6ee1ede70a957989d,https://clinicaltrials.gov/study/NCT07305818,Adults aged 18–55 years with Graves’ disease,Phase 1 first-in-human,MER511,"Age range, SAD/MAD, safety, PK, PD, and immunogenicity study objectives",Official-registry detailed description,Retrieved official-registry document block,Protocol objectives only; no result or broader-population generalization.,2026-09-10,2.0.0,Do not generalize beyond the stated age range.
MER511-NEXUS-OFFICIAL-TITLE,7,DIRECT-S007-D01,canonical document characters 111-393; exact UTF-8 substring,"- Official title: A Phase 1, First-in-Human, Placebo-Controlled, Single and Multiple Ascending Dose Study to Evaluate Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Immunogenicity of Intravenous and Subcutaneous Administration of MER511 in Adults With Graves' Disease",111,393,a2b7de5bc86c4dd5a04d29ecf6517aacd25aca1e661531bd1961f7714d49ff73,ec8afd070c1031d6ff1233bbb861e51c9898a14a66db8c7cea4d93badf99c3f5,8f68112fb672c7cd7a9cbef8f1c462948b48212ce7c62a6248bd598a857efa03,https://clinicaltrials.gov/study/NCT07305818,Adults with Graves’ disease,Phase 1 first-in-human,MER511 IV and SC,"Phase, control, SAD/MAD, routes, population, and study-purpose domains",Official-registry study title,Retrieved official-registry document block,Protocol description; no posted clinical efficacy inference.,2026-09-10,2.0.0,NA (no additional notes)
MER511-NEXUS-RECRUITING,7,DIRECT-S007-D01,canonical document characters 429-449; exact UTF-8 substring,- Status: RECRUITING,429,449,a2b7de5bc86c4dd5a04d29ecf6517aacd25aca1e661531bd1961f7714d49ff73,ec8afd070c1031d6ff1233bbb861e51c9898a14a66db8c7cea4d93badf99c3f5,26ef04837d6e5481c63254aa9a42d537ce3e0e4128e0a74d28cbc6dcc5db3476,https://clinicaltrials.gov/study/NCT07305818,Adults with Graves’ disease,Phase 1,MER511,Recruiting registry status at frozen cut,Official-registry status,Retrieved official-registry document block,Registry status can change after the frozen data cut.,2026-09-10,2.0.0,Data cut controls; later registry changes are excluded.
MER511-NEXUS-ROUTES-PURPOSE,7,DIRECT-S007-D01,canonical document characters 577-832; exact UTF-8 substring,The purpose of this study is to evaluate how well MER511 is tolerated and what side effects may occur in adults who have Graves' disease. The study drug will be administered either intravenously (into a vein in the arm) or subcutaneously (under the skin).,577,832,a2b7de5bc86c4dd5a04d29ecf6517aacd25aca1e661531bd1961f7714d49ff73,ec8afd070c1031d6ff1233bbb861e51c9898a14a66db8c7cea4d93badf99c3f5,636959cbafedbbaa55a23ffd6285a5b23fc9c65fcfe0c04d473fbde9e30eb2c3,https://clinicaltrials.gov/study/NCT07305818,Adults with Graves’ disease,Phase 1,MER511 IV and SC,Safety/tolerability purpose and administration routes,Official-registry plain-language summary,Retrieved official-registry document block,Study purpose and routes only; no outcome result.,2026-09-10,2.0.0,NA (no additional notes)
MER511-OR31-AAB-B-CELL-MECHANISM,8,DIRECT-S008-D01,canonical document characters 1079-1286; exact UTF-8 substring,"MER511 specifically binds and neutralizes patient-derived anti-TSHR autoantibodies, leading to clearance and deg radation via FcγRIIB in LSECs while concurrently inhibit ing antigen-specific B-cell function.",1079,1286,d2a2bf791ea1ce5b2ba7c19b4e39b3ded849895777a32a4c8436fb1752a3ad04,d8350b85faec737338cc493947212b8f38a59ca33648488a7e32fcc3f042893b,8dd5afd389cd9129e455f747f72e343e62994a255a05880906c75cfafeb18670,https://doi.org/10.1210/jendso/bvaf149.2238,Patient-derived samples and preclinical systems,Preclinical mechanism,MER511,"Anti-TSHR autoantibody binding/neutralization, FcγRIIB-linked clearance/degradation, and antigen-specific B-cell-function inhibition",Peer-reviewed congress-abstract mechanistic evidence,Retrieved peer-reviewed congress-abstract document block; not full article evidence,Patient-derived/preclinical evidence; not a clinical efficacy result.,2026-09-10,2.0.0,Verbatim quote preserves source extraction spacing in ‘deg radation’ and ‘inhibit ing’.
MER511-OR31-CONSTRUCT,8,DIRECT-S008-D01,canonical document characters 807-1078; exact UTF-8 substring,"MER511, a monomeric TSHR-IgG Fc fusion protein that combines the TSHR ectodomain with a mutated Fc domain that specifically increases affinity to the inhibitory and en docytic receptor, FcγRIIB, while abrogating affinity to acti vating FcγRs and complement component C1q.",807,1078,d2a2bf791ea1ce5b2ba7c19b4e39b3ded849895777a32a4c8436fb1752a3ad04,d8350b85faec737338cc493947212b8f38a59ca33648488a7e32fcc3f042893b,e5096a540faffe78f683aee674f6771528ffbd34c6e622d220d59bf7b146ba12,https://doi.org/10.1210/jendso/bvaf149.2238,Preclinical construct; congress abstract,Preclinical mechanism,MER511,Construct and engineered Fc binding properties,Peer-reviewed congress-abstract mechanistic evidence,Retrieved peer-reviewed congress-abstract document block; not full article evidence,Abstract-level preclinical evidence; extracted line-break artifacts are preserved; no human efficacy inference.,2026-09-10,2.0.0,Verbatim quote preserves source extraction spacing in ‘en docytic’ and ‘acti vating’.
MER511-OR31-SELECTIVE-DEPLETION-MOUSE,8,DIRECT-S008-D01,canonical document characters 1630-1893; exact UTF-8 substring,"In a human ized FcγR/FcRn mouse model, MER511 rapidly depleted passively transferred patient-derived monoclonal autoanti bodies (M22), and unlike the FcRn drug class, this depletion was specific to TSHR autoantibodies, as total mouse IgG levels were not impacted.",1630,1893,d2a2bf791ea1ce5b2ba7c19b4e39b3ded849895777a32a4c8436fb1752a3ad04,d8350b85faec737338cc493947212b8f38a59ca33648488a7e32fcc3f042893b,7507435a43f237fe83f83b27dc14d1ebc8024d5433d0517964225b8bf678df43,https://doi.org/10.1210/jendso/bvaf149.2238,Humanized FcγR/FcRn mouse model,Preclinical mechanism/selectivity,MER511,Model-specific M22 depletion and mouse total-IgG selectivity,Peer-reviewed congress-abstract preclinical evidence,Retrieved peer-reviewed congress-abstract document block; not full article evidence,"Model-specific finding; no human efficacy, selectivity, or cross-class clinical comparison.",2026-09-10,2.0.0,Verbatim quote preserves source extraction spacing in ‘human ized’ and ‘autoanti bodies’.
MER511-OR31-TSH-SIGNALING,8,DIRECT-S008-D01,canonical document characters 1495-1629; exact UTF-8 substring,"Additionally, MER511 does not bind TSH or impact TSH signaling, thus enabling the res toration of normal thyroid function in patients.",1495,1629,d2a2bf791ea1ce5b2ba7c19b4e39b3ded849895777a32a4c8436fb1752a3ad04,d8350b85faec737338cc493947212b8f38a59ca33648488a7e32fcc3f042893b,f88487295696471dbf3b57591a96b9ac5bd615f6c0b3873b9937648808d891a3,https://doi.org/10.1210/jendso/bvaf149.2238,Preclinical/patient-sample abstract context,Preclinical mechanism,MER511,Abstract-reported nonbinding to TSH and lack of impact on TSH signaling,Peer-reviewed congress-abstract differentiation evidence,Retrieved peer-reviewed congress-abstract document block; not full article evidence,The clinical-restoration wording is aspirational/extrapolative; human preservation of TSH signaling is unverified.,2026-09-10,2.0.0,Verbatim quote preserves source extraction spacing in ‘res toration’.
MER511-SPONSOR-NEXUS-PHASE1,6,DIRECT-S006-D01,canonical document characters 1230-1320; exact UTF-8 substring,MER511 is being evaluated in the NEXUS Phase 1 Study for the treatment of Graves’ disease.,1230,1320,4008090c9780b4835b9fcb70b5525658bd705b512b771c82e405737113da31df,d85b855af9f2610eef6173550251fe2ee64538d53c090b879cad78c0d02b3538,601ae42d891e8c9e63e9197600e2106353d98976bdab2420a6921c9110957179,https://meridabio.com/pipeline-programs/,Graves’ disease,Phase 1,MER511,NEXUS Phase 1 development status,Sponsor-primary trial linkage,Retrieved sponsor web-source document block; not asserted as full page text,Sponsor status corroborated with official registry source 7.,2026-09-10,2.0.0,NA (no additional notes)
MER511-SPONSOR-PRECISION-DESIGN,6,DIRECT-S006-D01,canonical document characters 848-1023; exact UTF-8 substring,"Merida is developing MER511, a precision biologic designed to selectively eliminate pathogenic autoantibodies and their B-cell sources while preserving normal immune function.",848,1023,4008090c9780b4835b9fcb70b5525658bd705b512b771c82e405737113da31df,d85b855af9f2610eef6173550251fe2ee64538d53c090b879cad78c0d02b3538,d5cfae9b673cfee3f10a3d3b132a60c8e9b078bf68662268dd9914783ee393a8,https://meridabio.com/pipeline-programs/,Sponsor-defined investigational Graves’ disease program,Preclinical-to-Phase 1 sponsor framing,MER511,Sponsor-described autoantibody/B-cell-source selectivity design,Sponsor-primary mechanistic design,Retrieved sponsor web-source document block; not asserted as full page text,"Designed mechanism; human selectivity, efficacy, safety, and durability remain unknown.",2026-09-10,2.0.0,NA (no additional notes)
