trial_id,disposition,primary_interpretation,efficacy,safety,durability,source_ids,caveats,n_randomized_registry_flow,analysis_denominator_note,source_anchor,data_cut,curation_version,verification_status
NCT00595335,negative_randomized,6개월 CAS 변화와 failure rate에서 rituximab이 methylprednisolone 대비 우월하지 않았다.,"CAS change −1.2 (n=13) vs −1.5 (n=12), p=0.73; failure 69% vs 75%, p=0.75.",SAE 2/13 vs 0/12.,공개 결과로 durable benefit 입증 없음.,ClinicalTrials.gov; NCT00595335,소규모 randomized trial; negative result를 보존.,25,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT00595335,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT01114503,terminated_uninterpretable,n=2로 효능 해석이 불가능하며 dose 이해를 기다리며 종료되었다.,해석 가능한 efficacy endpoint 없음.,2/2 AE 및 drug-related AE; SAE 0.,없음.,ClinicalTrials.gov; NCT01114503,Termination은 명시된 dose-development 사유이며 mechanistic failure로 해석하지 않음.,2,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT01114503,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT01269749,no_posted_efficacy,pediatric RAI/ATD 연구지만 posted outcome-measurement row가 없어 efficacy 또는 remission을 추론할 수 없다.,"RAI 16, ATD 3; posted quantitative efficacy 없음.",4년 동안 reported death/SAE/other AE 0.,효능 durability 미평가.,ClinicalTrials.gov; NCT01269749,등록 결과의 부재는 무효과를 뜻하지 않음.,NA (not randomized),Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT01269749,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT01868997,positive_randomized,active TED에서 teprotumumab은 Week 24 composite response와 proptosis를 유의하게 개선했다.,"Composite response 29/42 vs 9/45, p<0.001; OR 8.86 (95% CI 3.293–23.825); proptosis LS change −2.46 vs −0.15 mm.",SAE 5/43 vs 1/44.,등록 결과만으로 장기 durability 제한.,ClinicalTrials.gov; NCT01868997,IGF-1R class efficacy를 보이나 GD biochemical remission 증거가 아님.,87,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT01868997,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT01950260,negative_primary,RAI 후 조기 levothyroxine은 8주 overt hypothyroidism primary endpoint를 유의하게 줄이지 못했다.,"11/30 vs 17/31, p=0.23; QoL nonsignificant.",SAE 1/30 vs 0/31.,장기 disease remission endpoint 아님.,ClinicalTrials.gov; NCT01950260,Primary endpoint negative.,61,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT01950260,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT02378298,nonrandomized_descriptive,선택된 rescue cohorts에서 rituximab/MTX 후 CAS 감소가 관찰됐지만 causal 비교는 불가하다.,"Week 68 CAS 3.0, 2.58, 2.14 across non-equivalent cohorts; inferential statistics 없음.",Registry arm-level safety 참조.,Week 68 관찰이나 selection/confounding이 큼.,ClinicalTrials.gov; NCT02378298,Nonrandomized selected cohorts; cohort 간 우열 비교 금지.,NA (not randomized),Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT02378298,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT02713256,single_arm_weak,iscalimab 단일군에서 Week 12 TSH normalization은 0%였다.,13 evaluable: TSH normalization 0%; total T3 below ULN 38.5%; FT4 below ULN 30.8%.,SAE 1/15.,Off-treatment remission 자료 없음.,ClinicalTrials.gov; NCT02713256,"Single arm, small N.",NA (not randomized),Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT02713256,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT02845336,terminated_infeasible,poor enrollment로 종료되어 feasibility 실패이며 efficacy 판단 근거가 아니다.,"7 enrolled; outcome에는 treated 1명, control 0명; 해당 1명 CAS/proptosis change 0.",해석 가능한 비교 없음.,없음.,ClinicalTrials.gov; NCT02845336,Mechanistic failure로 분류하지 않음.,7,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT02845336,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT02973802,exploratory_single_arm,ATX-GD-59 Phase 1에서 thyroid/antibody biomarker 개선 신호가 있었지만 remission proof는 아니다.,Week 22: TBII −0.6602 IU/L; TSAb −54 %SRR; FT3 −14.19%; FT4 −14.54%; TSH +0.309 mIU/L.,311 AEs: 293 mild/18 moderate; 180 treatment-related; 3 serious events in one participant; 153 injection-related events.,Full paper에서 2명이 1년 off-ATD euthyroid였으나 uncontrolled spontaneous remission 대안이 큼.,[253]; ClinicalTrials.gov; NCT02973802,Open-label n=12; authors도 placebo-controlled proof 필요성을 명시.,NA (not randomized),Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT02973802,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT02993302,negative_biomarker,PTU+alfacalcidol은 prespecified immune biomarkers를 개선하지 못했다.,CD80 p=0.48; CD206 p=0.47; IL-12/IL-10 p=0.53.,Reported AE 없음.,없음.,ClinicalTrials.gov; NCT02993302,Negative biomarker study.,25,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT02993302,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT03298867,positive_randomized,OPTIC에서 teprotumumab은 Week 24 proptosis response를 크게 높였다.,"PRR 82.9% vs 9.5%, p<0.001; RD 73.45 points; overall response 78.0% vs 7.1%; CAS 0/1 58.5% vs 21.4%.",SAE 2/41 vs 1/42.,Pivotal phase 본체는 Week 24; extension durability는 별도 selected cohort.,ClinicalTrials.gov; NCT03298867,TED structural/clinical response이며 GD cure가 아님.,83,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT03298867,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT03461211,open_label_extension,OPTIC-X는 prior-placebo crossover와 selected retreatment/nonresponder cohorts에서 추가 response를 보였다.,Prior placebo crossover PRR 33/37; original nonresponders retreatment 2/5; flare retreatment 5/8.,Mild hearing impairment 보고; 새로운 safety signal 없음.,Crossover responders 중 Week 48 PRR maintenance 29/32.,[191]; ClinicalTrials.gov; NCT03461211,Randomized comparator가 아닌 selected open-label extension.,NA (not randomized),Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT03461211,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT03922321,single_arm_pd,RVT-1401 pilot은 strong IgG PD를 보였으나 clinical efficacy inference는 약하다.,n=7; total IgG 약 65% 감소; anti-TSHR −10.59 IU/mL (n=3); proptosis responders 3/7.,7/7 TEAE; 6/7 treatment-related; SAE 0.,없음.,ClinicalTrials.gov; NCT03922321,Single arm and very small N.,NA (not randomized),Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT03922321,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
