blind_order,blind_id,adjudication_batch,claim_id,claim_type,blind_verdict,blind_failure_mode,adjudication_rationale,evidence_reviewed,precheck_status,resolution,source_ids,exact_anchors,canonical_artifact,canonical_row_ids,blind_packet_sha256,review_date,data_cut,review_independence
1,BLIND-0001,BATCH-01,POP-OLDER-002,analytical_population_boundary,support,support,Verified the exact special-population category locator (category=GD in older adults across five regions) across five regions and confirmed nonblank endpoint/risk boundaries; claim-specific category checks passed.,sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:soc_outcomes_v2.csv::category=GD in older adults across five regions | canonical=soc_outcomes_v2.csv::category=GD in older adults across five regions,PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:soc_outcomes_v2.csv::category=GD in older adults across five regions,soc_outcomes_v2.csv,category=GD in older adults across five regions,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
2,BLIND-0002,BATCH-01,DIRECT-MER-MECHANISM,direct_program_mechanism_or_status,support,support,"Sponsor and OR31-05 anchors identify a TSHR-IgG Fc fusion and describe anti-TSHR autoantibody neutralization/clearance plus antigen-specific B-cell-function inhibition. The wording is explicitly design/preclinical, not human efficacy.",sources=6; 8 | exact_anchors=DIRECT_ANCHOR:MER511-SPONSOR-PRECISION-DESIGN; DIRECT_ANCHOR:MER511-OR31-CONSTRUCT; DIRECT_ANCHOR:MER511-OR31-AAB-B-CELL-MECHANISM | canonical=claim_evidence_anchors_v2.csv::DIRECT_ANCHOR:MER511-SPONSOR-PRECISION-DESIGN;DIRECT_ANCHOR:MER511-OR31-CONSTRUCT;DIRECT_ANCHOR:MER511-OR31-AAB-B-CELL-MECHANISM,PASS,NA (no correction required),6; 8,DIRECT_ANCHOR:MER511-SPONSOR-PRECISION-DESIGN; DIRECT_ANCHOR:MER511-OR31-CONSTRUCT; DIRECT_ANCHOR:MER511-OR31-AAB-B-CELL-MECHANISM,claim_evidence_anchors_v2.csv,DIRECT_ANCHOR:MER511-SPONSOR-PRECISION-DESIGN;DIRECT_ANCHOR:MER511-OR31-CONSTRUCT;DIRECT_ANCHOR:MER511-OR31-AAB-B-CELL-MECHANISM,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
3,BLIND-0003,BATCH-01,REG-KR-LUMVOA-AUTH,regional_authorization_status,support,support,"For SOC-KR-TED-LUMVOA, authorization text/value matched the canonical SoC field and the claim-specific regulator or documented query source subset; unresolved wording was not converted to absence.",sources=750 | exact_anchors=CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-KR-TED-LUMVOA;field=authorization_status_scope | canonical=soc_outcomes_v2.csv::soc_id=SOC-KR-TED-LUMVOA; field=authorization_status_scope,PASS,NA (no correction required),750,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-KR-TED-LUMVOA;field=authorization_status_scope,soc_outcomes_v2.csv,soc_id=SOC-KR-TED-LUMVOA; field=authorization_status_scope,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
4,BLIND-0004,BATCH-01,ASSET-029,complete_asset_inventory_row,support,support,"For NTB003 / BCG009, every displayed identity/indication/target/stage/status/tier/confidence field matched the canonical asset row, its row hash, and resolved source IDs.",sources=404; 495; 904 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=NTB003 / BCG009;row_sha256=d902b3738f7256ea22a7f7905ee1637fe210cdf77a83aadf2bd5362a5ae0c718 | canonical=pipeline_assets_v2.csv::asset=NTB003 / BCG009,PASS,NA (no correction required),404; 495; 904,CANONICAL:pipeline_assets_v2.csv::asset=NTB003 / BCG009;row_sha256=d902b3738f7256ea22a7f7905ee1637fe210cdf77a83aadf2bd5362a5ae0c718,pipeline_assets_v2.csv,asset=NTB003 / BCG009,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
5,BLIND-0005,BATCH-01,TRIAL-011-INTERPRETATION,trial_primary_interpretation,support,support,"For NCT03298867, the primary interpretation/disposition matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=807 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT03298867 | canonical=result_trial_curation_v2.csv::trial_id=NCT03298867; field=primary_interpretation,PASS,NA (no correction required),807,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT03298867,result_trial_curation_v2.csv,trial_id=NCT03298867; field=primary_interpretation,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
6,BLIND-0006,BATCH-01,CONCLUSION-001,bounded_evidence_summary,support,support,"The frozen NCT01868997 record/curation supplies randomized TED evidence, and exact US, EU/EEA, UK, and Japan regulator anchors supply authorization evidence. The sentence expressly blocks extrapolation to GD pathogenic-autoimmunity removal or durable off-treatment remission.",sources=728; 729; 731; 735; 780 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT01868997; SOURCE_ANCHOR:US-TEPEZZA-LABEL-INDICATION; SOURCE_ANCHOR:EU-EMA-TEPEZZA-INDICATION; SOURCE_ANCHOR:UK-MHRA-TEPEZZA-APPROVAL; SOURCE_ANCHOR:JP-PMDA-TEPEZZA-REVIEW-CONCLUSION | canonical=result_trial_curation_v2.csv; soc_outcomes_v2.csv::trial_id=NCT01868997; soc_id in SOC-US/EU/UK/JP-TED-TEPEZZA,PASS,NA (no correction required),728; 729; 731; 735; 780,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT01868997; SOURCE_ANCHOR:US-TEPEZZA-LABEL-INDICATION; SOURCE_ANCHOR:EU-EMA-TEPEZZA-INDICATION; SOURCE_ANCHOR:UK-MHRA-TEPEZZA-APPROVAL; SOURCE_ANCHOR:JP-PMDA-TEPEZZA-REVIEW-CONCLUSION,result_trial_curation_v2.csv; soc_outcomes_v2.csv,trial_id=NCT01868997; soc_id in SOC-US/EU/UK/JP-TED-TEPEZZA,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
7,BLIND-0007,BATCH-01,METHOD-008,internal_status_count,support,support,Recounted the status-specific trial subset as 22; claim text/value and frozen clinical-trial artifact hash matched.,sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:clinical_trials_v2.csv::field=overall_status | value=UNKNOWN | canonical=clinical_trials_v2.csv::field=overall_status; value=UNKNOWN,PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=UNKNOWN,clinical_trials_v2.csv,field=overall_status; value=UNKNOWN,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
8,BLIND-0008,BATCH-01,METHOD-009,internal_status_count,support,support,Recounted the status-specific trial subset as 14; claim text/value and frozen clinical-trial artifact hash matched.,sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:clinical_trials_v2.csv::field=overall_status | value=NOT_YET_RECRUITING | canonical=clinical_trials_v2.csv::field=overall_status; value=NOT_YET_RECRUITING,PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=NOT_YET_RECRUITING,clinical_trials_v2.csv,field=overall_status; value=NOT_YET_RECRUITING,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
9,BLIND-0009,BATCH-01,TRIAL-001-INTERPRETATION,trial_primary_interpretation,support,support,"For NCT00595335, the primary interpretation/disposition matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=762 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT00595335 | canonical=result_trial_curation_v2.csv::trial_id=NCT00595335; field=primary_interpretation,PASS,NA (no correction required),762,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT00595335,result_trial_curation_v2.csv,trial_id=NCT00595335; field=primary_interpretation,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
10,BLIND-0010,BATCH-01,ASSET-045,complete_asset_inventory_row,support,support,"For Veligrotug (Lumvoa), every displayed identity/indication/target/stage/status/tier/confidence field matched the canonical asset row, its row hash, and resolved source IDs.",sources=230; 373; 726; 727; 829; 845; 852; 859 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=Veligrotug (Lumvoa);row_sha256=499589f3bf08bfc18cca9d333f0d33ab24e528c4c1018bbbb58956ef4d7bc0af | canonical=pipeline_assets_v2.csv::asset=Veligrotug (Lumvoa),PASS,NA (no correction required),230; 373; 726; 727; 829; 845; 852; 859,CANONICAL:pipeline_assets_v2.csv::asset=Veligrotug (Lumvoa);row_sha256=499589f3bf08bfc18cca9d333f0d33ab24e528c4c1018bbbb58956ef4d7bc0af,pipeline_assets_v2.csv,asset=Veligrotug (Lumvoa),bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
