anchor_id,source_id,block_id,locator,raw_quote,quote_start,quote_end,source_sha256,block_text_sha256,quote_sha256,jurisdiction,authority_scope,population,disease_stage,intervention,endpoint_claim_scope,evidence_role,uncertainty,data_cut,schema_version,notes
EU-EMA-TEPEZZA-AUTH-DATE,729,S729-B00099,section:Other information about Tepezza,Tepezza received a marketing authorisation valid throughout the EU on 19 June 2025.,0,83,b39b1afeb2b54fb47f0507379a2bebd113f2e82d69d4264d7af194cb045203c0,ad182e5706d5898559b33b11875c0dd4fca7ab20a9a60bbe5b466d03447c6faf,ad182e5706d5898559b33b11875c0dd4fca7ab20a9a60bbe5b466d03447c6faf,EU/EEA,A1 regulator; European Medicines Agency,NA (authorization record),Moderate-to-severe TED authorization,Teprotumumab (Tepezza),EU marketing-authorization date,Regulator authorization or prescribing information,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-EMA-TEPEZZA-DOSE,729,S729-B00065,section:How is Tepezza used?,"Tepezza is given as an infusion (drip) into a vein, once every three weeks for a total of eight infusions.",0,106,b39b1afeb2b54fb47f0507379a2bebd113f2e82d69d4264d7af194cb045203c0,0e96fbd0638116a96955e30d9fabc74a31380cfe2d717320f7c76a04f949bfdd,0e96fbd0638116a96955e30d9fabc74a31380cfe2d717320f7c76a04f949bfdd,EU/EEA,A1 regulator; European Medicines Agency,Adults receiving Tepezza,Moderate-to-severe TED,Teprotumumab (Tepezza),EU dosing frequency and total infusions,Regulator authorization or prescribing information,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-EMA-TEPEZZA-INDICATION,729,S729-B00057,section:Overview,"Tepezza is a medicine used to treat adults with moderate to severe thyroid eye disease (TED, also known as Graves’ eye disease), an autoimmune disease that triggers inflammation of muscles, fat, and other tissues around and behind the eyes. This can push the eyes forward causing them to bulge. An autoimmune disease is caused by the body’s own defence system attacking normal tissue.",0,384,b39b1afeb2b54fb47f0507379a2bebd113f2e82d69d4264d7af194cb045203c0,dca831017af85ee5b3d98c1264ce104ee74ca22d0ed899aa9f54a076ba3391ad,dca831017af85ee5b3d98c1264ce104ee74ca22d0ed899aa9f54a076ba3391ad,EU/EEA,A1 regulator; European Medicines Agency,Adults,Moderate-to-severe TED,Teprotumumab (Tepezza),EU authorized population and disease severity,Regulator authorization or prescribing information,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R13,39,S039-B00146,section:Recommendation,"13 If a patient with GD becomes hyperthyroid after completing a first course of ATD, definitive treatment with RAI or thyroidectomy is recommended. Continued long-term low-dose MMI can be considered in patients not in remission who prefer this approach. 1, ∅∅∅○",0,261,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,60ce2ccdd96621d233dff7aae494d14aaf32f738517e5f6c3def8255aa8b3931,60ce2ccdd96621d233dff7aae494d14aaf32f738517e5f6c3def8255aa8b3931,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R19,39,S039-B00164,section:Recommendations,"19 If ATD are used before RAI therapy they should be paused around 1 week before and after therapy in order not to decrease the efficacy of RAI therapy. 1, ∅∅∅∅",0,160,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,db03c5f945661e012a70580c56ed54406f9667757cd355971c0524f362895c9a,db03c5f945661e012a70580c56ed54406f9667757cd355971c0524f362895c9a,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R21,39,S039-B00166,section:Recommendations,"21 Pregnancy and breast feeding constitute absolute contraindications to RAI therapy. 1, ∅∅∅○",0,93,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,950f03df9e06fe2e6c10ead107b46204d61c23b97721ff3e9b78cdfabb426ee2,950f03df9e06fe2e6c10ead107b46204d61c23b97721ff3e9b78cdfabb426ee2,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R22,39,S039-B00167,section:Recommendations,"22 Conception should be postponed until at least 6 months after RAI in both males and females. 1, ∅∅∅○",0,102,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,1380ac6a8b74c1d662a622d93406e0d8625348365f1c7ccc1a789792a36faa85,1380ac6a8b74c1d662a622d93406e0d8625348365f1c7ccc1a789792a36faa85,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R24,39,S039-B00178,section:Recommendations,"24 If surgery is selected, total thyroidectomy is the procedure of choice, and should be performed by a skilled surgeon with high annual volumes of thyroidectomies. 1, ∅∅∅∅",0,172,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,43e898405021053615840bd61046a5dd5e0754ee190574944968e62939ba1888,43e898405021053615840bd61046a5dd5e0754ee190574944968e62939ba1888,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R29,39,S039-B00212,section:Recommendations,"29 Patients treated with RAI should receive steroid prophylaxis if mild and active GO preexists or there are risk factors for RAI-associated GO occurrence or progression. 1, ∅∅∅∅",0,178,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,d5ed8b269ee40a9f14eae38c069cba32ad1eae83be0c5cd5862c4391dab56ebc,d5ed8b269ee40a9f14eae38c069cba32ad1eae83be0c5cd5862c4391dab56ebc,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R35,39,S039-B00221,section:Recommendations,"35 Women treated with MMI should be switched to PTU when planning pregnancy and/or during the first trimester of pregnancy. 1, ∅∅∅∅",0,131,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,72a0df9a7c4b77be14749d5268df984500672c5426fd185ed2b2645bf9dcb3cb,72a0df9a7c4b77be14749d5268df984500672c5426fd185ed2b2645bf9dcb3cb,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
