claim_id,section,claim_text,population_context,source_id,source_url,source_type,evidence_tier,access_depth,anchor_or_locator,first_pass_stance,blind_verdict,blind_failure_mode,discrepancy_resolution,core_claim,last_verified,notes
TRIAL-001,Clinical outcomes,6개월 CAS 변화와 failure rate에서 rituximab이 methylprednisolone 대비 우월하지 않았다.,NCT00595335,ClinicalTrials.gov; NCT00595335,https://clinicaltrials.gov/study/NCT00595335,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,소규모 randomized trial; negative result를 보존.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-002,Clinical outcomes,n=2로 효능 해석이 불가능하며 dose 이해를 기다리며 종료되었다.,NCT01114503,ClinicalTrials.gov; NCT01114503,https://clinicaltrials.gov/study/NCT01114503,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Termination은 명시된 dose-development 사유이며 mechanistic failure로 해석하지 않음.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-003,Clinical outcomes,pediatric RAI/ATD 연구지만 posted outcome-measurement row가 없어 efficacy 또는 remission을 추론할 수 없다.,NCT01269749,ClinicalTrials.gov; NCT01269749,https://clinicaltrials.gov/study/NCT01269749,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,등록 결과의 부재는 무효과를 뜻하지 않음.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-004,Clinical outcomes,active TED에서 teprotumumab은 Week 24 composite response와 proptosis를 유의하게 개선했다.,NCT01868997,ClinicalTrials.gov; NCT01868997,https://clinicaltrials.gov/study/NCT01868997,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,IGF-1R class efficacy를 보이나 GD biochemical remission 증거가 아님.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-005,Clinical outcomes,RAI 후 조기 levothyroxine은 8주 overt hypothyroidism primary endpoint를 유의하게 줄이지 못했다.,NCT01950260,ClinicalTrials.gov; NCT01950260,https://clinicaltrials.gov/study/NCT01950260,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Primary endpoint negative.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-006,Clinical outcomes,선택된 rescue cohorts에서 rituximab/MTX 후 CAS 감소가 관찰됐지만 causal 비교는 불가하다.,NCT02378298,ClinicalTrials.gov; NCT02378298,https://clinicaltrials.gov/study/NCT02378298,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Nonrandomized selected cohorts; cohort 간 우열 비교 금지.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-007,Clinical outcomes,iscalimab 단일군에서 Week 12 TSH normalization은 0%였다.,NCT02713256,ClinicalTrials.gov; NCT02713256,https://clinicaltrials.gov/study/NCT02713256,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,"Single arm, small N.",True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-008,Clinical outcomes,poor enrollment로 종료되어 feasibility 실패이며 efficacy 판단 근거가 아니다.,NCT02845336,ClinicalTrials.gov; NCT02845336,https://clinicaltrials.gov/study/NCT02845336,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Mechanistic failure로 분류하지 않음.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-009,Clinical outcomes,ATX-GD-59 Phase 1에서 thyroid/antibody biomarker 개선 신호가 있었지만 remission proof는 아니다.,NCT02973802,[253]; ClinicalTrials.gov; NCT02973802,https://clinicaltrials.gov/study/NCT02973802,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Open-label n=12; authors도 placebo-controlled proof 필요성을 명시.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-010,Clinical outcomes,PTU+alfacalcidol은 prespecified immune biomarkers를 개선하지 못했다.,NCT02993302,ClinicalTrials.gov; NCT02993302,https://clinicaltrials.gov/study/NCT02993302,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Negative biomarker study.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-011,Clinical outcomes,OPTIC에서 teprotumumab은 Week 24 proptosis response를 크게 높였다.,NCT03298867,ClinicalTrials.gov; NCT03298867,https://clinicaltrials.gov/study/NCT03298867,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,TED structural/clinical response이며 GD cure가 아님.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-012,Clinical outcomes,OPTIC-X는 prior-placebo crossover와 selected retreatment/nonresponder cohorts에서 추가 response를 보였다.,NCT03461211,[191]; ClinicalTrials.gov; NCT03461211,https://clinicaltrials.gov/study/NCT03461211,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Randomized comparator가 아닌 selected open-label extension.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-013,Clinical outcomes,RVT-1401 pilot은 strong IgG PD를 보였으나 clinical efficacy inference는 약하다.,NCT03922321,ClinicalTrials.gov; NCT03922321,https://clinicaltrials.gov/study/NCT03922321,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Single arm and very small N.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-014,Clinical outcomes,ASCEND GO-2의 Week 13 clinical primary comparisons는 nonsignificant였지만 IgG/anti-TSHR PD는 dose-related였다.,NCT03938545,ClinicalTrials.gov; NCT03938545,https://clinicaltrials.gov/study/NCT03938545,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Program review로 premature unblinding; demonstrated mechanistic failure로 단정하지 않음.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
