trial_id,registry,registry_url,asset,asset_aliases,sponsor,owner_at_cutoff,indication,mechanism_class,phase,overall_status,start_date,primary_completion_date,regions,population,ted_activity_severity,n_enrolled,n_randomized,n_analyzed,design,blinding,arms,dose_route_schedule_duration,background_soc_combination,comparator,primary_endpoints,secondary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,publication_urls,evidence_tier,source_ids,access_depth,last_verified,notes
NCT06563856,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06563856,TEPEZZA; EDP,,Amgen,Amgen,Healthy-volunteer asset support,Other / mechanism not registry-specified,PHASE1,COMPLETED,2020-09-22,2021-05-27,United States,Adults primary,not_applicable,37,,,NON_RANDOMIZED SEQUENTIAL,NONE,Cohort 1: TEPEZZA Dose A SubQ; Cohort 2: TEPEZZA Dose B SubQ; Cohort 3: TEPEZZA Dose B Intravenously (IV); Cohort 4: TEPEZZA Dose B and EDP SubQ,See official registry record,Registry-defined; verify per protocol,See arms,"Cohort 1, 2, and 4: Area Under the Serum Concentration-time Curve (AUC) From Time 0 Extrapolated to Infinity (AUCinf) of TEPEZZA; Cohort 1, 2, and 4: AUC From Time 0 to the Last Quantifiable Concentration (AUClast) of TEPEZZA; Cohort 1, 2, and 4: Percentage of the Area Extrapolated for Calculation of AUCinf (%AUCextrap) of TEPEZZA; Cohort 1, 2, and 4: Maximum Observed Serum Concentration (Cmax) of TEPEZZA; Cohort 1, 2, and 4: Last Quantifiable Serum Concentration (Clast) of TEPEZZA",Cohort 3: AUCinf of TEPEZZA; Cohort 3: AUClast of TEPEZZA; Cohort 3: %AUCextrap of TEPEZZA; Cohort 3: Cmax of TEPEZZA; Cohort 3: Clast of TEPEZZA,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT06563856,official_registry_full_record,2026-09-10,asset-specific healthy-volunteer clinical pharmacology/safety support
NCT06674941,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06674941,Teprotumumab,,Amgen,Amgen,Healthy-volunteer asset support,IGF-1R inhibition,PHASE1,COMPLETED,2023-03-24,2023-11-14,United States,Adults primary,not_applicable,44,,,RANDOMIZED PARALLEL,NONE,Cohort 1: Teprotumumab; Cohort 2: Teprotumumab; Cohort 3: Teprotumumab,See official registry record,Registry-defined; verify per protocol,See arms,Area Under the Serum Concentration-time Curve (AUC) From Time 0 Extrapolated to Infinity (AUCinf) of Teprotumumab; AUC From Time 0 to the Last Quantifiable Concentration (AUClast) of Teprotumumab; Maximum Observed Serum Concentration (Cmax) of Teprotumumab; Time to Cmax (Tmax) of Teprotumumab,Number of Participants Experiencing Treatment-emergent Adverse Events (TEAEs); Number of Participants with Anti-drug Antibodies (ADA) to Teprotumumab; Titer of Positive ADA to Teprotumumab,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT06674941,official_registry_full_record,2026-09-10,asset-specific healthy-volunteer clinical pharmacology/safety support
NCT07142642,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT07142642,Teprotumumab,,Amgen,Amgen,Healthy-volunteer asset support,IGF-1R inhibition,PHASE1,COMPLETED,2025-08-26,2025-11-22,China,Adults primary,not_applicable,20,,,RANDOMIZED PARALLEL,DOUBLE,Teprotumumab; Placebo,See official registry record,Registry-defined; verify per protocol,See arms,Maximum Observed Serum Concentration (Cmax) of Teprotumumab; Area Under the Serum Concentration-time Curve From Time Zero to the Last Quantifiable Concentration (AUClast) of Teprotumumab; Area Under the Serum Concentration-time Curve From Time Zero to Infinity (AUCinf) of Teprotumumab,Number of Participants With Treatment-emergent Adverse Events; Number of Participants With Serious Adverse Events; Number of Participants With Anti-teprotumumab Antibodies,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT07142642,official_registry_full_record,2026-09-10,asset-specific healthy-volunteer clinical pharmacology/safety support
NCT00288522,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT00288522,"Lanreotide (Autogel formulation). Duration of treatment - 3 injections, 1 every 28 days",,Ipsen,Ipsen,Active TED,Somatostatin-receptor agonism,PHASE2,TERMINATED,2006-01,2007-04,Spain,Adults primary,active_unspecified_severity,5,,,RANDOMIZED PARALLEL,DOUBLE,,See official registry record,Registry-defined; verify per protocol,See arms,"Extraocular muscle infiltration and edema exam by evaluating (at Day 0 and Weeks 4, 8 and 12): extraocular muscle size, proptosis and intraocular pressure (tonometry); Eye inspection (at Day 0 and Weeks 4, 8 and 12): assessment of conjunctival injection presence, chemosis, cheratitis and eyelid edema; extrinsic muscle function evaluation and eyelid retraction",,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT00288522,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT00424151,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT00424151,Rituximab,,"Silkiss, Rona Z., M.D., FACS","Silkiss, Rona Z., M.D., FACS",Active TED,CD20 B-cell depletion,PHASE1; PHASE2,COMPLETED,2006-12,2009-03,United States,Adults primary,active_unspecified_severity,12,,,NON_RANDOMIZED SINGLE_GROUP,NONE,,See official registry record,Registry-defined; verify per protocol,See arms,"Clinical response to treatment, alteration in immunoglobulin levels; To assess the safety and tolerability of Rituximab in Graves' dysthyroid disease up to 24 weeks. Adverse and serious adverse events during the study period, reasonably or probably related to Rituximab, will be assessed at each study visit up to 12 month; Efficacy:; A significant (25%) reduction in progression of Thyroid Associated Ophthalmopathy or disease activity as measured by the thyroid associated ophthalmopathy scale (University of British Columbia Thyroid Orbitopathy Inflammatory Score) up to 24 weeks.","To evaluate for a reduction in disease activity as measured by:; Reduction (25%) of elevated antibody levels- serum thyroid stimulating immunoglobulin (TSI), antithyroidperoxidase antibody (TPO) or antithyroglobulin levels at 24 weeks.; MRI of the orbit with coronal and axial views to evaluate evidence of optic nerve crowding, muscle size reduction or decreased proptosis during treatment and follow up interval at 24 weeks.",Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT00424151,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT01114503,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01114503,Otelixizumab - low dose; Otelixizumab - medium low dose; Otelixizumab - medium high dose; Otelixizumab - high dose; Otelixizumab; Methylprednisolone,,GlaxoSmithKline,GlaxoSmithKline,Active TED,CD3 modulation,PHASE2,TERMINATED,2010-07-07,2012-08-29,United Kingdom,Adults primary,active_unspecified_severity,2,,,RANDOMIZED PARALLEL,SINGLE,Part A; Part B - Otelixizumab; Part B - Methylprednisolone,See official registry record,Registry-defined; verify per protocol,See arms,"Number of Participants With at Least One Adverse Event (AE), Serious Adverse Event (SAE), or Drug-related Adverse Event; Number of Participants With Laboratory Clinical Chemistry Abnormalities Meeting the Criteria for Potential Clinical Concern (PCC); Number of Participants With Laboratory Hematology Abnormalities Meeting the Criteria for PCC; Number of Participants With Laboratory Urinalysis Abnormalities Meeting the Criteria for PCC; Number of Participants With Thyroid Function Assessment, Hormone and Glucose Assay Abnormalities Meeting the Criteria for PCC","Change From Baseline for Individual Scores at Week 12 Incorporated in the European Group on Graves' Orbitopathy (EUGOGO) Assessment Including, Eyelid Swelling, Clinical Activity Score (CAS) Score, Proptosis, Lid Width and Diplopia; Change From Baseline for Participant-reported Health Related Quality of Life (QoL) Questionnaires of Short Form 36 ( SF-36) and Graves Ophthalmopathy (GO) QoL; Change From Baseline Measurement of Orbital Volume as Measured by Computed Tomography (CT) Scan; Assessment of Anti-otelixizumab Antibodies; Assessment of Circulating Cytokines of Interleukin 6 (IL6), IL10, Interferon Gamma (IFNγ) and Tumor Necrosis Factor Alpha (TNFα) up to 2 Weeks",Posted result timepoint,해석 가능한 efficacy endpoint 없음.,2/2 AE 및 drug-related AE; SAE 0.,없음.,,Registry result + manual curation,ClinicalTrials.gov; NCT01114503,official_registry_full_record,2026-09-10,Clinical study in Graves' ophthalmopathy terminated until there is a better understanding of an efficacious dose with Otelixizumab from other clinical studies.; disease-directed standard-of-care or regimen-optimization trial; Termination은 명시된 dose-development 사유이며 mechanistic failure로 해석하지 않음.
NCT01280214,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01280214,Triamcinolone,,"HaEmek Medical Center, Israel","HaEmek Medical Center, Israel",Active TED,Other / mechanism not registry-specified,NA,UNKNOWN,2011-02,2013-02,,Adults primary,active_unspecified_severity,30,,,NA SINGLE_GROUP,NONE,Triamcinolone,See official registry record,Registry-defined; verify per protocol,See arms,Comparing the effectiveness of subconjunctival and peribulbar Triamcinolone injection to systemic Steroid therapy for patients with active thyroid orbitopathy .,To check if the level of TSH Receptor antibodies are affected by the local injection.,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT01280214,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT01379196,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01379196,Azithromycin,,Rabin Medical Center,Rabin Medical Center,Active TED,Tetracycline/macrolide immunomodulation,PHASE1; PHASE2,WITHDRAWN,2011-05,2014-11,,Adults primary,active_unspecified_severity,0,,,NA SINGLE_GROUP,NONE,Azithromycin PO three times weekly,See official registry record,Registry-defined; verify per protocol,See arms,Change in clinical activity score between baseline and after three months,Measurement of extraocular muscle thickening; ANTI TSH Receptor antibody levels,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT01379196,official_registry_full_record,2026-09-10,Patients were not interested in enrolling; disease-directed drug/biologic/supplement trial
NCT01809444,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01809444,Prednisone+placebo of Doxycycline; Doxycycline+placebo of Prednisone,,Sun Yat-sen University,Sun Yat-sen University,Active TED,Glucocorticoid,PHASE2; PHASE3,UNKNOWN,2012-11,2016-01,China,Adults primary,active_unspecified_severity,146,,,RANDOMIZED PARALLEL,QUADRUPLE,Prednisone+placebo of Doxycycline; Doxycycline+placebo of Prednisone,See official registry record,Registry-defined; verify per protocol,See arms,Overall treatment response,"• Health related quality of life questionnaires (GO-QoL); • Safety and tolerability as assessed by adverse events, vital signs; • Quantitative changes of rectus diameter measured by MRI scan; Relapse",Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT01809444,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial
NCT01868997,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01868997,teprotumumab,,Amgen,Amgen,Active TED,IGF-1R inhibition,PHASE2,COMPLETED,2013-07,2016-03,Germany; Italy; United Kingdom; United States,Adults primary,active_unspecified_severity,88,,,RANDOMIZED PARALLEL,QUADRUPLE,Placebo; Teprotumumab,See official registry record,Registry-defined; verify per protocol,See arms,Responder Status at Week 24,Overall Average Change From Baseline in Graves' Ophthalmopathy Quality of Life (GO-QOL) Scale - Overall to Week 24 (Mixed-Model Repeated Measures [MMRM]); Overall Average Change From Baseline in Proptosis of the Study Eye to Week 24 (MMRM); Overall Average Change From Baseline in CAS to Week 24 (MMRM); Overall Average Change From Baseline in GO-QOL Scale - Visual Functioning to Week 24 (MMRM); Overall Average Change From Baseline in GO-QOL Scale - Appearance to Week 24 (MMRM),Posted result timepoint,"Composite response 29/42 vs 9/45, p<0.001; OR 8.86 (95% CI 3.293–23.825); proptosis LS change −2.46 vs −0.15 mm.",SAE 5/43 vs 1/44.,등록 결과만으로 장기 durability 제한.,"Smith TJ, Kahaly GJ, Ezra DG, Fleming JC, Dailey RA, Tang RA, Harris GJ, Antonelli A, Salvi M, Goldberg RA, Gigantelli JW, Couch SM, Shriver EM, Hayek BR, Hink EM, Woodward RM, Gabriel K, Magni G, Douglas RS. Teprotumumab for Thyroid-Associated Ophthalmopathy. N Engl J Med. 2017 May 4;376(18):1748-1761. doi: 10.1056/NEJMoa1614949.; Xin Y, Xu F, Gao Y, Bhatt N, Chamberlain J, Sile S, Hammel S, Holt RJ, Ramanathan S. Pharmacokinetics and Exposure-Response Relationship of Teprotumumab, an Insulin-Like Growth Factor-1 Receptor-Blocking Antibody, in Thyroid Eye Disease. Clin Pharmacokinet. 2021 Aug;60(8):1029-1040. doi: 10.1007/s40262-021-01003-3. Epub 2021 Mar 26.; Wang Y, Smith TJ. Current concepts in the molecular pathogenesis of thyroid-associated ophthalmopathy. Invest Ophthalmol Vis Sci. 2014 Mar 20;55(3):1735-48. doi: 10.1167/iovs.14-14002.",Registry result + manual curation,ClinicalTrials.gov; NCT01868997,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial; IGF-1R class efficacy를 보이나 GD biochemical remission 증거가 아님.
