item_type,item_id,file_path,check_method,korean_glyphs_or_text_rendering,clipping,overlap,annotation_accuracy,contrast,centering,source_footer_legibility,severity,verdict,notes
figure,figure_1,figures_v2/figure_1_trial_status_v2.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,N/A,3 (QA method degradation only),PASS,Status labels/counts and total visually legible; colorblind-safe palette; no clipping or overlap. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
figure,figure_2,figures_v2/figure_2_mechanism_counts_v2.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,N/A,3 (QA method degradation only),PASS,Mechanism labels/counts visually legible; multi-tag caveat present; no clipping or overlap. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
figure,figure_3,figures_v2/figure_3_mechanism_phase_heatmap_v2.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,N/A,3 (QA method degradation only),PASS,Final corrected render includes NR / NA phase counts; labels and heatmap annotations are legible. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
figure,figure_4,figures_v2/figure_4_selected_prr_v2.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,N/A,3 (QA method degradation only),PASS,Within-trial PRR pairs and descriptive-only/no-ranking caveat are legible; no clipping or overlap. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
figure,figure_5,figures_v2/figure_5_potential_vs_evidence_v2.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,N/A,3 (QA method degradation only),PASS,LCA-0321 and MER511 emphasized while R&D potential and evidence confidence remain separate axes. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
figure,figure_6,figures_v2/figure_6_result_interpretability_v2.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,N/A,3 (QA method degradation only),PASS,Final corrected render moves caveat above footer; all interpretability groups and counts are legible. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_01,presentation_graves_ted_landscape_v2.slides/slide-001.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Final render visually reviewed; Korean glyphs and mixed English terminology render legibly; no clipping/overlap; balanced layout and readable source footer. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_02,presentation_graves_ted_landscape_v2.slides/slide-002.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Final render visually reviewed; Korean glyphs and mixed English terminology render legibly; no clipping/overlap; balanced layout and readable source footer. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_03,presentation_graves_ted_landscape_v2.slides/slide-003.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Final render visually reviewed; Korean glyphs and mixed English terminology render legibly; no clipping/overlap; balanced layout and readable source footer. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_04,presentation_graves_ted_landscape_v2.slides/slide-004.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Final render visually reviewed; Korean glyphs and mixed English terminology render legibly; no clipping/overlap; balanced layout and readable source footer. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_05,presentation_graves_ted_landscape_v2.slides/slide-005.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Final render visually reviewed; Korean glyphs and mixed English terminology render legibly; no clipping/overlap; balanced layout and readable source footer. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_06,presentation_graves_ted_landscape_v2.slides/slide-006.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Final render visually reviewed; Korean glyphs and mixed English terminology render legibly; no clipping/overlap; balanced layout and readable source footer. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_07,presentation_graves_ted_landscape_v2.slides/slide-007.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Final render visually reviewed; Korean glyphs and mixed English terminology render legibly; no clipping/overlap; balanced layout and readable source footer. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_08,presentation_graves_ted_landscape_v2.slides/slide-008.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Final render visually reviewed; Korean glyphs and mixed English terminology render legibly; no clipping/overlap; balanced layout and readable source footer. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_09,presentation_graves_ted_landscape_v2.slides/slide-009.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Final render visually reviewed; Korean glyphs and mixed English terminology render legibly; no clipping/overlap; balanced layout and readable source footer. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_10,presentation_graves_ted_landscape_v2.slides/slide-010.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Final render visually reviewed; Korean glyphs and mixed English terminology render legibly; no clipping/overlap; balanced layout and readable source footer. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_11,presentation_graves_ted_landscape_v2.slides/slide-011.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Final render visually reviewed; Korean glyphs and mixed English terminology render legibly; no clipping/overlap; balanced layout and readable source footer. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_12,presentation_graves_ted_landscape_v2.slides/slide-012.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Corrected final render: redundant third callout line removed; LCA-0321 potential/confidence box no longer overflows; footer remains legible. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
slide,slide_13,presentation_graves_ted_landscape_v2.slides/slide-013.png,Read(mode=low) manual fallback after 2 media_output_check platform failures,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3 (QA method degradation only),PASS,Corrected final render: redundant third callout line removed; MER511 potential/confidence box no longer overflows; footer remains legible. Automated media-output QA was unavailable because the platform rejected its temperature parameter; manual visual review completed.
