anchor_id,source_id,trial_id,document_id,registry_url,official_title,curated_disposition,curated_primary_interpretation,curated_efficacy,curated_safety,curated_durability,curation_row_sha256,clinical_trial_row_sha256,registry_document_sha256,curation_locator,clinical_trial_locator,registry_locator,n_randomized_basis,analysis_denominator_note,evidence_role,uncertainty,data_cut,schema_version
TRIAL-RESULT-NCT00595335,762,NCT00595335,CTGOV-NCT00595335-CUT-2026-09-10,https://clinicaltrials.gov/study/NCT00595335,Phase 2/3 Study of Rituximab for Graves' Ophthalmopathy,negative_randomized,6개월 CAS 변화와 failure rate에서 rituximab이 methylprednisolone 대비 우월하지 않았다.,"CAS change −1.2 (n=13) vs −1.5 (n=12), p=0.73; failure 69% vs 75%, p=0.75.",SAE 2/13 vs 0/12.,공개 결과로 durable benefit 입증 없음.,fa9470124edf6ea0251bf7638cd00930f51781b49cba9d36eb0bd785b21dc65c,1d3aea8272ecdcc313356909f66510500916f8bdaf84bd099908f316ae67ea49,ebd027e5f06159909aa405331bf411d9988364f11f52ab36de8718613b934d06,"result_trial_curation_v2.csv::trial_id=NCT00595335; fields=disposition,primary_interpretation,efficacy,safety,durability,caveats","clinical_trials_v2.csv::trial_id=NCT00595335; fields=n_randomized,n_analyzed,comparator,primary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,why_stopped",frozen_trial_registry_documents_v2.jsonl::trial_id=NCT00595335; JSON pointers /protocolSection and /resultsSection,"25 | Posted participant flow, first period STARTED (Baseline to Six Months)",Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Approved v2 trial-result interpretation linked to frozen full registry record,소규모 randomized trial; negative result를 보존.,2026-09-10,2.0.0
TRIAL-RESULT-NCT01114503,767,NCT01114503,CTGOV-NCT01114503-CUT-2026-09-10,https://clinicaltrials.gov/study/NCT01114503,"A Randomised, Comparator Controlled, Two Part, Open-label Study to Evaluate the Safety, Tolerability and Pharmacodynamics of Multiple Doses of Otelixizumab in Patients With Thyroid Orbitopathy",terminated_uninterpretable,n=2로 효능 해석이 불가능하며 dose 이해를 기다리며 종료되었다.,해석 가능한 efficacy endpoint 없음.,2/2 AE 및 drug-related AE; SAE 0.,없음.,920f6b9930a760d12d1e0156f4a8ef27107559b15fb7888b0a3c71edae7c5e74,6e356a56ac9ffcce747e24af79e1826e94db964670eb476974f6ae2c905d39e9,b3f60578e4642f4b8c65d91521cf30611a5429f8361de488e4fe8db5999acc4c,"result_trial_curation_v2.csv::trial_id=NCT01114503; fields=disposition,primary_interpretation,efficacy,safety,durability,caveats","clinical_trials_v2.csv::trial_id=NCT01114503; fields=n_randomized,n_analyzed,comparator,primary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,why_stopped",frozen_trial_registry_documents_v2.jsonl::trial_id=NCT01114503; JSON pointers /protocolSection and /resultsSection,"2 | Posted participant flow, first period STARTED (Overall Study)",Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Approved v2 trial-result interpretation linked to frozen full registry record,Termination은 명시된 dose-development 사유이며 mechanistic failure로 해석하지 않음.,2026-09-10,2.0.0
TRIAL-RESULT-NCT01269749,769,NCT01269749,CTGOV-NCT01269749-CUT-2026-09-10,https://clinicaltrials.gov/study/NCT01269749,Radioactive Iodide Therapy for Pediatric Graves' Disease,no_posted_efficacy,pediatric RAI/ATD 연구지만 posted outcome-measurement row가 없어 efficacy 또는 remission을 추론할 수 없다.,"RAI 16, ATD 3; posted quantitative efficacy 없음.",4년 동안 reported death/SAE/other AE 0.,효능 durability 미평가.,694c4ed1f902df5bd123929eba80bf1483c14d1a06cfc5764e4e8256369b5157,7b02d55e3d110260bc407280fb0607e6c2c9caf201c56a7934cfd22a9c035060,cc00164573645a7f3bbed2ba7375cebb59107b413b6787246475ae983b04e1bd,"result_trial_curation_v2.csv::trial_id=NCT01269749; fields=disposition,primary_interpretation,efficacy,safety,durability,caveats","clinical_trials_v2.csv::trial_id=NCT01269749; fields=n_randomized,n_analyzed,comparator,primary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,why_stopped",frozen_trial_registry_documents_v2.jsonl::trial_id=NCT01269749; JSON pointers /protocolSection and /resultsSection,NA (not randomized) | Registry allocation=NON_RANDOMIZED,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Approved v2 trial-result interpretation linked to frozen full registry record,등록 결과의 부재는 무효과를 뜻하지 않음.,2026-09-10,2.0.0
TRIAL-RESULT-NCT01868997,780,NCT01868997,CTGOV-NCT01868997-CUT-2026-09-10,https://clinicaltrials.gov/study/NCT01868997,"A Multicenter, Double-Masked, Placebo-Controlled, Efficacy And Safety Study Of RV 001, An Insulin-Like Growth Factor-1 Receptor (IGF-1R) Antagonist Antibody (Fully Human), Administered Every 3 Weeks (q3W) By Intravenous (IV) Infusion In Patients Suffering From Active Thyroid Eye Disease (TED)",positive_randomized,active TED에서 teprotumumab은 Week 24 composite response와 proptosis를 유의하게 개선했다.,"Composite response 29/42 vs 9/45, p<0.001; OR 8.86 (95% CI 3.293–23.825); proptosis LS change −2.46 vs −0.15 mm.",SAE 5/43 vs 1/44.,등록 결과만으로 장기 durability 제한.,66e3e1d5fe13115293c297eedd3081b4be118ec119ec6be300620758237565e1,3d2a2b1866176336aaf3237a48af94b22ece12ad78b222fa2d816e3b7ac6c6af,6b47149e051a28a81241ef8431393ef93ad81e51a565082bbb7973e04fc0445a,"result_trial_curation_v2.csv::trial_id=NCT01868997; fields=disposition,primary_interpretation,efficacy,safety,durability,caveats","clinical_trials_v2.csv::trial_id=NCT01868997; fields=n_randomized,n_analyzed,comparator,primary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,why_stopped",frozen_trial_registry_documents_v2.jsonl::trial_id=NCT01868997; JSON pointers /protocolSection and /resultsSection,"87 | Posted participant flow, first period STARTED (Overall Study)",Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Approved v2 trial-result interpretation linked to frozen full registry record,IGF-1R class efficacy를 보이나 GD biochemical remission 증거가 아님.,2026-09-10,2.0.0
TRIAL-RESULT-NCT01950260,782,NCT01950260,CTGOV-NCT01950260-CUT-2026-09-10,https://clinicaltrials.gov/study/NCT01950260,Prevention of Overt Hypothyroidism Following Radioactive Iodine Therapy for Graves' Disease,negative_primary,RAI 후 조기 levothyroxine은 8주 overt hypothyroidism primary endpoint를 유의하게 줄이지 못했다.,"11/30 vs 17/31, p=0.23; QoL nonsignificant.",SAE 1/30 vs 0/31.,장기 disease remission endpoint 아님.,882986bb6ebe1fe53f1d54567b4a8a1fa1b05d856bc46a9a99ace39e6b29fe94,709c5fcc8638f83e365e57b6858903afe6bc97119958780964c0aa01e019158c,cbbf562a754e240f32c390ea02dfde34414ad48e15b0f068b8879fb3e7436096,"result_trial_curation_v2.csv::trial_id=NCT01950260; fields=disposition,primary_interpretation,efficacy,safety,durability,caveats","clinical_trials_v2.csv::trial_id=NCT01950260; fields=n_randomized,n_analyzed,comparator,primary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,why_stopped",frozen_trial_registry_documents_v2.jsonl::trial_id=NCT01950260; JSON pointers /protocolSection and /resultsSection,"61 | Posted participant flow, first period STARTED (Overall Study)",Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Approved v2 trial-result interpretation linked to frozen full registry record,Primary endpoint negative.,2026-09-10,2.0.0
TRIAL-RESULT-NCT02378298,791,NCT02378298,CTGOV-NCT02378298-CUT-2026-09-10,https://clinicaltrials.gov/study/NCT02378298,Rituximab (RTX) Therapy in Steroid Resistant Patients or Patients Relapsing After Intravenous Steroids With Active TAO,nonrandomized_descriptive,선택된 rescue cohorts에서 rituximab/MTX 후 CAS 감소가 관찰됐지만 causal 비교는 불가하다.,"Week 68 CAS 3.0, 2.58, 2.14 across non-equivalent cohorts; inferential statistics 없음.",Registry arm-level safety 참조.,Week 68 관찰이나 selection/confounding이 큼.,c183c1734fc696ae92392669c5c89e3efd8d66e36cd060e50be001251600b5ee,06301e3163032b3ae1606e4c1221b71bd05a5f7aa28429acc9adf88c4a0bac5b,62980a350c8ff032615dce2371fa29c5dd829b045c5e560a16c2e6a2af01e992,"result_trial_curation_v2.csv::trial_id=NCT02378298; fields=disposition,primary_interpretation,efficacy,safety,durability,caveats","clinical_trials_v2.csv::trial_id=NCT02378298; fields=n_randomized,n_analyzed,comparator,primary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,why_stopped",frozen_trial_registry_documents_v2.jsonl::trial_id=NCT02378298; JSON pointers /protocolSection and /resultsSection,NA (not randomized) | Registry allocation=NON_RANDOMIZED,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Approved v2 trial-result interpretation linked to frozen full registry record,Nonrandomized selected cohorts; cohort 간 우열 비교 금지.,2026-09-10,2.0.0
TRIAL-RESULT-NCT02713256,796,NCT02713256,CTGOV-NCT02713256-CUT-2026-09-10,https://clinicaltrials.gov/study/NCT02713256,An Open Label Study to Evaluate the Safety and Efficacy of 12 Week Treatment With CFZ533 in Patients With Graves' Disease,single_arm_weak,iscalimab 단일군에서 Week 12 TSH normalization은 0%였다.,13 evaluable: TSH normalization 0%; total T3 below ULN 38.5%; FT4 below ULN 30.8%.,SAE 1/15.,Off-treatment remission 자료 없음.,5f8b9158734214c9e43a8a24ad429939300c97efc8bf6a0dcbaa1daa9b62d6ef,fc19311e1f63cf1c375be9ca65df89b60ad197406f075f162d93446d4d2eb8ff,f173fd75a49ce0d230371becac2d4f62b6608dba3660f81487e0dabd33561ae2,"result_trial_curation_v2.csv::trial_id=NCT02713256; fields=disposition,primary_interpretation,efficacy,safety,durability,caveats","clinical_trials_v2.csv::trial_id=NCT02713256; fields=n_randomized,n_analyzed,comparator,primary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,why_stopped",frozen_trial_registry_documents_v2.jsonl::trial_id=NCT02713256; JSON pointers /protocolSection and /resultsSection,NA (not randomized) | Registry allocation=NA,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Approved v2 trial-result interpretation linked to frozen full registry record,"Single arm, small N.",2026-09-10,2.0.0
TRIAL-RESULT-NCT02845336,798,NCT02845336,CTGOV-NCT02845336-CUT-2026-09-10,https://clinicaltrials.gov/study/NCT02845336,An Open Label Trial of Celecoxib in the Treatment of Mild Thyroid Eye Disease,terminated_infeasible,poor enrollment로 종료되어 feasibility 실패이며 efficacy 판단 근거가 아니다.,"7 enrolled; outcome에는 treated 1명, control 0명; 해당 1명 CAS/proptosis change 0.",해석 가능한 비교 없음.,없음.,3cfaf3739c1376f4e1d513a572f764c11b46b88107300b6e4b59c466e971aa6e,87fd5412243f18b38f0d336331c00a03d67dd4eab3bd8b8b308c700ce1aad668,19c0575c251d04934f2dcd8c54352896b3312d705e30e965973803716dcb857b,"result_trial_curation_v2.csv::trial_id=NCT02845336; fields=disposition,primary_interpretation,efficacy,safety,durability,caveats","clinical_trials_v2.csv::trial_id=NCT02845336; fields=n_randomized,n_analyzed,comparator,primary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,why_stopped",frozen_trial_registry_documents_v2.jsonl::trial_id=NCT02845336; JSON pointers /protocolSection and /resultsSection,"7 | Posted participant flow, first period STARTED (Overall Study)",Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Approved v2 trial-result interpretation linked to frozen full registry record,Mechanistic failure로 분류하지 않음.,2026-09-10,2.0.0
TRIAL-RESULT-NCT02973802,800,NCT02973802,CTGOV-NCT02973802-CUT-2026-09-10,https://clinicaltrials.gov/study/NCT02973802,"Safety and Proof of Principle Study of ATX-GD-59 in Male and Female Subjects With Graves' Disease Not Currently Treated With Anti-thyroid Therapy: An Open Label Study, With an Upward Titration Over Five Dose Levels Administered by Intradermal Injection",exploratory_single_arm,ATX-GD-59 Phase 1에서 thyroid/antibody biomarker 개선 신호가 있었지만 remission proof는 아니다.,Week 22: TBII −0.6602 IU/L; TSAb −54 %SRR; FT3 −14.19%; FT4 −14.54%; TSH +0.309 mIU/L.,311 AEs: 293 mild/18 moderate; 180 treatment-related; 3 serious events in one participant; 153 injection-related events.,Full paper에서 2명이 1년 off-ATD euthyroid였으나 uncontrolled spontaneous remission 대안이 큼.,717cd28a77513479c40171629fd82f95575bd2d061fc86b09a912b40b359bfdf,4007647dbec92466652926a4b5c0623eddc3bd5f0d41c8a93d6383758734ca29,ff6533b4204c164d66ddfbf11b648261d78b07e14fa329ccbf04220ca06f0b19,"result_trial_curation_v2.csv::trial_id=NCT02973802; fields=disposition,primary_interpretation,efficacy,safety,durability,caveats","clinical_trials_v2.csv::trial_id=NCT02973802; fields=n_randomized,n_analyzed,comparator,primary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,why_stopped",frozen_trial_registry_documents_v2.jsonl::trial_id=NCT02973802; JSON pointers /protocolSection and /resultsSection,NA (not randomized) | Registry allocation=NA,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Approved v2 trial-result interpretation linked to frozen full registry record,Open-label n=12; authors도 placebo-controlled proof 필요성을 명시.,2026-09-10,2.0.0
TRIAL-RESULT-NCT02993302,801,NCT02993302,CTGOV-NCT02993302-CUT-2026-09-10,https://clinicaltrials.gov/study/NCT02993302,Effects Of Oral Alfacalcidol On Maturation Of Dendritic Cells In Graves' Disease Patients,negative_biomarker,PTU+alfacalcidol은 prespecified immune biomarkers를 개선하지 못했다.,CD80 p=0.48; CD206 p=0.47; IL-12/IL-10 p=0.53.,Reported AE 없음.,없음.,d614770defd29766b1a69ee4593690ea3a2515cc953710694f03d8240f39dcef,a02782844557ddee6be59447d8df6b9e76064b48ae9901ec5ae19c19dcad712b,bfbd1ddf5a6dc4ed091b68ff8db21b439eb2178195913f4c3851a892474af64f,"result_trial_curation_v2.csv::trial_id=NCT02993302; fields=disposition,primary_interpretation,efficacy,safety,durability,caveats","clinical_trials_v2.csv::trial_id=NCT02993302; fields=n_randomized,n_analyzed,comparator,primary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,why_stopped",frozen_trial_registry_documents_v2.jsonl::trial_id=NCT02993302; JSON pointers /protocolSection and /resultsSection,"25 | Posted participant flow, first period STARTED (Overall Study)",Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Approved v2 trial-result interpretation linked to frozen full registry record,Negative biomarker study.,2026-09-10,2.0.0
