retrieval_id,canonical_source_id,canonical_id_status,provisional_tool_indices,jurisdiction,topic,source_tier,authority,source_type,title,url,alternate_urls,query,retrieval_result,http_status,retrieved_at_utc,final_url,publication_or_revision_date,cut_eligibility,locator,content_type,local_cache_file,bytes,sha256,page_count,notes,uncertainty_semantics,data_cut,schema_version
SOCSRC-001,26,preserved_v1,80;137;210,United States,GD guideline,A2 society guideline,American Thyroid Association,guideline,2016 American Thyroid Association Guidelines for Diagnosis and Management of Hyperthyroidism and Other Causes of Thyrotoxicosis,https://www.liebertpub.com/doi/pdf/10.1089/thy.2016.0229,https://web.archive.org/web/20230929194441id_/https://www.liebertpub.com/doi/pdf/10.1089/thy.2016.0229; https://doi.org/10.1089/thy.2016.0229; https://pubmed.ncbi.nlm.nih.gov/27521067/,site:thyroid.org 2016 ATA hyperthyroidism guideline PDF correction Recommendation 58 10.1089/thy.2016.0229,acquired,200,2026-09-11T05:22:40+00:00,https://web.archive.org/web/20230929194441id_/https://www.liebertpub.com/doi/pdf/10.1089/thy.2016.0229,2016-10-01,eligible,numbered recommendations; exact recommendation use requires acquired full text and correction check,application/pdf;charset=UTF-8,sources/regional_soc/S026_2016_American_Thyroid_Association_Guidelines_for_Diagnosis_and_Managem.pdf,1547746,7c5a39ab34307315a334efd82081f04822f658d777230bbb6654cb911aff96b7,79,Primary guideline; correction handled as a separate source. Acquisition route: pre-cut Internet Archive snapshot of the open publisher PDF; origin URL retained in url field.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-002,28,preserved_v1,100;108;145,South Korea,GD RAI guideline,A2 national society guideline,Korean Thyroid Association,guideline,2025 Korean Thyroid Association Management Guidelines for Radioactive Iodine Therapy in Patients with Hyperthyroidism,https://www.e-enm.org/upload/pdf/enm-2025-2464.pdf,https://www.e-enm.org/journal/view.php?number=2624; https://doi.org/10.3803/enm.2025.2464,Korean Thyroid Association Graves disease management guideline antithyroid drug radioactive iodine surgery pregnancy 2023 official,acquired,200,2026-09-11T05:22:40+00:00,https://www.e-enm.org/upload/pdf/enm-2025-2464.pdf,2025-06-24,eligible,recommendations 1.1.1-6.4 and recommendation summary table,application/pdf,sources/regional_soc/S028_2025_Korean_Thyroid_Association_Management_Guidelines_for_Radioactive_.pdf,377480,799666217959123de6bd1643fad4be5ee4530abcde97e321245b4e5ca26be68a,15,Recommendation 5.3 narrative/table wording requires explicit reconciliation.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-003,39,preserved_v1,149;205,EU/EEA; international context,GD guideline,A2 society guideline,European Thyroid Association,guideline,2018 European Thyroid Association Guideline for the Management of Graves' Hyperthyroidism,https://pmc.ncbi.nlm.nih.gov/articles/PMC6140607/,https://doi.org/10.1159/000490384,official 2018 European Thyroid Association Graves hyperthyroidism guideline full text,acquired,200,2026-09-11T05:22:44+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC6140607/,2018-07-25,eligible,"recommendations 5, 7-9, 13, 21-22, 28, 44, 47-48; pregnancy/lactation and older-adult sections",text/html; charset=utf-8,sources/regional_soc/S039_2018_European_Thyroid_Association_Guideline_for_the_Management_of_Grav.html,381582,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,NA (HTML/XML source),"Use biochemical control, remission, relapse, and destructive control as distinct concepts.",Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-004,40,preserved_v1,113;114,Japan,GD guideline summary,A2 society-linked guideline summary,Japanese Society of Internal Medicine; Japan Thyroid Association guideline authors,guideline_summary,バセドウ病治療ガイドライン2019 (guideline at a glance),https://www.jstage.jst.go.jp/article/naika/111/11/111_2279/_pdf,https://doi.org/10.2169/naika.111.2279,Japan Thyroid Association Graves disease treatment guideline 2019 methimazole PTU radioactive iodine pregnancy official,acquired,200,2026-09-11T05:22:44+00:00,https://www.jstage.jst.go.jp/article/naika/111/11/111_2279/_pdf,2022-11-10,eligible,BCQ1-BCQ39 summary; pages 2279-2284,application/pdf;charset=UTF-8,sources/regional_soc/S040_2019_guideline_at_a_glance.pdf,461593,e14f2036f2bb81f128f856e0966faf6c0fe4fb41e35f4da56e1ff4638670e0a0,6,Secondary summary of the 2019 JTA guideline; primary CQ PDF is source 741.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-005,42,preserved_v1,218,United States; international context,GD and TED clinical update,B1 peer-reviewed clinical review,Peer-reviewed authors,review,2022 Update on Clinical Management of Graves Disease and Thyroid Eye Disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC9174594/,https://doi.org/10.1016/j.ecl.2021.12.004,2022 Update on Clinical Management of Graves Disease and Thyroid Eye Disease full text,acquired,200,2026-09-11T05:22:45+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC9174594/,2022-06-01,eligible,GD management and TED treatment sections,text/html; charset=utf-8,sources/regional_soc/S042_2022_Update_on_Clinical_Management_of_Graves_Disease_and_Thyroid_Eye_D.html,253992,fe874efb2ea8e83acdd17e170caa7fb5a2f4b201fccc98e88d7da783d057c3e4,NA (HTML/XML source),Context source; guideline or regulator preferred for normative/status claims.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-006,127,preserved_v1,140;219;220,South Korea,TED practice framework,A2/B1 society-endorsed framework,Korean Society of Ophthalmic Plastic and Reconstructive Surgery,society_framework,A Korean Clinical Practice Framework for Thyroid Eye Disease: Integrating International Recommendations with Survey-Informed Consensus,https://www.e-enm.org/upload/pdf/enm-2026-2920.pdf,https://e-enm.org/journal/view.php?number=2717; https://doi.org/10.3803/enm.2026.2920,Korean thyroid eye disease clinical practice framework 2026 KSOPRS,acquired,200,2026-09-11T05:22:46+00:00,https://www.e-enm.org/upload/pdf/enm-2026-2920.pdf,2026-06-12,eligible,Methods; Table 1; text algorithm steps 1-6; stage-specific treatment sections,application/pdf,sources/regional_soc/S127_A_Korean_Clinical_Practice_Framework_for_Thyroid_Eye_Disease_Integrati.pdf,371985,5a1f02c942229fec235d0c251a9d22f4c397675335328333b45c5c74b8901bda,16,"Society-endorsed, survey-informed framework with consensus elements; not a formal evidence-graded guideline and not regulatory evidence.",Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-007,135,preserved_v1,133;200;201,EU/EEA; international context,TED guideline,A2 society guideline,European Group on Graves' Orbitopathy,guideline,The 2021 European Group on Graves' orbitopathy clinical practice guidelines for the medical management of Graves' orbitopathy,https://academic.oup.com/ejendo/article-pdf/185/4/G43/45297350/ejendo_g43.pdf,https://web.archive.org/web/20221207052135id_/https://eje.bioscientifica.com/view/journals/eje/185/4/EJE-21-0479.xml; https://doi.org/10.1530/EJE-21-0479; https://www.eugogo.eu/publications/the-2021-european-group-on-graves-orbitopathy-eugogo-clinical-practice-guidelines-for-the-medical-management-of-graves-orbitopathy/,2021 EUGOGO guidelines full text EJE-21-0479,acquired,200,2026-09-11T05:22:51+00:00,https://web.archive.org/web/20221207052135id_/https://eje.bioscientifica.com/view/journals/eje/185/4/EJE-21-0479.xml,2021-08-27,eligible,recommendations 7-8 and 26-27; treatment algorithms and dosing text,text/html;charset=UTF-8,sources/regional_soc/S135_The_2021_European_Group_on_Graves_orbitopathy_clinical_practice_guidel.xml,2692694,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,NA (HTML/XML source),"The 2021 statement that teprotumumab was US-only is historical, not current 2026 status. Acquisition route: pre-cut Internet Archive snapshot of the publisher full-text HTML; origin URL retained in url field.",Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-008,139,preserved_v1,129;144;214,United States; EU/EEA; international context,TED consensus,A2 society consensus statement,American Thyroid Association and European Thyroid Association,consensus_statement,Management of Thyroid Eye Disease: A Consensus Statement by the American Thyroid Association and the European Thyroid Association,https://pmc.ncbi.nlm.nih.gov/articles/PMC9807259/,https://doi.org/10.1530/ETJ-22-0189,Management of thyroid eye disease ATA ETA consensus PMC 2022 0189,acquired,200,2026-09-11T05:22:51+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC9807259/,2022-12-01,eligible,key points and phenotype/activity/severity treatment sections,text/html; charset=utf-8,sources/regional_soc/S139_Management_of_Thyroid_Eye_Disease_A_Consensus_Statement_by_the_America.html,480280,01ee0aecf4fdf1956fbdc05d1bae52811d463febb107be134bf9408ea42d70da,NA (HTML/XML source),Normative consensus source; availability statements must be updated with 2026 regulator sources.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-009,373,preserved_v1_manual,171,United States,Lumvoa authorization and label,A1 regulator,U.S. Food and Drug Administration,prescribing_information,LUMVOA (veligrotug-vvze) Prescribing Information,https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/761530Orig1s000lbl.pdf,NA (none required),site:accessdata.fda.gov Lumvoa veligrotug label 2026,acquired,200,2026-09-11T05:22:51+00:00,https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/761530Orig1s000lbl.pdf,2026-06-01,eligible,"sections 1, 2.1, 2.3, 4, 5.1-5.4, 6.1, 8.1-8.5",application/pdf,sources/regional_soc/S373_LUMVOA_veligrotug-vvze_Prescribing_Information.pdf,139816,19954f585c92f156b536e2fca6ccf54a5349ef4745508ada6f2fb56cb97fd4f7,12,Current USPI at the data cut.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-010,726,preserved_v1_manual,170,United States,Lumvoa authorization,A1 regulator,U.S. Food and Drug Administration,approval_letter,BLA 761530 approval letter for LUMVOA,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2026/761530Orig1s000ltr.pdf,NA (none required),site:fda.gov Lumvoa veligrotug approval June 26 2026 thyroid eye disease,acquired,200,2026-09-11T05:22:51+00:00,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2026/761530Orig1s000ltr.pdf,2026-06-26,eligible,"page 1, Licensing",application/pdf,sources/regional_soc/S726_BLA_761530_approval_letter_for_LUMVOA.pdf,38380,f1033b435abc06d8be4dc63ac4d1caf5455967e991b7dcfa253d30ea9609b997,5,BLA approval effective 2026-06-26.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
