region,disease_stage,line_of_therapy,intervention,regimen,eligible_population,endpoint_definition,outcome_result,response_rate,remission_definition,remission_rate,relapse_rate,durability_followup,major_harms,next_option_if_failure,guideline_position,evidence_tier,source_ids,last_verified,notes
United States,GD hyperthyroidism,Initial medical therapy,Antithyroid drugs (methimazole/carbimazole; PTU in selected settings),Guideline- and patient-specific,Most adults; pregnancy/children require separate drug/timing rules,Biochemical control: FT4/FT3 normalization with treatment,Often achieves on-treatment biochemical control; this is not remission.,Not pooled in this review,Sustained euthyroidism after ATD withdrawal,Variable; often approximately 40–50% after conventional course in guideline/review literature,"Substantial and risk-stratified by TRAb, goiter, age, smoking and disease severity",Requires off-treatment follow-up,Agranulocytosis; hepatotoxicity; rash; teratogenicity considerations,"Long-term low-dose ATD, RAI, or thyroidectomy",Core first-line option under shared decision-making,Guideline/review,[39],2026-09-10,Do not label on-treatment normalization as cure.
United States,GD hyperthyroidism,Definitive/ablative option,Radioactive iodine (RAI),Regional dosimetry/fixed-dose practice,Selected nonpregnant patients; TED risk modifies choice,"Elimination of hyperthyroidism, often via hypothyroidism",High likelihood of definitive thyroid control but not restoration of immune tolerance.,Not pooled in this review,Ablative control is not immunologic remission,Not applicable as immune remission,Persistent/recurrent hyperthyroidism may require repeat therapy,Long-term thyroid function monitoring,Permanent hypothyroidism; possible TED worsening; radiation precautions,Repeat RAI or thyroidectomy,Established definitive option; avoid pregnancy/lactation and use caution in active TED,Guideline,[28]; [39]; [135],2026-09-10,Separate destructive control from cure.
United States,GD hyperthyroidism,Definitive option,Total thyroidectomy,High-volume thyroid surgeon preferred,"Large goiter, suspicious nodules, severe disease, rapid control need, selected pregnancy timing",Surgical elimination of hyperthyroidism,"Rapid definitive thyroid control, followed by lifelong levothyroxine.",High when complete surgery performed,Not immune cure; pathogenic autoimmunity/TED may persist,Not applicable as immune remission,Rare recurrent hyperthyroidism after total thyroidectomy,Lifelong thyroid replacement and calcium monitoring,Hypoparathyroidism; recurrent laryngeal nerve injury; anesthesia risk,Specialist reassessment,Established definitive option,Guideline/review,[13]; [39],2026-09-10,Surgical elimination of hormone source ≠ cure of autoimmunity.
United States,Active moderate-to-severe TED,First-line immunomodulation (regional),IV glucocorticoids ± mycophenolate,EUGOGO/region-specific cumulative IV regimen,Active moderate-to-severe TED after risk assessment,Composite clinical response/CAS and function,Reduces inflammatory activity; proptosis/diplopia benefit may be incomplete.,Not pooled in this review,"TED inactivation/response, not GD cure",Not standardized across trials,Can recur; retreatment or second-line therapy may be needed,Months to years,Hepatic/cardiovascular/metabolic/infectious glucocorticoid toxicity,"Targeted biologic, radiotherapy, or surgery depending activity and manifestation",EUGOGO first-line backbone; US practice also uses IGF-1R therapy where accessible,Guideline,[135]; [139],2026-09-10,Region-specific access materially changes sequencing.
EU/EEA,GD hyperthyroidism,Initial medical therapy,Antithyroid drugs (methimazole/carbimazole; PTU in selected settings),Guideline- and patient-specific,Most adults; pregnancy/children require separate drug/timing rules,Biochemical control: FT4/FT3 normalization with treatment,Often achieves on-treatment biochemical control; this is not remission.,Not pooled in this review,Sustained euthyroidism after ATD withdrawal,Variable; often approximately 40–50% after conventional course in guideline/review literature,"Substantial and risk-stratified by TRAb, goiter, age, smoking and disease severity",Requires off-treatment follow-up,Agranulocytosis; hepatotoxicity; rash; teratogenicity considerations,"Long-term low-dose ATD, RAI, or thyroidectomy",Core first-line option under shared decision-making,Guideline/review,[39],2026-09-10,Do not label on-treatment normalization as cure.
EU/EEA,GD hyperthyroidism,Definitive/ablative option,Radioactive iodine (RAI),Regional dosimetry/fixed-dose practice,Selected nonpregnant patients; TED risk modifies choice,"Elimination of hyperthyroidism, often via hypothyroidism",High likelihood of definitive thyroid control but not restoration of immune tolerance.,Not pooled in this review,Ablative control is not immunologic remission,Not applicable as immune remission,Persistent/recurrent hyperthyroidism may require repeat therapy,Long-term thyroid function monitoring,Permanent hypothyroidism; possible TED worsening; radiation precautions,Repeat RAI or thyroidectomy,Established definitive option; avoid pregnancy/lactation and use caution in active TED,Guideline,[28]; [39]; [135],2026-09-10,Separate destructive control from cure.
EU/EEA,GD hyperthyroidism,Definitive option,Total thyroidectomy,High-volume thyroid surgeon preferred,"Large goiter, suspicious nodules, severe disease, rapid control need, selected pregnancy timing",Surgical elimination of hyperthyroidism,"Rapid definitive thyroid control, followed by lifelong levothyroxine.",High when complete surgery performed,Not immune cure; pathogenic autoimmunity/TED may persist,Not applicable as immune remission,Rare recurrent hyperthyroidism after total thyroidectomy,Lifelong thyroid replacement and calcium monitoring,Hypoparathyroidism; recurrent laryngeal nerve injury; anesthesia risk,Specialist reassessment,Established definitive option,Guideline/review,[13]; [39],2026-09-10,Surgical elimination of hormone source ≠ cure of autoimmunity.
EU/EEA,Active moderate-to-severe TED,First-line immunomodulation (regional),IV glucocorticoids ± mycophenolate,EUGOGO/region-specific cumulative IV regimen,Active moderate-to-severe TED after risk assessment,Composite clinical response/CAS and function,Reduces inflammatory activity; proptosis/diplopia benefit may be incomplete.,Not pooled in this review,"TED inactivation/response, not GD cure",Not standardized across trials,Can recur; retreatment or second-line therapy may be needed,Months to years,Hepatic/cardiovascular/metabolic/infectious glucocorticoid toxicity,"Targeted biologic, radiotherapy, or surgery depending activity and manifestation",EUGOGO first-line backbone; US practice also uses IGF-1R therapy where accessible,Guideline,[135]; [139],2026-09-10,Region-specific access materially changes sequencing.
United Kingdom,GD hyperthyroidism,Initial medical therapy,Antithyroid drugs (methimazole/carbimazole; PTU in selected settings),Guideline- and patient-specific,Most adults; pregnancy/children require separate drug/timing rules,Biochemical control: FT4/FT3 normalization with treatment,Often achieves on-treatment biochemical control; this is not remission.,Not pooled in this review,Sustained euthyroidism after ATD withdrawal,Variable; often approximately 40–50% after conventional course in guideline/review literature,"Substantial and risk-stratified by TRAb, goiter, age, smoking and disease severity",Requires off-treatment follow-up,Agranulocytosis; hepatotoxicity; rash; teratogenicity considerations,"Long-term low-dose ATD, RAI, or thyroidectomy",Core first-line option under shared decision-making,Guideline/review,[39],2026-09-10,Do not label on-treatment normalization as cure.
United Kingdom,GD hyperthyroidism,Definitive/ablative option,Radioactive iodine (RAI),Regional dosimetry/fixed-dose practice,Selected nonpregnant patients; TED risk modifies choice,"Elimination of hyperthyroidism, often via hypothyroidism",High likelihood of definitive thyroid control but not restoration of immune tolerance.,Not pooled in this review,Ablative control is not immunologic remission,Not applicable as immune remission,Persistent/recurrent hyperthyroidism may require repeat therapy,Long-term thyroid function monitoring,Permanent hypothyroidism; possible TED worsening; radiation precautions,Repeat RAI or thyroidectomy,Established definitive option; avoid pregnancy/lactation and use caution in active TED,Guideline,[28]; [39]; [135],2026-09-10,Separate destructive control from cure.
