soc_id,region_code,region,disease,category,stage_activity,population,line_of_therapy,intervention,regimen_timing,treatment_goal,endpoint_semantics,outcome_interpretation,next_option_if_failure,major_risks,guideline_position,authorization_status_scope,reimbursement_access,source_ids,anchor_ids,evidence_tier,authority_scope,uncertainty,last_verified,data_cut,schema_version,notes
SOC-US-GD-ADULT-ATD,US,United States,GD,Adult ATD,Newly diagnosed or ongoing Graves’ hyperthyroidism,Adults,Initial or continued medical therapy,Methimazole (MMI) 중심; first trimester pregnancy 등 예외에서 PTU,MMI 약 12–18개월 후 TSH와 TRAb가 정상일 때 중단 고려; 중단 전 TRAb로 remission 가능성 평가,우선 biochemical control; 적절한 환자에서는 ATD 중단 후 durable off-treatment remission 가능성 평가,"복용 중 정상화(on-treatment biochemical control), off-ATD normalization, durable off-treatment remission, relapse를 분리한다; ATD 반응을 cure로 표현하지 않는다.","ATD는 세 초기 modality 중 하나이며, 치료 중 정상화만으로 durable off-treatment remission을 선언하지 않는다.",재발 시 RAI 또는 thyroidectomy 고려; 선호·적합성에 따라 장기 low-dose MMI 가능,"Agranulocytosis, hepatotoxicity 및 drug-specific adverse effects; pregnancy에서는 약제별 fetal risk","ATA는 overt GD에 ATD/RAI/thyroidectomy를 허용하고, MMI를 대부분의 ATD 선택 환자에서 권고한다.",NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),26,US-ATA2016-R3; US-ATA2016-R13; US-ATA2016-R21; US-ATA2016-R22; US-ATA2016-R23,A2,American Thyroid Association evidence-graded guideline,2016 guideline 기반이며 개별 약제 label·payer status는 본 행에서 재평가하지 않았다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-GD-ADULT-RAI,US,United States,GD,Adult RAI,Graves’ hyperthyroidism selected for radioactive iodine,Adults; pregnancy/lactation and TED risk assessed separately,Initial definitive option or after ATD failure/preference,Radioactive iodine (RAI),통상 10–15 mCi 단회로 hypothyroidism 유도; pregnancy test는 48시간 이내; 1–2개월 내 평가 후 4–6주 간격으로 6개월 또는 안정화까지 monitoring,"충분한 방사성요오드로 hyperthyroidism을 destructive control하고, 흔히 hypothyroidism 후 replacement로 안정화","RAI 후 euthyroidism, hypothyroidism, persistent hyperthyroidism, retreatment를 분리한다; ‘cure’ 용어가 있어도 autoimmune disease 소실이나 TED cure로 확장하지 않는다.","목표는 destructive control이며, 6개월 후 persistent hyperthyroidism이면 retreatment를 검토한다.",6개월 지속 시 repeat RAI; minimal response이면 선택적으로 3개월부터 추가 RAI 고려; 상황에 따라 surgery/ATD,"Transient hormone rise, eventual hypothyroidism, radiation precautions, TED 악화 가능성; pregnancy/lactation 금기 맥락",ATA는 적정 dose와 structured biochemical monitoring을 권고한다.,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),26,US-ATA2016-R8; US-ATA2016-R9; US-ATA2016-R11; US-ATA2016-R12; US-ATA2016-R104; US-ATA2016-R108,A2,American Thyroid Association evidence-graded guideline,Mild active/inactive TED에서 RAI 허용 여부는 activity와 risk factors에 따라 달라진다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-GD-ADULT-THYROIDECTOMY,US,United States,GD,Adult thyroidectomy,Graves’ hyperthyroidism selected for surgery,Adults,Initial definitive option or rescue/alternative,Total/near-total thyroidectomy by an experienced high-volume surgeon,수술 전 ATD ± beta-blockade로 euthyroid 상태를 만들고 immediate preoperative period에 KI-containing preparation 사용,갑상선 제거를 통한 신속하고 definitive한 hyperthyroidism control; 이후 thyroid hormone replacement,수술에 의한 thyroid-source control과 autoimmune remission/TED outcome을 분리한다; 수술은 전신 자가면역의 ‘cure’와 동의어가 아니다.,신속한 definitive control을 제공하지만 lifelong thyroid hormone replacement가 필요하며 TED 자체의 remission endpoint가 아니다.,수술 부적합이면 RAI 또는 ATD; persistent biochemical disease이면 진단·잔존 조직 재평가,"Hypoparathyroidism, recurrent laryngeal nerve injury, bleeding, anesthesia risk",ATA는 surgery를 초기 modality로 허용하고 preoperative biochemical preparation을 권고한다; total thyroidectomy 선호는 ETA 보조 근거로 확인한다.,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),26;39,US-ATA2016-R3; US-ATA2016-R24; EU-ETA2018-R24,A2,ATA primary; ETA contextual support for procedure choice,Procedure volume과 local surgical expertise가 outcome에 영향을 주며 payer access는 미확정이다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-GD-RELAPSE-REFRACTORY,US,United States,GD,Relapsed/refractory GD,Persistent or recurrent hyperthyroidism after prior therapy,"Adults with relapse, persistent biochemical disease, intolerance, or poor control",Subsequent therapy,"Repeat/continued ATD, RAI, repeat RAI, or thyroidectomy",MMI course 후 relapse이면 RAI/surgery 또는 선호 시 장기 low-dose MMI; RAI 후 6개월 persistence이면 repeat RAI 고려,재발 또는 지속성 hyperthyroidism의 biochemical control 회복과 환자별 definitive strategy 선택,"ATD 중단 후 relapse, RAI 후 persistence, ATD intolerance/poor control을 서로 다른 failure state로 기록하며 단일 반응률로 합치지 않는다.",failure state별로 재치료하며 ATD relapse와 RAI persistence를 동일 endpoint로 합치지 않는다.,"이전 modality, adverse events, TED, goiter, pregnancy 계획, comorbidity를 반영해 다른 definitive modality로 전환","반복 ATD toxicity, cumulative procedural risk, persistent thyrotoxicosis의 cardiovascular risk",ATA Recommendation 23과 12가 각각 post-MMI relapse와 post-RAI persistence를 구분한다.,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),26,US-ATA2016-R23; US-ATA2016-R12,A2,American Thyroid Association evidence-graded guideline,단일 ‘refractory’ 정의가 아니라 prior-therapy-specific state로 해석한다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-GD-PEDIATRIC,US,United States,GD,Pediatric GD,Pediatric Graves’ hyperthyroidism,Children and adolescents,Age- and context-specific initial or subsequent therapy,MMI; selected RAI; thyroidectomy,MMI 1–2년 후 저용량에서 spontaneous remission 평가 또는 연장; remission이 없으면 RAI/surgery 고려. RAI는 <5세 회피 및 age/dose 제한,성장·발달과 장기 안전성을 고려한 biochemical control 및 선택적 definitive control,"pediatric remission, prolonged ATD use, RAI age/dose restrictions, surgery를 adult endpoint와 분리한다.",장기 ATD tolerance와 age-appropriate definitive therapy를 균형화한다.,1–2년 후 remission이 없으면 RAI 또는 high-volume surgeon thyroidectomy; tolerating ATD이면 연장 가능,"ATD toxicity, RAI age/dose concern, surgical complication; growth/development context",ATA corrected Recommendation 58과 Recommendations 66–67을 함께 적용한다.,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),26;744,US-ATA2016-R66; US-ATA2016-R67; US-ATA2017-R58-CORRECTED; US-ATA2017-R58-ONLINE-CORRECTED,A2,ATA guideline plus journal correction,원 guideline의 Recommendation 58은 correction source 744의 정정문으로 대체했다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-GD-PREGNANCY,US,United States,GD,GD in pregnancy,Pregnancy or pregnancy planning with Graves’ hyperthyroidism,Pregnant patients or patients planning pregnancy,Pregnancy-specific management,PTU in first trimester; MMI when ATD is initiated after first trimester,"임신 중 overt GD에는 ATD; first trimester는 PTU, 이후 새로 시작할 때 MMI",모체 hyperthyroidism control과 fetal exposure/teratogenic risk 최소화,"maternal biochemical control, fetal/neonatal thyroid effect, congenital-malformation risk를 분리하며 nonpregnant remission endpoint를 대입하지 않는다.",모체 control과 fetal risk를 동시에 최적화하며 RAI는 사용하지 않는다.,약물 intolerance/poor control이면 multidisciplinary assessment와 trimester-appropriate surgery 검토,"Uncontrolled maternal thyrotoxicosis, PTU hepatotoxicity, MMI embryopathy/teratogenic concern, fetal thyroid dysfunction",ATA Recommendation 80은 trimester-specific ATD 선택을 명시한다.,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),26,US-ATA2016-R80,A2,American Thyroid Association evidence-graded guideline,Pregnancy는 adult primary pathway와 분리했다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-GD-LACTATION,US,United States,GD,GD in lactation,Lactation with Graves’ hyperthyroidism,Breastfeeding patients and infants,Lactation-specific management,MMI preferred over PTU in the curated international recommendation; RAI avoided during breastfeeding,최저 유효 ATD와 infant clinical/thyroid safety 고려; RAI는 breastfeeding 중 사용하지 않음,모체 biochemical control을 유지하면서 infant drug/iodine exposure를 최소화,maternal control과 infant thyroid safety를 별도 endpoint로 취급한다; RAI는 breastfeeding과 별도 contraindication 맥락이다.,미국 전용 lactation recommendation anchor가 이번 curated set에 없어 ETA 권고를 contextual evidence로 사용한다.,약제 adverse effect 또는 control 실패 시 endocrinology·pediatrics 협진과 breastfeeding/definitive-therapy timing 재평가,"Infant exposure, maternal hepatotoxicity/agranulocytosis; RAI breast-milk exposure",ETA는 lactation에서 non-lactating 환자와 같은 치료 선택을 허용하고 MMI를 권고한다; U.S.-specific position으로 과장하지 않는다.,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),39,EU-ETA2018-R42; EU-ETA2018-R43,A2 contextual,European Thyroid Association used as international context,U.S.-specific official lactation guidance는 이번 anchor set에서 직접 검증되지 않았다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-GD-OLDER-ADULT,US,United States,GD,GD in older adults,"Graves’ hyperthyroidism in older adults, with or without cardiac comorbidity",Older adults,Risk-adapted initial or definitive therapy,"Risk-adapted MMI, RAI, or thyroidectomy with peri-treatment stabilization",RAI 전 worsening risk가 높으면 MMI pretreatment와 3–7일 후 selective resumption 고려; cardiac comorbidity 최적화,신속한 biochemical control과 atrial fibrillation/heart failure/ischemia 등 decompensation 위험 최소화,"age 자체와 comorbidity-driven risk를 분리하고, efficacy보다 안전성·안정성·adherence를 우선 해석한다.",연령보다 decompensation risk와 comorbidity가 modality 선택을 좌우한다.,불안정성·재발 시 definitive therapy; mild disease와 높은 procedural risk에서는 장기 low-dose MMI 고려 가능,"Atrial fibrillation, heart failure, ischemia, thyroid storm, treatment-related hypothyroidism/procedural risk",ATA는 high-risk 환자의 peri-RAI MMI를 다루며 ETA older-adult recommendations는 cardiac-event 후 definitive therapy와 mild GD의 장기 MMI를 보조한다.,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),26;39,US-ATA2016-R5; US-ATA2016-R6; EU-ETA2018-R44; EU-ETA2018-R45,A2,ATA primary with ETA age-specific context,Older-adult subgroup evidence는 제한적이며 frailty와 patient preference를 별도 반영해야 한다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-TED-MILD-ACTIVE,US,United States,TED,Mild active TED,Mild active TED,Adults with mild active TED; pediatric and pregnancy evidence separate,Initial supportive/local management,"Local ocular-surface care, risk-factor control, and selected selenium","Selenium selenite 100 μg twice daily for 6 months may be considered, 특히 selenium-insufficient region","ocular-surface 증상, risk factors, QoL 및 progression risk 관리","symptom/QoL improvement, activity change, progression prevention을 proptosis response나 durable remission과 합치지 않는다.",mild active disease에서 supportive care가 중심이며 selenium 효과를 모든 영양 환경에 일반화하지 않는다.,진행 또는 QoL impact 증가 시 activity/severity 재평가 후 systemic/phenotype-directed therapy,"Supplement excess, delayed recognition of progression; smoking/thyroid dysfunction as modifiable risks",ATA/ETA consensus Key Point 6.1.1은 selenium을 조건부로 제시한다.,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),139,INT-ATA-ETA2022-KP6.1.1,A2,Joint ATA/ETA consensus,지역 selenium status와 disease onset timing에 따라 적용성이 달라진다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-TED-ACTIVE-MODERATE-SEVERE,US,United States,TED,Active moderate-to-severe TED,Active moderate-to-severe TED without immediate sight threat,Adults,Initial systemic/phenotype-directed therapy,"Phenotype-directed IVGC, teprotumumab, orbital radiotherapy, or selected immunomodulators",Inflammation-predominant: IVMP cumulative 4.5 g over ~3 months; proptosis/diplopia-predominant: teprotumumab if available; progressive diplopia: RT,"inflammation, proptosis, diplopia, motility 및 QoL 중 predominant phenotype에 맞춘 개선","CAS/activity, proptosis, diplopia, composite response, QoL을 별도 endpoint로 유지하고 서로 대체하거나 cross-trial ranking하지 않는다.",한 환자에서도 activity와 phenotype이 다르므로 단일 ‘best treatment’로 순위화하지 않는다.,6주 IVMP poor response이면 중단/대안 평가; GC-resistant active disease에서 RTX/TCZ 고려,"IVGC hepatic/cardiovascular/metabolic risk; biologic-specific hearing, glucose, IBD, reproductive risks; RT tissue effects",ATA/ETA consensus는 phenotype별 preferred options와 IVGC stopping assessment를 제시한다.,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),139,INT-ATA-ETA2022-KP7.1.1.1; INT-ATA-ETA2022-KP7.1.1.2; INT-ATA-ETA2022-KP7.1.1.3; INT-ATA-ETA2022-KP7.1.2.1; INT-ATA-ETA2022-KP7.1.3.1; INT-ATA-ETA2022-KP7.2.1,A2,Joint ATA/ETA consensus,Evidence and access vary by modality; no cross-trial efficacy ranking was performed.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
