relative_path,bytes,sha256
QA2.json,6196,539e4ca8da41ba0555dfc2b292c59263ab3cd5d9009c42c0505cef3e1745537c
QA2.md,2875,df0a364356d422e7305fce8b288ad115088b477a82e074aa4f478fcf51649c1d
asset_trial_crosswalk_v2.csv,138957,f51c8357a1a225ebe0a59262a231d3305c3b05f30cf2ed1aef348583234f4d8e
blind_packet_v2.jsonl,258313,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81
citation_resolution_v2.csv,326353,7da18ea834ef845539542ba743876603d5010a490046fbb78dbad5dfe97d3e5a
claim_evidence_anchors_v2.csv,15784,99456c14392e492eb1f56d1aea3ad089dcfdc4eb0ce9ee5663b44d577a4ff600
clinical_trials_v2.csv,429716,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b
direct_source_documents_v2.jsonl,13730,27164ac3d7a380733c7a4a048cd730f2551d9957117bc557f8ba46ab22eac5bf
evidence_claims_v2.csv,275694,718da49f31ea6aeb0c38c18179fe61a2250b8473b041242bc59319720a649925
execution_events_v2.jsonl,14795,f974dafefae8e7e28fef52bc0ca9482d509f5760034630ba1e7b2b61a92faeab
execution_log2.md,12824,1beb65ddeb38e2575a005264389003034c7574092f3e9a89405d9acdc3713c50
figure_source_map_v2.csv,8247,a828f099d8743f22687922afec1d50cc25dacb9897419b308d280f8142a624cf
figures_v2/figure_1_trial_status_v2.png,116145,e65ac5905d3064852f1ba48407e965eababa26ea9130fb4bfc6e74d638cb9003
figures_v2/figure_1_trial_status_v2.svg,13177,1e5bd42121a5bc7c104d34af8b45f4e3d23e1c8af254cd9a962584db29ef9352
figures_v2/figure_2_mechanism_counts_v2.png,152015,05263733bf4e8505fa730c69d90e8a6981981249707ccbc97b02d1d840f9e534
figures_v2/figure_2_mechanism_counts_v2.svg,14149,5dd3946074a92b434659df88102dee33f050751e5b17243cb0d9941307df82a3
figures_v2/figure_3_mechanism_phase_heatmap_v2.png,153934,e3e8e2026ab394eed0e1d6591e67d91c1d643b69990140f4e083cdfb884c04a4
figures_v2/figure_3_mechanism_phase_heatmap_v2.svg,27287,190d260057e1cf14051517a63d1b4e84952e6d8e15c262d3898bbd9b6840146b
figures_v2/figure_4_selected_prr_v2.png,149230,c226cd4fa287b0ef788ab06ac554073985eba56740f8567b33d309a5d27681b7
figures_v2/figure_4_selected_prr_v2.svg,14111,e67d9bfbf973ebe02466abb7bcff9e4ca7b3ab1086aa3ee833b81479906c700e
figures_v2/figure_5_potential_vs_evidence_v2.png,161281,9b95c7591dd3a3306fea113256b1570b251d2a410ff38673a47931d54e95e7f2
figures_v2/figure_5_potential_vs_evidence_v2.svg,16502,3683005ddbca56528256a3cb568d24661e06e07b55b63ae64c793f25be3cef4b
figures_v2/figure_6_result_interpretability_v2.png,139949,f4c424fcc8f5cb69755fb45a944826aec722c9dff70544832aa5c0a9e3b83ce4
figures_v2/figure_6_result_interpretability_v2.svg,11131,d7ed2d048f199b9933848e63e74f5538f7034295b4c24b2c14412bacbc7ad95d
frozen_trial_registry_documents_v2.jsonl,3397889,6a69b32e34f3eef80a44dd052b06cdfa3f122a9bcbe0fe8cf93694f83b870ce4
pipeline_assets_v2.csv,70140,8c7c250395850cd9588704eeecfc7680e6c54af4a3f247747aed174ffeb40c91
plan2.md,20475,db3a5bb7757d814309f2d5e736a7cdef1cbc8504b94caa04c4f0d472228d6880
presentation_graves_ted_landscape_v2.pptx,801792,5ee488ea3d7c5e66775c651eecc6f97897e36bff64b7166db2437aaf10c598a0
presentation_graves_ted_landscape_v2.slides/inventory.json,74553,07faac94e2b7327a24f79065da5dcd85a6c74a6afea08b7e0593e784409ed880
presentation_graves_ted_landscape_v2.slides/slide-001.png,101566,c5f4922ec3741137a420e3a2d2e0db4726189da23cf987bf2aea500b9c6f2603
presentation_graves_ted_landscape_v2.slides/slide-002.png,173049,268c8223e015d1116a7dd4098c99e72b7d929401d90a1cff07f7325418c7e3f4
presentation_graves_ted_landscape_v2.slides/slide-003.png,161403,6001867b4c583dca3278d539e6ede12402345c62cf0700045311d7d6395f2b3b
presentation_graves_ted_landscape_v2.slides/slide-004.png,164508,379fa5e9e228e65b7a283fd700b3c49a01754c736091652eb781e32050cf3308
presentation_graves_ted_landscape_v2.slides/slide-005.png,158135,d27077027f8adf826f4695ce30e6286338edb92c4293086886509bbc178f6620
presentation_graves_ted_landscape_v2.slides/slide-006.png,183668,eed63be514655200105fb1186fc719ffd79d8a209749f33b70b391b0c250e4e2
presentation_graves_ted_landscape_v2.slides/slide-007.png,219903,072c90356defdd6c276f70e5e6d50bfaa4532ec0294cdff8e7c331e6b83408f3
presentation_graves_ted_landscape_v2.slides/slide-008.png,249003,9095e10c497c8a8fb260f9831a1e221a09a5a8d10c6b71bd675b50556f1fb1da
presentation_graves_ted_landscape_v2.slides/slide-009.png,134888,66b2fc5bb48990de86e9a7e59b5ec5c4b54e6ce5a94e04c78dd1739558482e8b
presentation_graves_ted_landscape_v2.slides/slide-010.png,185211,f9b0187de7770f11c684bcc4cdc01db45564a124384b1b61384c0c819ef67485
presentation_graves_ted_landscape_v2.slides/slide-011.png,248302,702cb36183d142b0d08cc694a66ec280355395b4707b79d5101ba6061d88642d
presentation_graves_ted_landscape_v2.slides/slide-012.png,176228,f5e79718f8399543bd682bb5958a9c99343f98d4305434a7debe881475732ee2
presentation_graves_ted_landscape_v2.slides/slide-013.png,170568,f8cd529ff0eae96f68cfef60291aaad6f68b8f82598f337e7769e885bfd17796
presentation_graves_ted_landscape_v2.slides/slide-014.png,120230,7ee70fb62f3f1df5c3b5320586671704713e7698ee47273d36770dc71e2b2838
presentation_graves_ted_landscape_v2.slides/slide-015.png,178957,78403c0d3366e5b3d5b416358c6467db962be1145722c44c9c21d97386950615
qa/blind_adjudication_summary_v2.json,1180,c675a33ef0e5c22f73eae09a4c783e89c991532d951ab1afeb1dc644c35a9a11
qa/blind_adjudications_v2.csv,183599,ff08b9023a777aac5cc9ecac2ad00b1c8336c7d875e0aad6f4fd2148cdd4b15d
qa/blind_packet_freeze_v2.json,710,c4bd96b65c3d39b6a98dcfcd6a1118ec20f1f874ebed7f969b2a12661de5f79f
qa/blind_packet_frozen_v2.jsonl,258313,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81
qa/blind_packet_pre_adjudication_v2.jsonl,252623,37690fbf46cad7031ef0523acdf019f4fc65ea04b9ef2876e4b221f621c87339
qa/blind_pre_adjudication_freeze_v2.json,1136,fd42384ea8a7677cbffbb5842d8754e51e796834e879cd7ca46ea608eaffd141
qa/blind_precheck_frozen_v2.csv,117566,e59805d87b6f5f805efac977dd247a981c524725aed4b52171b496417f0c82ed
qa/blind_precheck_pre_adjudication_v2.csv,113804,f8cc4e9d0cf5ac85894e2e7c5d38d7c3573dd16355c7943fcaffb95c2dae21ff
qa/blind_precheck_summary_pre_adjudication_v2.json,233788,17ed27a24aaf221af2c3f76559bcd4ef533aca1a517cff63a1af0053d5da06d7
qa/blind_precheck_summary_v2.json,239253,cd58905489f6bd5510b06afaaca1be37023c0aa62db655089a8eeba8a6a12818
qa/blind_precheck_v2.csv,117566,e59805d87b6f5f805efac977dd247a981c524725aed4b52171b496417f0c82ed
