source_id,selected_title,selected_url,selection_rule,distinct_title_url_variants,collision_disposition,tool_name,document_sha256,data_cut,schema_version
1,Programs - Lycia Therapeutics,https://lyciatx.com/pipeline/programs/,source ID plus URL substring: lyciatx.com/pipeline/programs,2,Collision resolved by claim/asset context and exact URL,WebSearch,3ff9598e3d10a8458e040564332a5a2b71a2f5517200de5b603e652a45646d6c,2026-09-10,2.0.0
2,Graves Disease · Phase I (2025-524053-14-00) | CTIS.eu,https://ctis.eu/trial/2025-524053-14-00,source ID plus URL substring: ctis.eu/trial/2025-524053-14-00,2,Collision resolved by claim/asset context and exact URL,WebSearch,f60cd7d820ac1a4ed6672326b22d835a73b89637b3b11c4a97bb0237420ea5c3,2026-09-10,2.0.0
6,Pipeline & Programs - Merida Biosciences,https://meridabio.com/pipeline-programs/,source ID plus URL substring: meridabio.com/pipeline-programs,2,Collision resolved by claim/asset context and exact URL,WebSearch,45c80e24a10a8e76bac88b813988e191fcc9c346bf95472faade3c41c52a82e8,2026-09-10,2.0.0
7,NEXUS Study: A Study to Test Single and Multiple Doses of MER511 Given to Adults With Graves' Disease,https://clinicaltrials.gov/study/NCT07305818,source ID plus URL substring: clinicaltrials.gov/study/NCT07305818,2,Collision resolved by claim/asset context and exact URL,WebSearch,ec8afd070c1031d6ff1233bbb861e51c9898a14a66db8c7cea4d93badf99c3f5,2026-09-10,2.0.0
8,OR31-05 Specific and Deep Depletion of anti-TSHR Autoantibodies for the Treatment of Graves’ and Thyroid Eye Disease,https://doi.org/10.1210/jendso/bvaf149.2238,source ID plus URL substring: 10.1210/jendso/bvaf149.2238,2,Collision resolved by claim/asset context and exact URL,WebSearch,d8350b85faec737338cc493947212b8f38a59ca33648488a7e32fcc3f042893b,2026-09-10,2.0.0
274,TEPEZZA (teprotumumab-trbw) Prescribing Information — original 2020 label,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761143s000lbl.pdf,source ID plus URL substring: 761143s000lbl.pdf,2,Collision resolved by claim/asset context and exact URL,WebSearch,6227e5f1a4c3c42b0dec71a46125abc8a0f319e685344be22b6dee4047d44fc9,2026-09-10,2.0.0
404,An Efficacy and Safety Study of NTB003 in Participants With Thyroid Eye Disease (TED),https://clinicaltrials.gov/study/NCT07462130,source ID plus URL substring: NCT07462130,1,No title/URL collision,WebSearch,da3d0010f816ec861a4791f719b23021bd5fffb736ef552b57dafe954a264bad,2026-09-10,2.0.0
422,IL-11 receptor is a novel target for drug development with pharmacological activity in fibro-inflammatory disease | Scientific Reports,https://www.nature.com/articles/s41598-026-51600-0,source ID plus URL substring: nature.com/articles/s41598-026-51600-0,1,No title/URL collision,WebSearch,b40b882bd215a904f23c65f319f63d8ceb919b8fae39b98022f5aea07f1e4802,2026-09-10,2.0.0
444,Expanded Access Policy,https://www.yarrowbioscience.com/,source ID plus URL substring: yarrowbioscience.com,1,No title/URL collision,WebSearch,5d600948fb6ac3266419356a7b00683f520643e9a82aa8949ad9724327af91c9,2026-09-10,2.0.0
445,"GenSci098 Receives FDA Fast Track Designation and Advances into Phase 2 Clinical Trials-Press Releases-Changchun GeneScience Pharmaceuticals Co., Ltd.",https://www.genscigroup.com/en/news/media/204,source ID plus URL substring: genscigroup.com/en/news/media/204,1,No title/URL collision,WebSearch,5af74459400d623d9eec6c074259836b399eccf893b6ff0ca6c3d39ccb42af0e,2026-09-10,2.0.0
