resolution_id,artifact,artifact_type,location,raw_citation,source_id,resolution_status,reference_occurrence_count,reference_title,data_cut,schema_version
CIT-FINAL-00001,claim_evidence_anchors_v2.csv,CSV,row=2;field=source_id,2,2,resolved,1,Graves Disease · Phase I (2025-524053-14-00) | CTIS.eu,2026-09-10,2.0.0
CIT-FINAL-00002,claim_evidence_anchors_v2.csv,CSV,row=3;field=source_id,2,2,resolved,1,Graves Disease · Phase I (2025-524053-14-00) | CTIS.eu,2026-09-10,2.0.0
CIT-FINAL-00003,claim_evidence_anchors_v2.csv,CSV,row=4;field=source_id,2,2,resolved,1,Graves Disease · Phase I (2025-524053-14-00) | CTIS.eu,2026-09-10,2.0.0
CIT-FINAL-00004,claim_evidence_anchors_v2.csv,CSV,row=5;field=source_id,1,1,resolved,1,Programs - Lycia Therapeutics,2026-09-10,2.0.0
CIT-FINAL-00005,claim_evidence_anchors_v2.csv,CSV,row=6;field=source_id,1,1,resolved,1,Programs - Lycia Therapeutics,2026-09-10,2.0.0
CIT-FINAL-00006,claim_evidence_anchors_v2.csv,CSV,row=7;field=source_id,1,1,resolved,1,Programs - Lycia Therapeutics,2026-09-10,2.0.0
CIT-FINAL-00007,claim_evidence_anchors_v2.csv,CSV,row=8;field=source_id,7,7,resolved,1,NEXUS Study: A Study to Test Single and Multiple Doses of MER511 Given to Adults With Graves' Disease,2026-09-10,2.0.0
CIT-FINAL-00008,claim_evidence_anchors_v2.csv,CSV,row=9;field=source_id,7,7,resolved,1,NEXUS Study: A Study to Test Single and Multiple Doses of MER511 Given to Adults With Graves' Disease,2026-09-10,2.0.0
CIT-FINAL-00009,claim_evidence_anchors_v2.csv,CSV,row=10;field=source_id,7,7,resolved,1,NEXUS Study: A Study to Test Single and Multiple Doses of MER511 Given to Adults With Graves' Disease,2026-09-10,2.0.0
CIT-FINAL-00010,claim_evidence_anchors_v2.csv,CSV,row=11;field=source_id,7,7,resolved,1,NEXUS Study: A Study to Test Single and Multiple Doses of MER511 Given to Adults With Graves' Disease,2026-09-10,2.0.0
CIT-FINAL-00011,claim_evidence_anchors_v2.csv,CSV,row=12;field=source_id,8,8,resolved,1,OR31-05 Specific and Deep Depletion of anti-TSHR Autoantibodies for the Treatment of Graves’ and Thyroid Eye Disease,2026-09-10,2.0.0
CIT-FINAL-00012,claim_evidence_anchors_v2.csv,CSV,row=13;field=source_id,8,8,resolved,1,OR31-05 Specific and Deep Depletion of anti-TSHR Autoantibodies for the Treatment of Graves’ and Thyroid Eye Disease,2026-09-10,2.0.0
CIT-FINAL-00013,claim_evidence_anchors_v2.csv,CSV,row=14;field=source_id,8,8,resolved,1,OR31-05 Specific and Deep Depletion of anti-TSHR Autoantibodies for the Treatment of Graves’ and Thyroid Eye Disease,2026-09-10,2.0.0
CIT-FINAL-00014,claim_evidence_anchors_v2.csv,CSV,row=15;field=source_id,8,8,resolved,1,OR31-05 Specific and Deep Depletion of anti-TSHR Autoantibodies for the Treatment of Graves’ and Thyroid Eye Disease,2026-09-10,2.0.0
CIT-FINAL-00015,claim_evidence_anchors_v2.csv,CSV,row=16;field=source_id,6,6,resolved,1,Pipeline & Programs - Merida Biosciences,2026-09-10,2.0.0
CIT-FINAL-00016,claim_evidence_anchors_v2.csv,CSV,row=17;field=source_id,6,6,resolved,1,Pipeline & Programs - Merida Biosciences,2026-09-10,2.0.0
CIT-FINAL-00017,claim_evidence_anchors_v2.csv,CSV,row=18;field=source_id,6,6,resolved,1,Pipeline & Programs - Merida Biosciences,2026-09-10,2.0.0
CIT-FINAL-00018,clinical_trials_v2.csv,CSV,row=19;field=source_ids,[191]; ClinicalTrials.gov; NCT03461211,191,resolved,1,"Teprotumumab Efficacy, Safety and Durability in Longer Duration Thyroid Eye Disease and Retreatment: Optic-X Study.",2026-09-10,2.0.0
CIT-FINAL-00019,clinical_trials_v2.csv,CSV,row=52;field=source_ids,[230]; [713]; ClinicalTrials.gov; NCT05176639,230,resolved,1,THRIVE,2026-09-10,2.0.0
CIT-FINAL-00020,clinical_trials_v2.csv,CSV,row=52;field=source_ids,[230]; [713]; ClinicalTrials.gov; NCT05176639,713,resolved,1,"Viridian Therapeutics, Inc. - Viridian Therapeutics Announces Positive Long-Term Durability Data from the Veligrotug Phase 3 THRIVE Clinical Trial in Patients with Active Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00021,clinical_trials_v2.csv,CSV,row=54;field=source_ids,[714]; [715]; ClinicalTrials.gov; NCT05276063,714,resolved,1,"A Phase 2b, Study of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00022,clinical_trials_v2.csv,CSV,row=54;field=source_ids,[714]; [715]; ClinicalTrials.gov; NCT05276063,715,resolved,1,News - Sling Therapeutics,2026-09-10,2.0.0
CIT-FINAL-00023,clinical_trials_v2.csv,CSV,row=64;field=source_ids,[422]; [521]; ClinicalTrials.gov; NCT06226545,422,resolved,1,IL-11 receptor is a novel target for drug development with pharmacological activity in fibro-inflammatory disease | Scientific Reports,2026-09-10,2.0.0
CIT-FINAL-00024,clinical_trials_v2.csv,CSV,row=64;field=source_ids,[422]; [521]; ClinicalTrials.gov; NCT06226545,521,resolved,1,IL-11 receptor is a novel target for drug development with pharmacological activity in fibro-inflammatory disease — article PDF,2026-09-10,2.0.0
CIT-FINAL-00025,clinical_trials_v2.csv,CSV,row=90;field=source_ids,[190]; ClinicalTrials.gov; NCT04583735,190,resolved,1,Efficacy and Safety of Teprotumumab in Patients With Thyroid Eye Disease of Long Duration and Low Disease Activity,2026-09-10,2.0.0
CIT-FINAL-00026,clinical_trials_v2.csv,CSV,row=91;field=source_ids,[678]; [679]; [712]; ClinicalTrials.gov; NCT06021054,678,resolved,1,THRIVE-2 phase 3 trial of Veligrotug (VRDN-001) in chronic thyroid eye disease (TED): efficacy and safety at 15 weeks,2026-09-10,2.0.0
CIT-FINAL-00027,clinical_trials_v2.csv,CSV,row=91;field=source_ids,[678]; [679]; [712]; ClinicalTrials.gov; NCT06021054,679,resolved,1,OR31-07 THRIVE-2 Phase 3 Trial of Veligrotug (VRDN-001) in Chronic Thyroid Eye Disease (TED): Efficacy and Safety at 15 Weeks,2026-09-10,2.0.0
CIT-FINAL-00028,clinical_trials_v2.csv,CSV,row=91;field=source_ids,[678]; [679]; [712]; ClinicalTrials.gov; NCT06021054,712,resolved,1,News Details,2026-09-10,2.0.0
CIT-FINAL-00029,clinical_trials_v2.csv,CSV,row=115;field=source_ids,[253]; ClinicalTrials.gov; NCT02973802,253,resolved,1,Antigen-Specific Immunotherapy with Thyrotropin Receptor Peptides in Graves' Hyperthyroidism: A Phase I Study,2026-09-10,2.0.0
CIT-FINAL-00030,clinical_trials_v2.csv,CSV,row=120;field=source_ids,ClinicalTrials.gov; NCT05907668; [683],683,resolved,1,OR31-08 The FcRn Inhibitor Batoclimab Rapidly Normalizes Thyroid Function and Improves Clinical Outcomes in Graves’ Disease,2026-09-10,2.0.0
CIT-FINAL-00031,clinical_trials_v2.csv,CSV,row=150;field=source_ids,[699]; [701]; ClinicalTrials.gov; NCT05987423,699,resolved,1,Primary Results of the Phase-3 SatraGO-1 and SatraGO 2 Trials: Efficacy and Safety of Satralizumab▼ in Thyroid Eye Disease,2026-09-10,2.0.0
CIT-FINAL-00032,clinical_trials_v2.csv,CSV,row=150;field=source_ids,[699]; [701]; ClinicalTrials.gov; NCT05987423,701,resolved,1,"FDA grants Priority Review to Roche’s Enspryng, the first and only at-home subcutaneous treatment option for thyroid eye disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00033,clinical_trials_v2.csv,CSV,row=151;field=source_ids,[699]; [701]; ClinicalTrials.gov; NCT06106828,699,resolved,1,Primary Results of the Phase-3 SatraGO-1 and SatraGO 2 Trials: Efficacy and Safety of Satralizumab▼ in Thyroid Eye Disease,2026-09-10,2.0.0
CIT-FINAL-00034,clinical_trials_v2.csv,CSV,row=151;field=source_ids,[699]; [701]; ClinicalTrials.gov; NCT06106828,701,resolved,1,"FDA grants Priority Review to Roche’s Enspryng, the first and only at-home subcutaneous treatment option for thyroid eye disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00035,evidence_claims_v2.csv,CSV,row=36;field=source_ids,762,762,resolved,1,Phase 2/3 Study of Rituximab for Graves' Ophthalmopathy,2026-09-10,2.0.0
CIT-FINAL-00036,evidence_claims_v2.csv,CSV,row=37;field=source_ids,762,762,resolved,1,Phase 2/3 Study of Rituximab for Graves' Ophthalmopathy,2026-09-10,2.0.0
CIT-FINAL-00037,evidence_claims_v2.csv,CSV,row=38;field=source_ids,767,767,resolved,1,"A Randomised, Comparator Controlled, Two Part, Open-label Study to Evaluate the Safety, Tolerability and Pharmacodynamics of Multiple Doses of Otelixizumab in Patients With Thyroid Orbitopathy",2026-09-10,2.0.0
