source_id,canonical_id_status,title,issuer_or_journal,publication_or_event_date,year,url,doi,registry_id,source_type,evidence_tier,access_depth,exact_locator_availability,locator,last_verified,r_and_d_implication,reference_text,data_cut,schema_version
1,recovered_legacy_web_index_collision_resolved,Programs - Lycia Therapeutics,Lycia Therapeutics,2025-02-06,2025,https://lyciatx.com/pipeline/programs/,NA (no DOI),NA (no registry ID),company pipeline,C1 sponsor primary,Retrieved web-source document block,Yes (3 canonical exact quote anchors),claim_evidence_anchors_v2.csv::source_id=1; LCA-0321 program section,2026-09-11 (legacy source recovery against frozen cut),Confirms LCA-0321 identity and anti-TSHR autoantibody LYTAC-degrader design; no human efficacy inference.,Lycia Therapeutics. Programs - Lycia Therapeutics. 2025-02-06. https://lyciatx.com/pipeline/programs/,2026-09-10,2.0.0
2,recovered_legacy_web_index_collision_resolved,Graves Disease · Phase I (2025-524053-14-00) | CTIS.eu,Clinical Trials Information System (CTIS),2026-09-10 registry cut,2026,https://ctis.eu/trial/2025-524053-14-00,NA (no DOI),2025-524053-14-00,official trial registry,A1 official registry,Retrieved registry document block,Yes (3 canonical exact quote anchors),claim_evidence_anchors_v2.csv::source_id=2; CTIS 2025-524053-14-00 trial summary,2026-09-11 (legacy source recovery against frozen cut),Confirms the recruiting first-in-human LCA-0321 SAD/MAD study and planned enrollment; no efficacy result is posted.,Clinical Trials Information System (CTIS). Graves Disease · Phase I (2025-524053-14-00) | CTIS.eu. 2026-09-10 registry cut. https://ctis.eu/trial/2025-524053-14-00,2026-09-10,2.0.0
6,recovered_legacy_web_index_collision_resolved,Pipeline & Programs - Merida Biosciences,Merida Biosciences,2024-06-26 page metadata,2024,https://meridabio.com/pipeline-programs/,NA (no DOI),NA (no registry ID),company pipeline,C1 sponsor primary,Retrieved web-source document block,Yes (3 canonical exact quote anchors),claim_evidence_anchors_v2.csv::source_id=6; Graves disease/TED and MER511 program sections,2026-09-11 (legacy source recovery against frozen cut),Supports the sponsor-described MER511 anti-TSHR autoantibody and antigen-specific B-cell-source mechanism; human efficacy remains unknown.,Merida Biosciences. Pipeline & Programs - Merida Biosciences. 2024-06-26 page metadata. https://meridabio.com/pipeline-programs/,2026-09-10,2.0.0
7,recovered_legacy_web_index_collision_resolved,NEXUS Study: A Study to Test Single and Multiple Doses of MER511 Given to Adults With Graves' Disease,ClinicalTrials.gov,2026-09-10 registry cut,2026,https://clinicaltrials.gov/study/NCT07305818,NA (no DOI),NCT07305818,official trial registry,A1 official registry,Retrieved registry document block,Yes (4 canonical exact quote anchors),"claim_evidence_anchors_v2.csv::source_id=7; NCT07305818 identification, design, intervention and outcome modules",2026-09-11 (legacy source recovery against frozen cut),Confirms NEXUS Phase 1 IV/SC MER511 design and recruiting status at the frozen cut.,ClinicalTrials.gov. NEXUS Study: A Study to Test Single and Multiple Doses of MER511 Given to Adults With Graves' Disease. 2026-09-10 registry cut. https://clinicaltrials.gov/study/NCT07305818,2026-09-10,2.0.0
8,recovered_legacy_web_index_collision_resolved,OR31-05 Specific and Deep Depletion of anti-TSHR Autoantibodies for the Treatment of Graves’ and Thyroid Eye Disease,Journal of the Endocrine Society,2025-10-01,2025,https://doi.org/10.1210/jendso/bvaf149.2238,10.1210/jendso/bvaf149.2238,NA (no registry ID),peer-reviewed congress abstract,B2 conference abstract,Retrieved abstract document block,Yes (4 canonical exact quote anchors),claim_evidence_anchors_v2.csv::source_id=8; OR31-05 abstract,2026-09-11 (legacy source recovery against frozen cut),Provides preclinical mechanism and patient-sample evidence for MER511; not clinical efficacy evidence.,Journal of the Endocrine Society. OR31-05 Specific and Deep Depletion of anti-TSHR Autoantibodies for the Treatment of Graves’ and Thyroid Eye Disease. 2025-10-01. https://doi.org/10.1210/jendso/bvaf149.2238,2026-09-10,2.0.0
12,preserved_v1+scholarly,Outcomes of Surgery Versus Radioactive Iodine as Definitive Therapy in Pediatric Graves' Disease: A Systematic Review and Meta-Analysis of Cohort Studies,World Journal of Surgery,2026,2026,https://doi.org/10.1002/wjs.70247,10.1002/wjs.70247,NA (no registry ID),meta-analysis,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_92225a329011,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Outcomes of Surgery Versus Radioactive Iodine as Definitive Therapy in Pediatric Graves' Disease: A Systematic Review and Meta-Analysis of Cohort Studies (2026). World Journal of Surgery. https://doi.org/10.1002/wjs.70247,2026-09-10,2.0.0
13,preserved_v1+scholarly,Outcomes of Radioactive Iodine Versus Surgery for the Treatment of Graves’ Disease: a Systematic Review and Meta-analysis,Indian Journal of Surgery,2023,2023,https://doi.org/10.1007/s12262-023-03692-5,10.1007/s12262-023-03692-5,NA (no registry ID),meta-analysis,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_5ebcf4e92c5e,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Outcomes of Radioactive Iodine Versus Surgery for the Treatment of Graves’ Disease: a Systematic Review and Meta-analysis (2023). Indian Journal of Surgery. https://doi.org/10.1007/s12262-023-03692-5,2026-09-10,2.0.0
14,preserved_v1+scholarly,Comparative Effectiveness of Treatment Choices for Graves' Hyperthyroidism: A Historical Cohort Study,Thyroid,2017,2017,https://doi.org/10.1089/thy.2016.0343,10.1089/thy.2016.0343,NA (no registry ID),cohort study,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_78a511d8cc0a,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Comparative Effectiveness of Treatment Choices for Graves' Hyperthyroidism: A Historical Cohort Study (2017). Thyroid. https://doi.org/10.1089/thy.2016.0343,2026-09-10,2.0.0
15,preserved_v1+scholarly,Comparative Effectiveness of Therapies for Graves' Hyperthyroidism: A Systematic Review and Network Meta-Analysis,The Journal of Clinical Endocrinology & Metabolism,2013,2013,https://doi.org/10.1210/jc.2013-1954,10.1210/jc.2013-1954,NA (no registry ID),meta-analysis,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_861f9beb7bf7,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Comparative Effectiveness of Therapies for Graves' Hyperthyroidism: A Systematic Review and Network Meta-Analysis (2013). The Journal of Clinical Endocrinology & Metabolism. https://doi.org/10.1210/jc.2013-1954,2026-09-10,2.0.0
16,preserved_v1+scholarly,Effectiveness of Radioiodine Therapy for Graves' Hyperthyroidism: A Quality-of-Life Assessment,Current Internal Medicine Research and Practice Surabaya Journal,2025,2025,https://doi.org/10.20473/cimrj.v6i2.53131,10.20473/cimrj.v6i2.53131,NA (no registry ID),systematic review,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_c46aa55f6e31,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Effectiveness of Radioiodine Therapy for Graves' Hyperthyroidism: A Quality-of-Life Assessment (2025). Current Internal Medicine Research and Practice Surabaya Journal. https://doi.org/10.20473/cimrj.v6i2.53131,2026-09-10,2.0.0
