asset,aliases,company,owner_at_cutoff,partners,modality,construct,target,mechanism,core_adjacent_tier,indication,highest_stage,status,trial_ids,differentiation,biomarker_pd_strategy,dosing_developability,safety_hypothesis,key_unmet_need,critical_risks,preclinical_models,preclinical_results,potential_driver_specificity_0_3,potential_durability_0_3,potential_selectivity_0_3,potential_translatability_0_3,potential_developability_0_3,weighted_potential_0_3,evidence_confidence,evidence_tier,source_ids,last_verified,notes,asset_scope,inventory_depth,registry_trial_count,mapping_confidence,mechanism_provenance,r_and_d_score_scope,pipeline_inclusion,data_cut,schema_version
LCA-0321,NR (no additional alias reported),Lycia Therapeutics,Lycia Therapeutics,NR (not reported in deep-curation sources),LYTAC autoantibody degrader,LYTAC autoantibody degrader,anti-TSHR autoantibodies,Antigen-specific binding and lysosomal elimination of pathogenic anti-TSHR autoantibodies,Core,GD; TED,Phase 1,"Ongoing, recruiting",CTIS 2025-524053-14-00; LCA-0321-01,Direct driver removal without intended general immunosuppression,"TRAb/TSI/TSAb, thyroid hormones, PK/ADA",SAD/MAD; planned n=48,"First-in-human; magnitude, kinetics, immunogenicity and true clinical durability unknown",Disease modification with durable control while preserving normal immunity/thyroid signaling,"First-in-human; magnitude, kinetics, immunogenicity and true clinical durability unknown",See cited primary/sponsor evidence,Not pooled; source-specific,3.0,2.0,3.0,1.0,2.0,2.35,Low,Registry + primary/sponsor evidence,[1]; CTIS 2025-524053-14-00,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,preclinical/direct program retained outside frozen ClinicalTrials.gov intervention set,deep,0,manual_primary_source_queue,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: [1]; CTIS 2025-524053-14-00,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
MER511,MER511 (IV); MER511 (SC); MER511 (SC) for MAD,Merida Biosciences,Merida Biosciences; Lilly acquisition closing not independently verified at cutoff,NR (not reported in deep-curation sources),Engineered TSHR ectodomain–mutant Fc fusion,Engineered TSHR ectodomain–mutant Fc fusion,anti-TSHR autoantibodies and cognate B-cell sources,"Binds/neutralizes anti-TSHR AAbs, promotes FcγRIIB-mediated hepatic clearance, and inhibits antigen-specific B-cell function",Core,GD; potential TED,Phase 1,Recruiting,NCT07305818,Combines antibody clearance with antigen-specific source suppression while sparing TSH signaling,"TRAb/TSI/TSAb, total IgG, thyroid hormones, B-cell pharmacology",IV and SC SAD/MAD,"Preclinical claims sponsor-derived; human selectivity, safety, durability and SC exposure unknown",Disease modification with durable control while preserving normal immunity/thyroid signaling,"Preclinical claims sponsor-derived; human selectivity, safety, durability and SC exposure unknown",See cited primary/sponsor evidence,Not pooled; source-specific,3.0,3.0,3.0,2.0,2.0,2.75,Low–moderate,Registry + primary/sponsor evidence,[6]; [7]; [8]; NCT07305818; ClinicalTrials.gov,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,1,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: [6]; [7]; [8]; NCT07305818; ClinicalTrials.gov,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
GenSci098 / YB-101,GenSci098; YB-101; Experimental: YB-101,GenSci,GenSci,NR (not reported in deep-curation sources),Monoclonal antibody,Monoclonal antibody,TSHR,TSHR blockade / antagonism,Core,GD,Phase 2,Active development,NCT06569758; NCT07286656; NCT07682896,Direct receptor antagonism,"TRAb, FT3/FT4, TSH, ATD use",Trial-defined,Normal TSH signaling blockade and limited public clinical efficacy,Disease modification with durable control while preserving normal immunity/thyroid signaling,Normal TSH signaling blockade and limited public clinical efficacy,See cited primary/sponsor evidence,Not pooled; source-specific,3.0,1.0,2.0,2.0,2.0,2.05,Moderate,Registry + primary/sponsor evidence,[541]; NCT06569758; NCT07286656; NCT07682896; ClinicalTrials.gov,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,3,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: [541]; NCT06569758; NCT07286656; NCT07682896; ClinicalTrials.gov,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
K1-70,K1-70 intramuscular or K1-70 intravenous,AV7 / academic collaborators,Owner not fully resolved,NR (not reported in deep-curation sources),TSHR-blocking monoclonal autoantibody,TSHR-blocking monoclonal autoantibody,TSHR,Competitive receptor blockade,Core,GD; TED,Phase 1,Early clinical,NCT02904330; Japanese Phase 1 publication,Directly blocks stimulating autoantibody signaling,"TSHR bioassay, FT3/FT4/TSH",IV/clinical study defined,Could suppress physiologic TSHR signaling; small cohorts,Disease modification with durable control while preserving normal immunity/thyroid signaling,Could suppress physiologic TSHR signaling; small cohorts,See cited primary/sponsor evidence,Not pooled; source-specific,3.0,1.0,2.0,2.0,2.0,2.05,Moderate,Registry + primary/sponsor evidence,[164]; NCT02904330; ClinicalTrials.gov,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,1,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: [164]; NCT02904330; ClinicalTrials.gov,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
ATX-GD-59,NR (no additional alias reported),Apitope / Worg,Owner/status uncertain,NR (not reported in deep-curation sources),TSHR peptide immunotherapy,TSHR peptide immunotherapy,TSHR-reactive T cells,Antigen-specific immune tolerance,Core,GD,Phase 1 completed,Completed; follow-on WP1302 suspended,NCT02973802; NCT06240455,Potential durable antigen-specific tolerance,"TBII/TSAb, FT3/FT4/TSH, ATD-free status",10 intradermal doses in Phase 1,Uncontrolled signal and spontaneous remission confounding; WP1302 recruitment infeasible,Disease modification with durable control while preserving normal immunity/thyroid signaling,Uncontrolled signal and spontaneous remission confounding; WP1302 recruitment infeasible,See cited primary/sponsor evidence,Not pooled; source-specific,3.0,2.0,3.0,2.0,2.0,2.5,Low–moderate,Registry + primary/sponsor evidence,[253]; NCT02973802; NCT06240455; ClinicalTrials.gov,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,1,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: [253]; NCT02973802; NCT06240455; ClinicalTrials.gov,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
IBI3031,NR (no additional alias reported),Innovent,Innovent,NR (not reported in deep-curation sources),Bispecific antibody,Bispecific antibody,IGF-1R and TSHR,Dual IGF-1R/TSHR blockade,Core-adjacent,TED,Phase 1,Recruiting/early,NCT07622368,Targets orbital signaling and TSHR axis together,Proptosis/CAS plus thyroid biomarkers,Trial-defined,"Dual-target safety, target balance and human proof unknown",Disease modification with durable control while preserving normal immunity/thyroid signaling,"Dual-target safety, target balance and human proof unknown",See cited primary/sponsor evidence,Not pooled; source-specific,2.5,1.0,1.5,1.0,1.5,1.6,Low,Registry + primary/sponsor evidence,[619]; NCT07622368; ClinicalTrials.gov,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,1,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: [619]; NCT07622368; ClinicalTrials.gov,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
Veligrotug (Lumvoa),veligrotug; VRDN-001; Veligrotug | VRDN-001; Veligrotug; Lumvoa,Viridian Therapeutics,Viridian Therapeutics,NR (not reported in deep-curation sources),Monoclonal antibody,Monoclonal antibody,IGF-1R,IGF-1R antagonism,Comparator,TED regardless of activity or duration (US),Approved US,FDA approved 2026-06-26,NCT05176639; NCT06021054; NCT06179875; NCT06384547,Five IV infusions every 3 weeks,"PRR, proptosis, CAS, diplopia, imaging",10 mg/kg IV Q3W ×5,"Hearing impairment, hyperglycemia, infusion reactions, IBD warning; access/geography",Disease modification with durable control while preserving normal immunity/thyroid signaling,"Hearing impairment, hyperglycemia, infusion reactions, IBD warning; access/geography",See cited primary/sponsor evidence,Not pooled; source-specific,1.0,2.0,1.0,3.0,2.5,1.7,High for TED,Regulatory/clinical,[230]; [373]; [726]; [727]; ClinicalTrials.gov; NCT05176639; NCT06021054; NCT06179875; NCT06384547,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,4,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: [230]; [373]; [726]; [727]; ClinicalTrials.gov; NCT05176639; NCT06021054; NCT06179875; NCT06384547,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
Teprotumumab,teprotumumab-trbw; RV 001 | HZN-001; HZN-001; TEPEZZA | teprotumumab-trbw | HZN-001; TEPEZZA; Tepezza; TEPEZZA | HZN-001; Teprotumumab-trbw | TEPEZZA | HZN-001; Tepezza | AMG 632; Teprotumumab N01; Teprotumumab Injection [Tepezza]; Teprotumumab N01 | Insulin-like growth factor-1 receptor monoclonal antibody | IGF-1R inhibitor; teprotumumab-trbw | HZN-001; Teprotumumab | Insulin-like growth factor-1 receptor monoclonal antibody | IGF-1R inhibitor,Amgen,Amgen,NR (not reported in deep-curation sources),Monoclonal antibody,Monoclonal antibody,IGF-1R,IGF-1R inhibition,Comparator,TED (US),Approved US,Approved,NCT01868997; NCT03298867; NCT03461211; NCT04583735; NCT05002998; NCT06248619; NCT06389578; NCT06563856; NCT06674941; NCT07142642; NCT07265258; NCT07308964; NCT07594912,First-in-class TED biologic with active and chronic evidence,"PRR, proptosis, CAS, diplopia",10 mg/kg then 20 mg/kg IV Q3W ×8,"Hearing impairment, hyperglycemia, muscle spasm, infusion burden",Disease modification with durable control while preserving normal immunity/thyroid signaling,"Hearing impairment, hyperglycemia, muscle spasm, infusion burden",See cited primary/sponsor evidence,Not pooled; source-specific,1.0,2.0,1.0,3.0,1.5,1.6,High for TED,Regulatory/clinical,[190]; [191]; [274]; ClinicalTrials.gov; NCT01868997; NCT03298867; NCT03461211; NCT04583735; NCT05002998; NCT06248619; NCT06389578; NCT06563856; NCT06674941; NCT07142642; NCT07265258; NCT07308964; NCT07594912,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,13,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: [190]; [191]; [274]; ClinicalTrials.gov; NCT01868997; NCT03298867; NCT03461211; NCT04583735; NCT05002998; NCT06248619; NCT06389578; NCT06563856; NCT06674941; NCT07142642; NCT07265258; NCT07308964; NCT07594912,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
Linsitinib,NR (no additional alias reported),Slingshot Therapeutics,Slingshot Therapeutics,NR (not reported in deep-curation sources),Oral small molecule,Oral small molecule,IGF-1R/insulin receptor kinase,IGF-1R-pathway inhibition,Comparator,TED,Phase 3,ORBIT recruiting,NCT05276063; NCT07753603; NCT06112340,Oral administration,"PRR, proptosis, CAS, GO-QOL",75 or 150 mg BID in Phase 2/3,Dose-dependent GI/fatigue/transaminase signals; insulin-receptor cross activity,Disease modification with durable control while preserving normal immunity/thyroid signaling,Dose-dependent GI/fatigue/transaminase signals; insulin-receptor cross activity,See cited primary/sponsor evidence,Not pooled; source-specific,1.0,1.0,1.0,2.5,2.5,1.38,Moderate,Registry + primary/sponsor evidence,[714]; [715]; NCT07753603; ClinicalTrials.gov; NCT05276063; NCT06112340,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,3,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: [714]; [715]; NCT07753603; ClinicalTrials.gov; NCT05276063; NCT06112340,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
Satralizumab,NR (no additional alias reported),Roche/Chugai,Roche/Chugai,NR (not reported in deep-curation sources),Monoclonal antibody,Monoclonal antibody,IL-6R,IL-6 receptor blockade,Adjacent,TED,Regulatory review US,Pending at cutoff; not FDA-approved for TED,NCT05987423; NCT06106828,Mixed active/inactive program and rerandomized durability design,"PRR, CAS, diplopia, IL-6 pathway",Subcutaneous trial regimen,One of two Phase 3 primary endpoints failed; multiplicity; liver/neutrophil labs,Disease modification with durable control while preserving normal immunity/thyroid signaling,One of two Phase 3 primary endpoints failed; multiplicity; liver/neutrophil labs,See cited primary/sponsor evidence,Not pooled; source-specific,0.5,1.5,1.0,2.5,2.5,1.35,Moderate,Registry + primary/sponsor evidence,[675]; [699]; [701]; ClinicalTrials.gov; NCT05987423; NCT06106828,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,2,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: [675]; [699]; [701]; ClinicalTrials.gov; NCT05987423; NCT06106828,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
