blind_order,blind_id,claim_id,claim_type,machine_status,checks_total,checks_failed,failed_checks,evidence_locator,source_ids,exact_anchor_count,evidence_digest,claim_text,value
1,BLIND-0001,POP-PEDIATRIC-001,analytical_population_boundary,PASS,6,0,NA (no failed structural checks),soc_outcomes_v2.csv::category=Pediatric GD or pediatric TED across five regions,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::category=Pediatric GD or pediatric TED across five regions,"Pediatrics는 adult primary pathway와 분리하고 remission assumptions, RAI age/dose constraints 및 prolonged ATD strategy를 별도 기록한다.","Pediatrics는 adult primary pathway와 분리하고 remission assumptions, RAI age/dose constraints 및 prolonged ATD strategy를 별도 기록한다."
2,BLIND-0002,DIRECT-LCA-PLANNED-N,direct_program_mechanism_or_status,PASS,6,0,NA (no failed structural checks),claim_evidence_anchors_v2.csv::DIRECT_ANCHOR:LCA0321-CTIS-PLANNED-N,2,1,LCA0321-CTIS-PLANNED-N: Participants planned 48,LCA-0321 Phase 1의 planned enrollment는 48명이며 analyzed N으로 대체할 수 없다.,LCA-0321 Phase 1의 planned enrollment는 48명이며 analyzed N으로 대체할 수 없다.
3,BLIND-0003,REG-JP-LUMVOA-AUTH,regional_authorization_status,PASS,9,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-JP-TED-LUMVOA; field=authorization_status_scope,748,1,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-JP-TED-LUMVOA;field=authorization_status_scope,Japan Lumvoa authorization: unresolved (no relevant official PMDA/MHLW product record identified; this does not prove non-authorization),unresolved (no relevant official PMDA/MHLW product record identified; this does not prove non-authorization)
4,BLIND-0004,ASSET-036,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Secukinumab,819,1,CANONICAL:pipeline_assets_v2.csv::asset=Secukinumab;row_sha256=7a3fc4dd30b459aeb43b86ee6e90d699f13d7e2467985d245875a8ec6a5978aa,Secukinumab: indication=Active moderate-to-severe TED; target=IL-17A; highest_stage=Highest registered phase: PHASE3; status=Registered statuses: TERMINATED; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE3 | Registered statuses: TERMINATED | Low (registry-level completeness row; not an efficacy judgment)
5,BLIND-0005,DIRECT-MER-EVIDENCE-BOUNDARY,direct_program_mechanism_or_status,PASS,6,0,NA (no failed structural checks),claim_evidence_anchors_v2.csv::DIRECT_ANCHOR:MER511-NEXUS-AGE-PKPD;DIRECT_ANCHOR:MER511-NEXUS-RECRUITING;CANONICAL:clinical_trials_v2.csv::trial_id=NCT07305818;has_posted_results=No,7; 898,3,"MER511-NEXUS-AGE-PKPD: This Phase 1, first-in-human, multicenter study will evaluate the safety, tolerability, pharmacokinetics (PK), pharmacodynamics (PD), and im || MER511-NEXUS-RECRUITING: - Status: RECRUITING || CANONICAL:clinical_trials_v2.csv::trial_id=NCT07305818;has_posted_results=No","NEXUS protocol objectives는 safety, tolerability, PK, PD, immunogenicity이며 frozen registry record에는 posted results가 없다; clinical efficacy와 durable remission은 미확정이다.","NEXUS protocol objectives는 safety, tolerability, PK, PD, immunogenicity이며 frozen registry record에는 posted results가 없다; clinical efficacy와 durable remission은 미확정이다."
6,BLIND-0006,ASSET-033,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Rituximab,755; 760; 762; 791,1,CANONICAL:pipeline_assets_v2.csv::asset=Rituximab;row_sha256=b2be0b0a5c4cd86e163afb76ee491438d68f6fe12529c3f7a6c5efc00a449999,Rituximab: indication=Active TED; Active moderate-to-severe TED; GD / autoimmune hyperthyroidism; target=CD20; highest_stage=Highest registered phase: PHASE4; status=Registered statuses: COMPLETED; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE4 | Registered statuses: COMPLETED | Low (registry-level completeness row; not an efficacy judgment)
7,BLIND-0007,METHOD-008,internal_status_count,PASS,7,0,NA (no failed structural checks),clinical_trials_v2.csv::field=overall_status; value=UNKNOWN,NA (internal canonical evidence),1,CANONICAL:clinical_trials_v2.csv::field=overall_status | value=UNKNOWN,UNKNOWN status trial은 22개였다.,22
8,BLIND-0008,METHOD-009,internal_status_count,PASS,7,0,NA (no failed structural checks),clinical_trials_v2.csv::field=overall_status; value=NOT_YET_RECRUITING,NA (internal canonical evidence),1,CANONICAL:clinical_trials_v2.csv::field=overall_status | value=NOT_YET_RECRUITING,NOT_YET_RECRUITING status trial은 14개였다.,14
9,BLIND-0009,TRIAL-001-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT00595335; field=primary_interpretation,762,1,TRIAL-RESULT-NCT00595335: 6개월 CAS 변화와 failure rate에서 rituximab이 methylprednisolone 대비 우월하지 않았다.,NCT00595335: 6개월 CAS 변화와 failure rate에서 rituximab이 methylprednisolone 대비 우월하지 않았다.,negative_randomized
10,BLIND-0010,DIRECT-MER-TSH-SPARING,direct_program_mechanism_or_status,PASS,6,0,NA (no failed structural checks),claim_evidence_anchors_v2.csv::DIRECT_ANCHOR:MER511-SPONSOR-TSH-SPARING-HYPOTHESIS;DIRECT_ANCHOR:MER511-OR31-TSH-SIGNALING;DIRECT_ANCHOR:MER511-OR31-SELECTIVE-DEPLETION-MOUSE,6; 8,3,"MER511-SPONSOR-TSH-SPARING-HYPOTHESIS: By directly targeting the underlying drivers of Graves’ diseases, MER511 aims to directly target the autoantibodies that cause this difficul || MER511-OR31-TSH-SIGNALING: Additionally, MER511 does not bind TSH or impact TSH signaling, thus enabling the res toration of normal thyroid function in patients. || MER511-OR31-SELECTIVE-DEPLETION-MOUSE: In a human ized FcγR/FcRn mouse model, MER511 rapidly depleted passively transferred patient-derived monoclonal autoanti bodies (M22), and u","MER511의 TSH non-binding, TSH-signaling preservation 및 total-IgG sparing은 sponsor/preclinical claim이며 사람에서 검증되지 않았다.","MER511의 TSH non-binding, TSH-signaling preservation 및 total-IgG sparing은 sponsor/preclinical claim이며 사람에서 검증되지 않았다."
