raw_occurrence_id,trial_id,registry_intervention_type,raw_intervention,raw_other_names,raw_description,raw_arm_labels,component_index,canonical_asset,aliases,role,asset_scope,target,mechanism_class,pipeline_inclusion,exclusion_reason,source_id,mapping_confidence,manual_review_status
NCT00004660-085,NCT00004660,RADIATION,Radiotherapy,NR (none reported),NR (not reported),Radiotherapy,1,Orbital radiotherapy,Radiotherapy,procedure,procedure,Orbital tissue,Orbital radiotherapy,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT00004660,high,PASS_CURATED_RULE
NCT00004660-086,NCT00004660,RADIATION,Sham treatment,NR (none reported),NR (not reported),Sham treatment,1,Placebo,Sham treatment,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT00004660,high,PASS_CURATED_RULE
NCT00145366-066,NCT00145366,DRUG,Recombinant human thyrotropin (Thyrogen),NR (none reported),NR (not reported),NR (not reported),1,Recombinant human thyrotropin,Recombinant human thyrotropin (Thyrogen),non-therapeutic/device,diagnostic/non-therapeutic,TSHR,TSHR stimulation/diagnostic support,No,Not a disease-directed therapy in this context,ClinicalTrials.gov; NCT00145366,high,PASS_CURATED_RULE
NCT00150111-050,NCT00150111,DRUG,Methimazole,NR (none reported),NR (not reported),NR (not reported),1,Methimazole / antithyroid drug,Methimazole,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT00150111,high,PASS_CURATED_RULE
NCT00150111-051,NCT00150111,DRUG,Rituximab,NR (none reported),NR (not reported),NR (not reported),1,Rituximab,NR (no additional alias),active/intervention,pipeline/approved asset,CD20,CD20 B-cell depletion,Yes,NA (included),ClinicalTrials.gov; NCT00150111,high,PASS_CURATED_RULE
NCT00150111-052,NCT00150111,BIOLOGICAL,Immunization with various vaccines,NR (none reported),NR (not reported),NR (not reported),1,Vaccination challenge,Immunization with various vaccines,non-therapeutic/device,diagnostic/non-therapeutic,NA,Immune-response assessment,No,Non-therapeutic study intervention,ClinicalTrials.gov; NCT00150111,high,PASS_CURATED_RULE
NCT00150124-069,NCT00150124,DRUG,MTZ+LT4,NR (none reported),NR (not reported),block-replacement therapy,1,Methimazole / antithyroid drug,MTZ+LT4,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT00150124,high,PASS_CURATED_RULE
NCT00150124-069,NCT00150124,DRUG,MTZ+LT4,NR (none reported),NR (not reported),block-replacement therapy,2,Levothyroxine,MTZ+LT4,standard of care,standard of care,Thyroid hormone replacement,Hormone replacement,No,Managed in SoC table,ClinicalTrials.gov; NCT00150124,high,PASS_CURATED_RULE
NCT00150124-070,NCT00150124,DRUG,Methimazole,NR (none reported),NR (not reported),methimazole,1,Methimazole / antithyroid drug,Methimazole,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT00150124,high,PASS_CURATED_RULE
NCT00150137-078,NCT00150137,DRUG,Methimazole,NR (none reported),NR (not reported),NR (not reported),1,Methimazole / antithyroid drug,Methimazole,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT00150137,high,PASS_CURATED_RULE
NCT00288522-083,NCT00288522,DRUG,"Lanreotide (Autogel formulation). Duration of treatment - 3 injections, 1 every 28 days",NR (none reported),NR (not reported),NR (not reported),1,Lanreotide,"Lanreotide (Autogel formulation). Duration of treatment - 3 injections, 1 every 28 days",active/intervention,pipeline/approved asset,Somatostatin receptors,Somatostatin-receptor agonism,Yes,NA (included; repurposing program),ClinicalTrials.gov; NCT00288522,high,PASS_CURATED_RULE
NCT00348413-240,NCT00348413,DRUG,Intravenous Methylprednisolone + Oral Methotrexate vs Intravenous Methylprednisolone + Placebo,NR (none reported),NR (not reported),NR (not reported),1,Methylprednisolone,Intravenous Methylprednisolone + Oral Methotrexate vs Intravenous Methylprednisolone + Placebo,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT00348413,high,PASS_CURATED_RULE
NCT00348413-240,NCT00348413,DRUG,Intravenous Methylprednisolone + Oral Methotrexate vs Intravenous Methylprednisolone + Placebo,NR (none reported),NR (not reported),NR (not reported),2,Methotrexate,Intravenous Methylprednisolone + Oral Methotrexate vs Intravenous Methylprednisolone + Placebo,standard of care,standard of care,Folate metabolism/immune modulation,Conventional immunosuppression,No,Managed in SoC table,ClinicalTrials.gov; NCT00348413,high,PASS_CURATED_RULE
NCT00348413-240,NCT00348413,DRUG,Intravenous Methylprednisolone + Oral Methotrexate vs Intravenous Methylprednisolone + Placebo,NR (none reported),NR (not reported),NR (not reported),3,Placebo,Intravenous Methylprednisolone + Oral Methotrexate vs Intravenous Methylprednisolone + Placebo,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT00348413,high,PASS_CURATED_RULE
NCT00424151-006,NCT00424151,DRUG,Rituximab,NR (none reported),NR (not reported),NR (not reported),1,Rituximab,NR (no additional alias),active/intervention,pipeline/approved asset,CD20,CD20 B-cell depletion,Yes,NA (included),ClinicalTrials.gov; NCT00424151,high,PASS_CURATED_RULE
NCT00430547-114,NCT00430547,DRUG,"Carbimazole, radio-active iodine (I131)",NR (none reported),NR (not reported),NR (not reported),1,Carbimazole,"Carbimazole, radio-active iodine (I131)",standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT00430547,high,PASS_CURATED_RULE
NCT00430547-114,NCT00430547,DRUG,"Carbimazole, radio-active iodine (I131)",NR (none reported),NR (not reported),NR (not reported),2,Radioiodine,"Carbimazole, radio-active iodine (I131)",procedure,procedure,Thyroid follicular tissue,Radioiodine ablation,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT00430547,high,PASS_CURATED_RULE
NCT00595335-191,NCT00595335,DRUG,Rituximab,Rituxan | MabThera,"Subjects will receive 2 infusions of rituximab (1000 mg IV), two weeks apart.",Rituximab,1,Rituximab,Rituxan | MabThera,active/intervention,pipeline/approved asset,CD20,CD20 B-cell depletion,Yes,NA (included),ClinicalTrials.gov; NCT00595335,high,PASS_CURATED_RULE
NCT00595335-192,NCT00595335,DRUG,Saline,NR (none reported),"Subjects will receive 2 infusions of saline IV, 2 weeks apart, each preceded by a premedication saline IV.",Placebo,1,Saline/vehicle control,Saline,comparator/control,placebo/comparator,NA,Vehicle/sham control,No,Vehicle or sham comparator,ClinicalTrials.gov; NCT00595335,high,PASS_CURATED_RULE
NCT00595335-193,NCT00595335,DRUG,Methylprednisolone,Medrol | Solu-Medrol,Subjects will receive methylprednisolone 100 mg IV as premedication to the rituximab infusion.,Rituximab,1,Methylprednisolone,Medrol | Solu-Medrol,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT00595335,high,PASS_CURATED_RULE
NCT00677469-213,NCT00677469,DRUG,Cholestyramine,NR (none reported),2 grams BID,I,1,Cholestyramine,NR (no additional alias),adjunct/supportive,adjunct/supportive,Bile acids/intestinal thyroid hormone recycling,Bile-acid sequestration,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT00677469,high,PASS_CURATED_RULE
NCT00677469-214,NCT00677469,DRUG,Cholestyramine,NR (none reported),1 gram BID,II,1,Cholestyramine,NR (no additional alias),adjunct/supportive,adjunct/supportive,Bile acids/intestinal thyroid hormone recycling,Bile-acid sequestration,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT00677469,high,PASS_CURATED_RULE
NCT00677469-215,NCT00677469,DRUG,Placebo powder,NR (none reported),1 gram BID,III,1,Placebo,Placebo powder,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT00677469,high,PASS_CURATED_RULE
NCT00917241-217,NCT00917241,DRUG,MMI combined with IID,"methimazole,tapazole;dexamethasone,hexadecadrol","MMI titration regimen for 18 months,initial dosage of MMI was 20 mg/d,which combined with IID for 3 months.Dexamethasone was injected into the two side of thyroid, the dose of dexamethasone was 5 mg by every side, twice a week. The treatment strategy was changed to once a week at the second month and twice a month at the third month, the dose of dexamethasone was the same as the first month.",MMI+IID group,1,Methimazole / antithyroid drug,"MMI combined with IID | methimazole,tapazole;dexamethasone,hexadecadrol",standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT00917241,high,PASS_CURATED_RULE
NCT00917241-217,NCT00917241,DRUG,MMI combined with IID,"methimazole,tapazole;dexamethasone,hexadecadrol","MMI titration regimen for 18 months,initial dosage of MMI was 20 mg/d,which combined with IID for 3 months.Dexamethasone was injected into the two side of thyroid, the dose of dexamethasone was 5 mg by every side, twice a week. The treatment strategy was changed to once a week at the second month and twice a month at the third month, the dose of dexamethasone was the same as the first month.",MMI+IID group,2,Dexamethasone,"MMI combined with IID | methimazole,tapazole;dexamethasone,hexadecadrol",standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT00917241,high,PASS_CURATED_RULE
NCT00917241-218,NCT00917241,DRUG,MMI,NR (none reported),"MMI treatment with titration regimen for 18 months, initial dosage was 20 mg/d.",MMI Group,1,Methimazole / antithyroid drug,MMI,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT00917241,high,PASS_CURATED_RULE
NCT01039818-204,NCT01039818,RADIATION,Radioiodine,NR (none reported),A unique dose of 200µCi of ¹³¹I/ml/24-RAIU,Radiodine-200µCi,1,Radioiodine,NR (no additional alias),procedure,procedure,Thyroid follicular tissue,Radioiodine ablation,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT01039818,high,PASS_CURATED_RULE
NCT01039818-205,NCT01039818,RADIATION,Radioiodine,NR (none reported),A unique dose of 250µCi of ¹³¹I/ml/24-RAIU,Radiodine-250µCi,1,Radioiodine,NR (no additional alias),procedure,procedure,Thyroid follicular tissue,Radioiodine ablation,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT01039818,high,PASS_CURATED_RULE
NCT01056419-021,NCT01056419,PROCEDURE,Total Thyroidectomy,NR (none reported),Total thyroidectomy within 6 months after the appearance of the symptoms of ophthalmopathy,Total thyroidectomy,1,Total thyroidectomy,NR (no additional alias),procedure,procedure,Thyroid gland,Surgical elimination of thyroid hormone source,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT01056419,high,PASS_CURATED_RULE
